imdbRating,rottenTomatoesRating,metacriticRating,boxoffice,production,ReleaseDate,YearReleased,MonthReleased,viewCount,commentCount,likeCount,dislikeCount,Production.Budget,Domestic.Total.Gross,polarity,subjectivity,polarity_confidence,subjectivity_confidence,actorAR,directorAR,languageAR,countryAR,genreAR,ratingAR,productionAR,distributionAR,Domestic.Total.Gross_ln,Domestic.Total.Gross_sqrt,dislikeCount_rc,like_ratio
6.1,21,42,1346503,Fox Searchlight Pictures,15-Jul-11,2011,7,491800,200,981,43,6000000,1348205,neutral,subjective,0.83819592,1,-18607180,2465069,9408384,16850658,7242683,9899276,8804638,9722257,14.11428464,1161.122302,43,22.81395349
7.1,24,37,11434867,CBS Films,7-Sep-12,2012,9,3966697,1500,7379,235,6000000,11494838,positive,subjective,0.557192564,1,57172240,10989676,14027331,9575722,29782207,9899276,11551473,11551473,16.25740862,3390.403811,235,31.4
4.3,4,18,8.70E+06,Relativity Media,25-Jan-13,2013,1,1549590,830,2636,402,6000000,8840453,neutral,subjective,0.769002318,1,27477511,106935226,9159624,9575722,22007079,8133748,4646547,7784057,15.99484868,2973.289929,402,6.55721393
3,1,13,13155823,Sony Pictures,8-Aug-07,2007,8,15453,6,106,18,6000000,13235267,positive,subjective,0.925285518,1,21261623,7235267,9159624,9575722,29612077,12706625,21745046,4649015,16.39839557,3638.030649,18,5.888888889
8.3,94,83,NA,ThinkFilm,3-Oct-07,2007,10,106685,212,206,18,6000000,25317,neutral,objective,0.709800124,0.999553142,-23898732,-5974683,9159624,9575722,6371952,-3152472,-2396764,-7914859,10.13923139,159.1131673,18,11.44444444
5,5,7,4485877,20th Century Fox,13-Mar-09,2009,3,91215,10,68,8,6000000,4543320,positive,subjective,0.369588435,1,-5826720,-2913360,11196645,9575722,22007079,8133748,12579404,9722257,15.32916858,2131.506509,8,8.5
6.3,34,52,38734,Magnolia Pictures,7-Dec-12,2012,12,5839092,1188,5890,511,6000000,18369,neutral,subjective,0.573990226,1,-26375636,-5981631,9159624,14393267,19212834,8133748,-3184813,-5981631,9.81841974,135.532284,511,11.52641879
6.7,46,43,NA,Focus Features,18-Jul-14,2014,7,6902530,NA,NA,NA,6000000,3591299,negative,subjective,0.498163968,1,-2739439,230292,9159624,9575722,17156946,8133748,3463844,-395282,15.09402453,1895.072294,NA,NA
5.8,34,48,20200,Film Arcade,23-Jan-15,2015,1,19142,3,14,2,6000000,32251,neutral,subjective,0.60500145,1,-15009775,-5967749,9159624,9575722,20010532,9899276,-5967749,-5967749,10.38130433,179.5856342,2,7
5.3,42,62,180851,NEON,23-Jun-17,2017,6,558645,212,1879,228,6000000,180851,positive,objective,0.452961713,1,-14715955,-5819149,9159624,9575722,34956233,8133748,-1951570,-1951570,12.10542877,425.2657992,228,8.24122807
5.9,48,52,NA,Sony Pictures,27-Apr-07,2007,4,319823,115,296,25,6000000,36804,neutral,subjective,0.715965688,1,4516221,-5963196,9159624,12012154,35057968,8133748,21745046,4649015,10.51336181,191.8436864,25,11.84
5.8,NA,68,NA,NA,7-Apr-06,2006,4,991990,3,NA,NA,6500000,13368437,neutral,subjective,0.786810875,1,33969297,5817627,9159624,9575722,27926409,8133748,2061285,-1096370,16.40840704,3656.287325,NA,NA
7.6,86,71,2.48E+07,Fox Searchlight Pictures,17-Mar-06,2006,3,54084,6,145,6,6500000,24793509,positive,subjective,0.713714302,1,54565617,42559050,9159624,9575722,17156946,8133748,8804638,9722257,17.02609244,4979.308084,6,24.16666667
5.7,57,56,37295394,Sony Pictures,6-May-11,2011,5,4360404,894,4594,491,6600000,37295394,neutral,objective,0.464109123,0.999999988,31513384,30695394,9159624,9575722,17156946,9899276,21745046,28670269,17.43438039,6106.995497,491,9.356415479
7.5,52,60,531813,Sony Pictures Classics,11-May-12,2012,5,76840,34,191,10,6700000,531997,neutral,subjective,0.59062463,1,-24672012,-6168003,28288349,-11639448,17156946,9899276,-1688477,-1096370,13.18439313,729.3812446,10,19.1
7,36,41,NA,Picturehouse,5-Aug-05,2005,8,107683,43,151,5,6800000,52597,positive,subjective,0.454772979,1,-10104406,-5198698,9159624,17808743,17156946,8133748,-15059,-6747403,10.87041436,229.3403584,5,30.2
7.4,90,88,28337516,Sony Pictures Classics,30-Sep-05,2005,9,520774,12,606,31,7000000,28750530,neutral,subjective,0.750589669,1,77400031,11817440,9159624,18282396,13353279,8133748,-1688477,-1096370,17.17416676,5361.95207,31,19.5483871
