title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
Underworld: Blood Wars	2016	R	17	91	Action; Adventure; Fantasy	Anna Foerster	Kate Beckinsale; Theo James; Tobias Menzies; Lara Pulver	The next installment in the blockbuster franchise UNDERWORLD: BLOOD WARS follows Vampire death dealer Selene (Kate Beckinsale) as she fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her With her only allies David (Theo James) and his father Thomas (Charles Dance) she must stop the eternal war between Lycans and Vampires even if it means she has to make the ultimate sacrifice	English; Saami	USA	N/A	5.8	20	23	30348260	Lakeshore Entertainment	6-Jan-17	2017	1	5298904	1488	10795	628	35000000	30353973	Sony / Screen Gems
The Mountain Between Us	2017	PG-13	13	112	Action; Adventure; Drama	Hany Abu-Assad	Idris Elba; Kate Winslet; Beau Bridges; Dermot Mulroney	Stranded after a tragic plane crash two strangers must forge a connection to survive the extreme elements of a remote snow covered mountain When they realize help is not coming they embark on a perilous journey across hundreds of miles of wilderness pushing one another to endure and discovering strength they never knew possible	English	USA	3 wins & 1 nomination	6.4	41	48	29669726	20th Century Fox	6-Oct-17	2017	10	23838	10	80	33	35000000	30348555	Fox
Guess Who	2005	PG-13	13	105	Comedy; Romance	Kevin Rodney Sullivan	Bernie Mac; Ashton Kutcher; Zoe Saldana; Judith Scott	Percy and Marilyn are renewing their vows for their anniversary and their daughter Theresa brings her boyfriend Simon for them to meet Unbeknownst to her parents the kids plan to announce their engagement during the weekend The Jones family is Black Theresa neglects to tell them Simon is White Race complicates Percys general mistrust of any boyfriend so he instigates an investigation of Simon discovering hes recently lost his job and hasnt told Theresa Mistrust rears its ugly head and in the process of Theresa and Simons argument Marilyn and Percy fall out What can the men do to cross the divide between each other and between men and women? Will anyone be exchanging vows?	English	USA	16 nominations	5.9	42	49	67962333	Sony Pictures	25-Mar-05	2005	3	84744	6			35000000	68915888	Sony / Columbia
License to Wed	2007	PG-13	13	91	Comedy; Romance	Ken Kwapis	Robin Williams; Mandy Moore; John Krasinski; Eric Christian Olsen	Sadie and Ben are in love and although Ben suggests getting married in the Caribbean Sadie has her heart set on a wedding at the family church St Augustines Ben says sure and they meet with the pastor Rev Frank The only date open for two years is three weeks away and Frank insists the kids go through his marriage prep course Theyre to write their own vows he also demands chastity bugs their apartment initiates arguments has them care for robot twins creates friction between Ben and her family and raises doubts in Sadie Desperate Ben looks for dirt on Frank Can he undermine Franks authority and keep Sadies heart?	English	USA; Australia	1 nomination	5.3	7	25	43800000	Warner Bros. Pictures	3-Jul-07	2007	7	175647	9	315	13	35000000	43799818	Warner Bros.
Mirrors	2008	R	17	110	Horror; Mystery	Alexandre Aja	Kiefer Sutherland; Paula Patton; Cameron Boyce; Erica Gluck	In New York the former NYPD detective Ben Carson is hired to work as night watch of the remains of the Mayflower Department Store that was partially destroyed by fire many years ago Ben became alcoholic and was retired from the police force after killing a man in a shooting His marriage was also destroyed and now he is living in the apartment of his younger sister Angie However he has not been drinking for three months and sees the employment as a chance to rebuild his life When he goes to the rounds in his first night he finds that the mirrors are impeccably clean and his colleague explains that the former night watch was obsessed with the mirrors After a couple of nights Ben sees weird images in the mirrors but due to the lack of credibility of his past his ex-wife Amy believes he has hallucinations as a side effect of his medication When Angie is found brutally murdered in her bathtub Ben discovers that there is an evil force in the mirror that is chasing him and jeopardizing his family	English	USA; Romania; Germany	2 nominations	6.2	14	35	30575158	Buena Vista Pictures	15-Aug-08	2008	8	6827904	2693	11352	2064	35000000	30691439	Fox
Superhero Movie	2008	PG-13	13	75	Action; Comedy	Craig Mazin	Drake Bell; Sara Paxton; Christopher McDonald; Leslie Nielsen	Orphaned high school student Rick Riker is bitten by a radioactive dragonfly develops super powers (except for the ability to fly) and becomes a hero	English	USA	1 win	4.5	17	33	25815447	The Weinstein Company	28-Mar-08	2008	3	31187	4	24	0	35000000	25881068	MGM (Weinstein)
Hotel for Dogs	2009	PG	7	100	Comedy; Family	Thor Freudenthal	Emma Roberts; Jake T. Austin; Don Cheadle; Johnny Simmons	Animals are strictly forbidden at Andi and her little brother Bruces foster home But for Friday the adorable dog they secretly care for theyre ready to risk everything They finally find him an ideal shelter a huge abandoned hotel that Bruce transforms thanks to his engineering genius In what has become an incredible paradise for dogs Friday is soon joined by all kinds of furry friends so many in fact that their barks alert the neighborsand the local pound who cant understand the disappearance of all the stray dogs Andi and Bruce will have to call on all their friends and all their imagination to stop the hotels secret from being discovered	English	Germany; USA	2 wins & 2 nominations	5.4	46	51	73023275	Dreamworks Pictures	16-Jan-09	2009	1	30780	4	73	5	35000000	73034460	Paramount (DreamWorks)
Concussion	2015	PG-13	13	123	Biography; Drama; Sport	Peter Landesman	Will Smith; Alec Baldwin; Albert Brooks; Gugu Mbatha-Raw	Will Smith stars in Concussion a dramatic thriller based on the incredible true David vs Goliath story of American immigrant Dr Bennet Omalu the brilliant forensic neuropathologist who made the first discovery of CTE a football-related brain trauma in a pro player and fought for the truth to be known Omalus emotional quest puts him at dangerous odds with one of the most powerful institutions in the world	English	UK; Australia; USA	Nominated for 1 Golden Globe Another 4 wins & 15 nominations	7.1	60	55	23268108	Sony Pictures	25-Dec-15	2015	12	17737076	3674	21870	1865	35000000	42606	Radius-TWC
A Hologram for the King	2016	R	17	98	Comedy; Drama; Romance	Tom Tykwer	Tom Hanks; Alexander Black; Sarita Choudhury; Sidse Babett Knudsen	A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his companys product to a wealthy monarch	English; Arabic	UK; France; Germany; Mexico; USA	2 wins & 3 nominations	6.1	73	58	N/A	Roadside Attractions	22-Apr-16	2016	4	163668	2	19	15	35000000	4212494	Roadside Attractions
Neighbors 2: Sorority Rising	2016	R	17	92	Comedy	Nicholas Stoller	Seth Rogen; Zac Efron; Rose Byrne; Chloë Grace Moretz	Mac (Seth Rogen) and Kelly (Rose Byrne) are ready to make the final move into adulthood But just as they thought they have reclaimed the neighborhood they learn that their new neighbors are even more out of control than the last To evict them they will need help from their ex neighbor (Zac Efron)	English	USA	3 wins & 5 nominations	5.7	62	58	N/A	Universal Pictures	20-May-16	2016	5	17780837	8129	104632	5118	35000000	55455765	Universal
In Her Shoes	2005	PG-13	13	130	Comedy; Drama; Romance	Curtis Hanson	Cameron Diaz; Anson Mount; Toni Collette; Richard Burgi	Two sisters plus a dead mother a remarried father and a hostile step-mother The sisters each in her way have perfected the art of losing The elder Rose is an attorney responsible lonely with a closet full of shoes The younger is Maggie beautiful selfish and irresponsible Her drunken behavior gets her tossed by her step-mother from her dads house worse behavior gets her tossed from Roses apartment Then while searching in her fathers desk for money to filch Maggie finds an address the past and the future open up to her and with any luck may open to her sister as well	English	USA; Germany; UK	Nominated for 1 Golden Globe Another 1 win & 6 nominations	6.5	75	60	32815761	20th Century Fox	7-Oct-05	2005	10	1348972	71	742	67	35000000	32880591	Fox
Phantom Thread	2017	R	17	130	Drama; Romance	Paul Thomas Anderson	Vicky Krieps; Daniel Day-Lewis; Lesley Manville; Sue Clark	Set in 1950s London Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young strong-willed woman Alma who becomes his muse and lover	English	USA	Nominated for 6 Oscars Another 32 wins & 91 nominations	8	91	90	947190	Focus Features	25-Dec-17	2017	12	9366349	2196	23703	3357	35000000	20721535	Focus Features
Hot Tub Time Machine	2010	R	17	101	Comedy; Sci-Fi	Steve Pink	John Cusack; Clark Duke; Craig Robinson; Rob Corddry	Three friends on losing streaks: Adam whose girlfriend dumped him Nick with a dead-end job and a cheating wife and Lou a suicidal alcoholic To help Lou recover from car-exhaust poisoning Adam and Nick with Adams nephew Jacob go to a winter resort that was their old party place Its now a dump but the lads rally for a night of drinking in the hot tub Somehow the hot tub takes them back to 1986 on a fateful night for each of them Maybe if they do everything the same way they did that night theyll get back to the future so Jacob can be born There are serious temptations to do things differently Will they make it back to their sorry lives? And what about Jacob?	English; Russian	USA	5 nominations	6.4	63	63	48925682	MGM	26-Mar-10	2010	3	27475	0	23	4	36000000	50287556	MGM
Hall Pass	2011	R	17	105	Comedy; Romance	Bobby Farrelly; Peter Farrelly	Owen Wilson; Jason Sudeikis; Jenna Fischer; Christina Applegate	A couple of married guys are always looking at other women Their wives are fed up with their behavior and grant them a hall pass: a week off their marriage allowing them to do anything But the guys take their time and their week is almost up What they dont realize is that at the same time their wives make connections of their own	English	USA	N/A	5.9	34	45	45045037	Warner Bros. Pictures	25-Feb-11	2011	2	1706753	228	1728	133	36000000	45060734	Warner Bros. (New Line)
Dolphin Tale 2	2014	PG	7	107	Drama; Family	Charles Martin Smith	Morgan Freeman; Ashley Judd; Juliana Harkavy; Kris Kristofferson	It has been several years since young Sawyer Nelson and the dedicated team at the Clearwater Marine Hospital headed by Dr Clay Haskett rescued Winter With the help of Dr Cameron McCarthy who developed a unique prosthetic tail for the injured dolphin they were able to save her life Yet their fight is not over Winters surrogate mother the very elderly dolphin Panama has passed away leaving Winter without the only poolmate she has ever known However the loss of Panama may have even greater repercussions for Winter who according to USDA regulations cannot be housed alone as dolphins social behavior requires them to be paired with other dolphins Time is running out to find a companion for her before the team at Clearwater loses their beloved Winter to another aquarium	English	USA	3 nominations	6.4	66	58	N/A	Warner Bros. Pictures	12-Sep-14	2014	9	1965093	610	3613	228	36000000	42024533	Warner Bros.
Ip Man 3	2015	PG-13	13	105	Action; Biography; Drama	Wilson Yip	Donnie Yen; Lynn Hung; Jin Zhang; Mike Tyson	The year is 1959 where Ip Man lives in Hong Kong with his wife and his younger son Trouble arises when a corrupt property developer and his thugs terrorize the school where Ip Mans son goes to Ip Man and his disciples have to help the police guard the school day and night On the other hand Ip Man has to deal with his wifes terminal sickness and at the same time faces a challenge from another Wing Chun fighter who ambitiously seeks to claim the Wing Chun Grandmaster title	English; Cantonese	China; Hong Kong	1 win & 20 nominations	7.1	N/A	57	N/A	N/A	22-Jan-16	2016	1	93906	6	148	10	36000000	2679437	Well Go USA
Burn After Reading	2008	R	17	96	Comedy; Crime; Drama	Ethan Coen; Joel Coen	George Clooney; Frances McDormand; Brad Pitt; John Malkovich	Osbourne Cox a Balkan expert resigned from the CIA because of a drinking problem so he begins a memoir His wife wants a divorce and expects her lover Harry a philandering State Department marshal to leave his wife A CD-ROM falls out of a gym bag at a Georgetown fitness center Two employees there try to turn it into cash: Linda who wants money for cosmetic surgery and Chad an amiable goof Information on the disc leads them to Osbourne who rejects their sales pitch then they visit the Russian embassy To sweeten the pot they decide they need more of Osbournes secrets Meanwhile Lindas boss likes her and Harrys wife leaves for a book tour All roads lead to Osbournes house	English	USA; UK; France	Nominated for 2 Golden Globes Another 5 wins & 27 nominations	7	79	63	60338891	Focus Features	12-Sep-08	2008	9	34297	19	35	1	37000000	60355347	Focus Features
Space Chimps	2008	G	1	81	Animation; Adventure; Comedy	Kirk De Micco	Andy Samberg; Cheryl Hines; Jeff Daniels; Patrick Warburton	Ham III the grandson of the first chimp astronaut is blasted off into space by an opportunity-seeking senator Soon the fun-loving chimp has to get serious about the mission at hand ridding a far-away planet of their nefarious leader Fortunately for Ham III two of his simian peers are along for the ride	English	USA	1 nomination	4.5	34	36	29942542	20th Century Fox	18-Jul-08	2008	7	42011	4	15	1	37000000	30105968	Fox
Twilight	2008	PG-13	13	122	Drama; Fantasy; Romance	Catherine Hardwicke	Kristen Stewart; Sarah Clarke; Matt Bushell; Billy Burke	Bella Swan has always been a little bit different Never one to run with the crowd Bella never cared about fitting in with the trendy plastic girls at her Phoenix Arizona high school When her mother remarried and Bella chooses to live with her father in the rainy little town of Forks Washington she didnt expect much of anything to change But things do change when she meets the mysterious and dazzlingly beautiful Edward Cullen For Edward is nothing like any boy shes ever met Hes nothing like anyone shes ever met period Hes intelligent and witty and he seems to see straight into her soul In no time at all they are swept up in a passionate and decidedly unorthodox romance - unorthodox because Edward really isnt like the other boys He can run faster than a mountain lion He can stop a moving car with his bare hands Oh and he hasnt aged since 1918 Like all vampires hes immortal Thats right - vampire But he doesnt have fangs - thats just in the movies And he doesnt drink human blood though Edward and his family are unique among vampires in that lifestyle choice To Edward Bella is that thing he has waited 90 years for - a soul mate But the closer they get the more Edward must struggle to resist the primal pull of her scent which could send him into an uncontrollable frenzy Somehow or other they will have to manage their unmanageable love But when unexpected visitors come to town and realize that there is a human among them Edward must fight to save Bella? A modern visual and visceral Romeo and Juliet story of the ultimate forbidden love affair - between vampire and mortal	English	USA	29 wins & 15 nominations	5.2	49	56	191449475	Summit Entertainment	21-Nov-08	2008	11	10735445	6516	21753	1391	37000000	192769854	Summit Entertainment
The Rite	2011	PG-13	13	114	Drama; Horror; Mystery	Mikael Håfström	Anthony Hopkins; Colin O'Donoghue; Alice Braga; Ciarán Hinds	Michael the son of a funeral director grows indifferent to his father and joins a Seminary On his way to the course completion he is overwhelmed by a strong lack of faith His religious beliefs are further jolted when he sees a young girl haplessly dying in a road accident for whom he reluctantly performs the ritual to absolve her sins His mentor still believes in him and urges him to go to Italy to take an exorcism course hoping that he it would strengthen his faith in Christianity In Italy he attends a session from Father Xavier who soon becomes aware of his skepticism As a result he sends him to an eminent Jesuit exorcist Father Lucas whose ways though questionable are quite effective He witnesses the exorcism of a sixteen year old girl but still seems unconvinced Father Lucas explains to him that it takes multiple sessions over a long stretch of time to completely free a victim from the demon Despite witnessing some supernatural occurrences during the aforesaid exorcism Michael is as skeptical as ever After the second exorcism the girls condition becomes quite critical as she is moved to a hospital She soon dies and the demon finds a new victim As the moment of reckoning draws near Micheal may be the only hope left but first he must overcome his own doubts and apprehensions in order to fight and destroy the ominous forces	English; Welsh; Italian; Latin; Russian; Hungarian	USA; Hungary; Italy	1 win & 5 nominations	6	21	38	33037754	Warner Bros. Pictures/New Line Cinema	28-Jan-11	2011	1	2997532	1461	3002	243	37000000	33047633	Warner Bros. (New Line)
Aloha	2015	PG-13	13	105	Comedy; Drama; Romance	Cameron Crowe	Bradley Cooper; Emma Stone; Rachel McAdams; Bill Murray	A celebrated military contractor returns to the site of his greatest career triumphs - the US Space program in Honolulu Hawaii - and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him	English; Hawaiian; Russian	USA	2 wins & 7 nominations	5.4	19	40	15669178	Sony Pictures	29-May-15	2015	5	9719845	2333	21498	1521	37000000	21067116	Sony / Columbia
The Master	2012	R	17	138	Drama	Paul Thomas Anderson	Joaquin Phoenix; Price Carson; Mike Howard; Sarah Shoshana David	Returning from Navy service in World War II Freddie Quell drifts through a series of breakdowns Finally he stumbles upon a cult which engages in exercises to clear emotions and he becomes deeply involved with them	English	USA	Nominated for 3 Oscars Another 76 wins & 179 nominations	7.1	86	86	15800000	The Weinstein Company	14-Sep-12	2012	9	4643674	3272	7576	433	37500000	16377274	Weinstein Company
Ghosts of Girlfriends Past	2009	PG-13	13	100	Comedy; Fantasy; Romance	Mark Waters	Matthew McConaughey; Jennifer Garner; Michael Douglas; Breckin Meyer	Connor Mead a successful fashion photographer and a Lothario keen on casual sex goes to his younger brothers wedding to convince him not to marry He arrives at his dead uncles estate during the rehearsal the night before the wedding he starts in taking his brother aside trashing marriage Later in the mens room his uncle who taught Connor all he knows about women appears to him confesses to have been wrong and tells Connor that three ghosts will visit him that night: the ghosts of girlfriends past present and future Connor has already set the breakup in motion Can he learn anything from his life and fix what hes broken?	English	USA	1 win	5.8	26	34	55179308	Warner Bros. Pictures	1-May-09	2009	5	1070006	159	1334	62	37500000	55250026	Warner Bros. (New Line)
Cursed	2005	PG-13	13	97	Comedy; Horror	Wes Craven	Portia de Rossi; Mya; Shannon Elizabeth; Kristina Anapau	Ellie has been taking care of her younger brother Jimmy since their parents death One night after picking him up from a party they are involved in a car accident on Mullholland Drive While trying to rescue a woman from the other car a creature attacks and kills her also injuring both Ellie and Jimmy After some research Jimmy realizes the creature could only have been a werewolf	English	Germany; USA	3 nominations	5	N/A	31	N/A	N/A	25-Feb-05	2005	2	42805	9	152	13	38000000	19297522	Dimension Films
The Ugly Truth	2009	R	17	96	Comedy; Romance	Robert Luketic	Katherine Heigl; Gerard Butler; Bree Turner; Eric Winter	A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love His clever ploys however lead to an unexpected result	English	USA	3 wins & 5 nominations	6.5	13	28	88915214	Sony Pictures/Columbia	24-Jul-09	2009	7	3573957	383	5721	235	38000000	88915214	Sony / Columbia
Life as We Know It	2010	PG-13	13	114	Comedy; Drama; Romance	Greg Berlanti	Katherine Heigl; Josh Duhamel; Josh Lucas; Alexis Clagett	Holly and Eric were set up on a blind date by their friends Peter and Allison who are married After Peter and Allison are killed in an accident they learn that they have been named as the guardians to Peter and Allisons daughter Sophie So they move into their house and try their best to honor their friends wishes But raising a child puts a crimp on their style and they dont exactly get along	English	USA	2 nominations	6.6	28	39	53358964	Warner Bros. Pictures	8-Oct-10	2010	10	40746	2	52	2	38000000	53374681	Warner Bros.
True Grit	2010	PG-13	13	110	Adventure; Drama; Western	Ethan Coen; Joel Coen	Jeff Bridges; Hailee Steinfeld; Matt Damon; Josh Brolin	Following the murder of her father by hired hand Tom Chaney 14-year-old farm girl Mattie Ross sets out to capture the killer To aid her she hires the toughest US marshal she can find a man with true grit Reuben J Rooster Cogburn Mattie insists on accompanying Cogburn whose drinking sloth and generally reprobate character do not augment her faith in him Against his wishes she joins him in his trek into the Indian Nations in search of Chaney They are joined by Texas Ranger LaBoeuf who wants Chaney for his own purposes The unlikely trio find danger and surprises on the journey and each has his or her grit tested	English	USA	Nominated for 10 Oscars Another 37 wins & 153 nominations	7.6	95	80	171031347	Paramount Pictures	22-Dec-10	2010	12	35013	2	11	0	38000000	171243005	Paramount
Water for Elephants	2011	PG-13	13	120	Drama; Romance	Francis Lawrence	Reese Witherspoon; Robert Pattinson; Christoph Waltz; Paul Schneider	After his parents death Jacob Jankowski is left penniless and homeless Events lead him to joining the circus as their vet working under their unstable boss August whose violent tendencies give everyone reason to be cautious around him including his beautiful and quiet wife Marlena whom August is very possessive of and who Jacob finds himself soon falling in love with	English; Polish	USA	3 wins & 13 nominations	6.9	60	52	58700247	20th Century Fox	22-Apr-11	2011	4	194395	71	252	18	38000000	58709717	Fox
Riddick	2013	R	17	119	Action; Sci-Fi; Thriller	David Twohy	Vin Diesel; Jordi Mollà; Matt Nable; Katee Sackhoff	The infamous Riddick has been left for dead on a sun-scorched planet that appears to be lifeless Soon however he finds himself fighting for survival against alien predators more lethal than any human hes encountered The only way off is for Riddick to activate an emergency beacon and alert mercenaries who rapidly descend to the planet in search of their bounty The first ship to arrive carries a new breed of merc more lethal and violent while the second is captained by a man whose pursuit of Riddick is more personal With time running out and a storm on the horizon that no one could survive his hunters wont leave the planet without Riddicks head as their trophy	English	USA	2 nominations	6.4	57	49	35512027	Universal Classics	6-Sep-13	2013	9	8262443	4222	17496	1221	38000000	42025135	Universal
The 5th Wave	2016	PG-13	13	112	Action; Adventure; Sci-Fi	J Blakeson	Chloë Grace Moretz; Matthew Zuk; Gabriela Lopez; Bailey Anne Borders	Four waves of increasingly deadly attacks have left most of Earth in ruin Against a backdrop of fear and distrust Cassie is on the run desperately trying to save her younger brother As she prepares for the inevitable and lethal fifth wave Cassie teams up with a young man who may become her final hope - if she can only trust him	English	USA	1 nomination	5.2	15	33	N/A	Sony Pictures	22-Jan-16	2016	1	31138	19	193	26	38000000	34916787	Sony / Columbia
How to Be Single	2016	R	17	110	Comedy; Romance	Christian Ditter	Dakota Johnson; Rebel Wilson; Leslie Mann; Damon Wayans Jr.	Theres a right way to be single a wrong way to be single and thentheres Alice And Robin Lucy Meg Tom David New York City is full of lonely hearts seeking the right match be it a love connection a hook-up or something in the middle And somewhere between the teasing texts and one-night stands what these unmarrieds all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love Sleeping around in the city that never sleeps was never so much fun	English	USA	3 nominations	6.1	47	51	N/A	Warner Bros. Pictures	12-Feb-16	2016	2	7167295	1303	37339	1557	38000000	46843513	Warner Bros. (New Line)
Captain Underpants: The First Epic Movie	2017	PG	7	89	Animation; Action; Comedy	David Soren	Kevin Hart; Ed Helms; Nick Kroll; Thomas Middleditch	Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking hes a ridiculously enthusiastic incredibly dimwitted superhero named Captain Underpants	English	USA; Canada; France; UK; India	8 nominations	6.2	86	69	73895861	20th Century Fox	2-Jun-17	2017	6	11870832	19835	183423	9208	38000000	73921000	Fox
Only the Brave	2017	PG-13	13	134	Biography; Drama	Joseph Kosinski	Josh Brolin; Miles Teller; Jeff Bridges; Jennifer Connelly	Based on the true story of the Granite Mountain Hotshots a group of elite firefighters who risk everything to protect a town from a historic wildfire	English	USA	3 nominations	7.7	87	72	18255680	Columbia Pictures	20-Oct-17	2017	10	2010448	391	3532	152	38000000	150000	Indican
Shoot 'Em Up	2007	R	17	86	Action; Comedy; Crime	Michael Davis	Clive Owen; Paul Giamatti; Monica Bellucci; Stephen McHattie	Late at night in an unnamed US city a solitary man sits at a bus stop A pregnant woman runs by pursued by a man with a gun With reluctance the man at the bus stop rescues her and assists with the babys delivery while additional pursuers fire at them including the gangs particularly nasty leader an intuitive man named Hertz Our hero known only as Smith determines to save the child and find out why Hertz wants the baby dead At a local bordello he tries to employ a lactating hooker to watch the child but things quickly escalate and this makeshift family is soon on the run Heavy metal music calms the baby Why? A laboratory gun factory and presidential campaign all figure in Smiths quest for the childs safe deliverance	English; Italian	USA	3 nominations	6.7	67	49	12800000	New Line Cinema	7-Sep-07	2007	9	2782461	956	2840	225	39000000	12807139	New Line
Because I Said So	2007	PG-13	13	102	Comedy; Romance	Michael Lehmann	Diane Keaton; Mandy Moore; Gabriel Macht; Tom Everett Scott	Daphne Wilder is a mother whose love knows no bounds or boundaries She is the proud mom of three daughters: stable psychologist Maggie sexy and irreverent Mae and insecure adorable Milly - who when it comes to men is like psychotic flypaper In order to prevent her youngest from making the same mistakes she did Daphne decides to set Milly up with the perfect man Little does Milly know however that her mom placed an ad in the on-line personals to find him Comic mayhem unfolds as Daphne continues to do the wrong thing for the right reasonsall in the name of love In a battle of strong wills the mother-daughter dynamic is tested in all its fierce wacky complexity The girls help Daphne finally discover the truths and impossibilities of motherly love all while trying to answer the questions: where does it begin and where should it end?	English; Mandarin; Italian	USA	1 nomination	5.6	4	26	42640890	Universal Pictures	2-Feb-07	2007	2	793971	0	666	42	39000000	42674040	Universal
Hostiles	2017	R	17	134	Adventure; Drama; Western	Scott Cooper	Scott Shepherd; Rosamund Pike; Ava Cooper; Stella Cooper	In 1892 a legendary Army captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory	English; Cheyenne	USA	2 wins & 3 nominations	7.3	73	65	402903	Entertainment Studios Motion Pictures	22-Dec-17	2017	12	4919458	43	4614	44	39000000	29608024	Entertainment Studios
Get Rich or Die Tryin'	2005	R	17	117	Biography; Crime; Drama	Jim Sheridan	50 Cent; Adewale Akinnuoye-Agbaje; Joy Bryant; Omar Benson Miller	A tale of an inner city drug dealer who turns away from crime to pursue his passion rap music	English; Spanish	USA; Canada	6 wins & 3 nominations	5.2	16	45	30885034	Paramount Pictures	9-Nov-05	2005	11	406850	96	396	18	40000000	30985352	Paramount
Rent	2005	PG-13	13	135	Drama; Musical; Romance	Chris Columbus	Anthony Rapp; Adam Pascal; Rosario Dawson; Jesse L. Martin	This rock opera tells the story of one year in the life of a group of bohemians struggling in modern day East Village New York The story centers around Mark and Roger two roommates While a former tragedy has made Roger numb to life Mark tries to capture it through his attempts to make a film In the year that follows the group deals with love loss AIDS and modern day life in one truly powerful story	English	USA	1 win & 21 nominations	7	46	53	29077547	Sony Pictures	23-Nov-05	2005	11	202438				40000000	29077547	Sony (Revolution)
Sin City	2005	R	17	124	Crime; Thriller	Frank Miller; Robert Rodriguez; Quentin Tarantino	Jessica Alba; Devon Aoki; Alexis Bledel; Powers Boothe	Four tales of crime adapted from Frank Millers popular comics focusing around a muscular brute whos looking for the person responsible for the death of his beloved Goldie a man fed up with Sin Citys corrupt law enforcement who takes the law into his own hands after a horrible mistake a cop who risks his life to protect a girl from a deformed pedophile and a hitman looking to make a little cash	English	USA	33 wins & 51 nominations	8	77	74	N/A	Dimension Films	1-Apr-05	2005	4	2294413	1177	4180	150	40000000	74103820	Dimension Films
Wedding Crashers	2005	R	17	119	Comedy; Romance	David Dobkin	Owen Wilson; Vince Vaughn; Christopher Walken; Rachel McAdams	Two friends John (played by Owen Wilson) and Jeremy (Vince Vaughn) crash weddings to pick up women One day they crash the wedding of the daughter of the Treasury Secretary Secretary Cleary (Christopher Walken) Instead of short-term flings they end up being invited to the Clearys island estate and potentially meet the loves of their lives	English	USA	11 wins & 11 nominations	7	76	64	209218368	New Line Cinema	15-Jul-05	2005	7	1250958	90	1268	80	40000000	209255921	New Line
Apocalypto	2006	R	17	139	Action; Adventure; Drama	Mel Gibson	Rudy Youngblood; Dalia Hernández; Jonathan Brewer; Morris Birdyellowhead	In the Maya civilization a peaceful tribe is brutally attacked by warriors seeking slaves and human beings for sacrifice for their gods Jaguar Paw hides his pregnant wife and his son in a deep hole nearby their tribe and is captured while fighting with his people An eclipse spares his life from the sacrifice and later he has to fight to survive and save his beloved family	Maya	USA	Nominated for 3 Oscars Another 9 wins & 20 nominations	7.8	65	68	50772724	Buena Vista Pictures	8-Dec-06	2006	12	4101625	930	7114	533	40000000	50866635	Buena Vista
Eight Below	2006	PG	7	120	Adventure; Drama; Family	Frank Marshall	Paul Walker; Bruce Greenwood; Moon Bloodgood; Wendy Crewson	In the Antarctic after an expedition with Dr Davis McClaren the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm He ties his dogs to be rescued after but the mission is called-off and the dogs are left alone at their own fortune For six months Jerry tries to find a sponsor for a rescue mission while his dogs fight for survival	English	USA	2 wins & 2 nominations	7.3	72	64	81593527	Buena Vista Pictures	17-Feb-06	2006	2	1055306	470	1873	46	40000000	81612565	Buena Vista
Marie Antoinette	2006	PG-13	13	123	Biography; Drama; History	Sofia Coppola	Kirsten Dunst; Jason Schwartzman; Judy Davis; Rip Torn	All eyes will be on you says the Austrian Empress Maria Theresa to her youngest daughter Marie Antoinette The film marketed for a teen audience is an impressionistic retelling of Marie Antoinettes life as a young queen in the opulent and eccentric court at Versailles The film focuses on Marie Antoinette as she matures from a teenage bride to a young woman and eventual queen of France	English; French; Latin	USA; France; Japan	Won 1 Oscar Another 18 wins & 23 nominations	6.4	54	65	15962471	Sony Pictures	20-Oct-06	2006	10	2103473	1051	2942	165	40000000	15962471	Sony / Columbia
The Lake House	2006	PG	7	99	Drama; Fantasy; Romance	Alejandro Agresti	Keanu Reeves; Sandra Bullock; Christopher Plummer; Ebon Moss-Bachrach	When two people connect the bond between them can be so pure and simple as to stir hearts in heaven When they connect in all the right places at all the wrong times heaven weeps for broken hearts To heal these broken hearts heaven breaks time	English	USA	2 wins & 2 nominations	6.8	35	52	52300000	Warner Bros. Pictures	16-Jun-06	2006	6	1256375	248	2422	73	40000000	52330111	Warner Bros.
