title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
The Informers	2008	R	17	98	Crime; Drama; Thriller	Gregor Jordan	Jon Foster; Billy Bob Thornton; Austin Nichols; Amber Heard	Loosely connected stories capture a week in LA in 1983 featuring movie executives rock stars a vampire and other morally challenged characters in adventures laced with sex drugs and violence	English	Germany; USA	N/A	5	12	20	N/A	Senator International	24-Apr-09	2009	4	294201	47	114	18	18000000	300000	Senator Distribution
Blue Jasmine	2013	PG-13	13	98	Drama	Woody Allen	Cate Blanchett; Joy Carlin; Richard Conti; Glen Caspillo	Jasmine French used to be on the top of the heap as a New York socialite but now is returning to her estranged sister in San Francisco utterly ruined As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored she tries to recover in her present Unfortunately it all proves a losing battle as Jasmines narcissistic hangups and their consequences begin to overwhelm her In doing so her old pretensions and new deceits begin to foul up everyones lives especially her own	English	USA	Won 1 Oscar Another 54 wins & 75 nominations	7.3	91	78	N/A	Sony Pictures Classics	26-Jul-13	2013	7	39993	19	47	17	18000000	33405481	Sony Classics
And So It Goes	2014	PG-13	13	94	Comedy; Drama; Romance	Rob Reiner	Michael Douglas; Diane Keaton; Sterling Jerins; Annie Parisse	Oren Little has turned his back on all his neighbors and shunned the notion of being kind to others after the death of his wife Next door neighbor Leah has put her soul and her tears into her stagnant singing career after the death of her husband But then Orens son shows up needing Oren to take care of his daughter Sarah Oren has no patience for children Leah never had any of her own but 9-year-old Sarah just might be the spark that allows these two lonely souls to turn their home into a Little Shangri-La	English	USA	1 nomination	5.8	18	38	10482672	Clarius Entertainment	25-Jul-14	2014	7	139563	12	94	18	18000000	15160801	Clarius Entertainment
Norm of the North	2016	PG	7	90	Animation; Adventure; Comedy	Trevor Wall	Rob Schneider; Heather Graham; Ken Jeong; Bill Nighy	When a real estate development invades his Arctic home Norm and his three lemming friends head to New York City where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland	English	USA; India; Ireland	N/A	3.6	9	21	12320716	Lionsgate	15-Jan-16	2016	1	2172147				18000000	17062499	Lionsgate
Midnight Special	2016	PG-13	13	112	Drama; Mystery; Sci-Fi	Jeff Nichols	Michael Shannon; Joel Edgerton; Kirsten Dunst; Adam Driver	Alton Meyer is a boy unlike any other in the world with bizarrely powerful abilities and strange weaknesses In the middle of the night his father Roy spirits him away from the isolated cult that practically worships him and is determined to regain him at all costs At the same time Altons abilities have been noticed by the US government as well and they are equally insistent on getting to the bottom of this mystery with Paul Sevier of the National Security Agency leading the Federal pursuit with his own questions These rival hunts force father and son into a desperate run towards a looming date with destiny that could change everything	English	USA; Greece	3 wins & 14 nominations	6.6	83	76	3324164	Warner Bros. Pictures	18-Mar-16	2016	3	56681	85	672	38	18000000	3712282	Warner Bros.
My Big Fat Greek Wedding 2	2016	PG-13	13	94	Comedy; Family; Romance	Kirk Jones	Nia Vardalos; John Corbett; Michael Constantine; Lainie Kazan	Still working in her parents Greek restaurant Toula Portokalos daughter Paris is growing up She is getting ready to graduate high school and Toula and Ian are experiencing marital issues When Toulas parents find out they were never officially married another wedding is in the works Can this big fat Greek event help to bring the family together?	English; Greek	USA; Canada	3 nominations	6	28	37	52069651	Gold Circle Films	25-Mar-16	2016	3	28975	10	144	20	18000000	59689605	Universal
The Circle	2017	PG-13	13	110	Drama; Sci-Fi; Thriller	James Ponsoldt	Emma Watson; Ellar Coltrane; Glenne Headly; Bill Paxton	When Mae is hired to work for the worlds largest and most powerful tech and social media company she sees it as an opportunity of a lifetime As she rises through the ranks she is encouraged by the companys founder Eamon Bailey to engage in a groundbreaking experiment that pushes the boundaries of privacy ethics and ultimately her personal freedom Her participation in the experiment and every decision she makes begin to affect the lives and future of her friends family and that of humanity	English	United Arab Emirates; USA	1 win	5.3	16	43	20476300	EuropaCorp / STXfilms	28-Apr-17	2017	4	353389	132	1231	18	18000000	440554	Winstar
Seraphim Falls	2006	R	17	115	Action; Drama; Thriller	David Von Ancken	Liam Neeson; Pierce Brosnan; Michael Wincott; Xander Berkeley	In the 1860s five men have been tracking a sixth across Nevada for more than two weeks They shoot and wound him but he gets away They pursue led by the dour Carver who will pay them each $1 a day once hes captured The hunted is Gideon resourceful skilled with a knife Gideons flight and Carvers hunt require horses water and bullets The course takes them past lone settlers a wagon train a rail crew settlements and an Indian philosopher What is the reason for the hunt what connects Gideon and Carver? What happened at Seraphim Falls?	English	USA	1 win & 1 nomination	6.7	55	62	287772	Samuel Goldwyn Films	26-Jan-07	2007	1	75719	3	63	10	18000000	418296	IDP
The Invention of Lying	2009	PG-13	13	100	Comedy; Fantasy; Romance	Ricky Gervais; Matthew Robinson	Ricky Gervais; Jennifer Garner; Jonah Hill; Louis C.K.	Its a world where everyone tells the truth - and just about anything theyre thinking Mark Bellison is a screenwriter about to be fired Hes short and chunky with a flat nose - a genetic setup that means he wont get to first base with Anna the woman he loves At a bank on the spur of the moment he blurts out a fib with eye-popping results Then when his mothers on her deathbed frightened of the eternal void awaiting her Mark invents fiction The hospital staff overhear his description of Heaven believe every word and tell others Soon Mark is a prophet his first inventive screenplay makes him rich and hes basically a good guy But will that be enough for Anna?	English	USA	1 nomination	6.4	57	58	18439082	Warner Bros. Pictures	2-Oct-09	2009	10	55092	3	235	10	18500000	18451251	Warner Bros.
The Amityville Horror	2005	R	17	90	Drama; Horror; Mystery	Andrew Douglas	Ryan Reynolds; Melissa George; Jesse James; Jimmy Bennett	In December 1975 George and Kathy Lutz along with their three children move into an elegant Long Island house What they dont know is that the house was the site of a horrific mass murder a year before They decide to keep the house and attempt to keep the horror in the past but are now haunted by a murderous presence This is until George starts to behave weirdly and their daughter Chelsea starts to see people What follows is 28 days of sheer unbridled terror for the family with demonic visions of the dead Based on the true story of George and Kathy Lutz The Amityville Horror remains one of the most horrifying haunted house stories ever told - because it actually happened	English	USA	2 wins & 4 nominations	6	24	33	64255243	MGM	15-Apr-05	2005	4	193572	44	199	15	18500000	86432000	American International Pictures
The Exorcism of Emily Rose	2005	PG-13	13	119	Drama; Horror; Thriller	Scott Derrickson	Laura Linney; Tom Wilkinson; Campbell Scott; Jennifer Carpenter	When a younger girl called Emily Rose dies everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death The priest is arrested on suspicion of murder The trail begins with lawyer Erin Bruner representing Moore but it is not going to be easy as no one wants to believe what Father Moore says is true	English; Syriac; German; Greek; Hebrew; Latin; Aramaic	USA	4 wins & 9 nominations	6.7	20	46	N/A	Dimension Films	9-Sep-05	2005	9	41306	4	118	8	19000000	75072454	Sony / Screen Gems
Gone Baby Gone	2007	R	17	114	Crime; Drama; Mystery	Ben Affleck	Casey Affleck; Michelle Monaghan; Morgan Freeman; Ed Harris	When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case the girls aunt Beatrice McCready hires two private detectives Patrick Kenzie and Angie Gennaro The detectives freely admit that they have little experience with this type of case but the family wants them for two reasons - theyre not cops and they know the tough Boston neighborhood in which they all live As the case progresses Kenzie and Gennaro face drug dealers gangs and pedophiles When they are about to solve their case they are faced with a moral dilemma that could tear them apart	English	USA	Nominated for 1 Oscar Another 34 wins & 29 nominations	7.7	94	72	20300218	Miramax	19-Oct-07	2007	10	1160715	214	1043	101	19000000	20300218	Miramax
Vacancy	2007	R	17	85	Crime; Horror; Thriller	Nimród Antal	Kate Beckinsale; Luke Wilson; Frank Whaley; Ethan Embry	David and Amy Fox find themselves stranded in the middle of nowhere when their car breaks down Luckily they come across a motel with a TV to entertain them during their overnight stay However theres something very strange and familiar about the Grade-Z slasher movies that the motel broadcasts for its guests enjoyment They all appear to be filmed in the very same room they occupy! Realizing that they are trapped in their room with hidden cameras now aimed at them filming their every move David and Amy desperately find a means of escape through locked doors crawlspaces and underground tunnels before they too become the newest stars of the mystery filmmakers next cult classic!	English	USA	1 nomination	6.2	56	54	18986844	Sony/Screen Gems	20-Apr-07	2007	4	8634	5	61	6	19000000	19363565	Sony / Screen Gems
Sex Drive	2008	R	17	109	Adventure; Comedy; Romance	Sean Anders	Josh Zuckerman; Amanda Crew; Clark Duke; James Marsden	Ian is a high school senior in suburban Chicago plagued by being a virgin Online hes inflated his resume met Ms Tasty and agreed to drive to Knoxville where she promises sex He steals his homophobic macho brothers GTO and with his two best friends Lance and Felicia heads south Every young woman who meets Lance including Felicia is attracted to him as he practices his aptly learned Pick-Up Artist skills Ian on the other hand is a decent guy who wouldnt mind if his friendship with Felicia became a romance By the time they get to Knoxville they have encountered a jealous boyfriend a menacing hitchhiker jail birds carjackers an Amish community and Ians better judgment	English	USA	N/A	6.5	46	49	8364827	Summit Entertainment	17-Oct-08	2008	10	4174585	1064	4911	1040	19000000	8402485	Summit Entertainment
Leap Year	2010	PG	7	100	Comedy; Romance	Anand Tucker	Amy Adams; Matthew Goode; Adam Scott; John Lithgow	A woman who has an elaborate scheme to propose to her boyfriend on Leap Day an Irish tradition which occurs every time the date February 29 rolls around faces a major setback when bad weather threatens to derail her planned trip to Dublin With the help of an innkeeper however her cross-country odyssey just might result in her getting engaged	English; Ukrainian	USA; Ireland	N/A	6.5	22	71	25893485	Universal Pictures	24-Jun-11	2011	6	31316	10	29	3	19000000	25918920	Universal
