title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Paper Heart|2009|PG-13|Fri Aug 28 2009 00:00:00 GMT-0400 (EDT)|88 min|Comedy; Drama; Romance|Nicholas Jasenovec|Charlyne Yi; Michael Cera; Jake Johnson; Gill Summers|Charlyne Yi embarks on a quest across America to make a documentary about the one subject she doesnt fully understand: Love Michael Cera becomes the object of her affection Weaving together reality and fantasy Paper Heart combines elements of documentary and traditional storytelling to get at modern romance|English|USA|1 win & 3 nominations|6.0/10|59%|54/100|54|6|movie|$1,149,350|Overture Films|Paper Heart|7-Aug-09|Drama, Comedy, Romance|54|Paper Heart|369905|0|265|751|36
Orphan|2009|R|Fri Jul 24 2009 00:00:00 GMT-0400 (EDT)|123 min|Horror; Mystery; Thriller|Jaume Collet-Serra|Vera Farmiga; Peter Sarsgaard; Isabelle Fuhrman; CCH Pounder|Kate and John Coleman are rebuilding their troubled marriage after the loss of their baby The couple decide to adopt a child When they meet the nine-year-old Estonian girl Esther at the St Marina Orphanage they immediately fall in love with the well-educated orphan Their young son Daniel is hostile to his new sister but their deaf mute daughter Max is enchanted with her - at first Eventually Kate begins to feel that Esther is manipulative and possibly even psychologically disturbed John refuses to listen to his wifes misgivings Kate calls Sister Abigail at the orphanage and the nun informs her that Esther has a troubled and mysterious history Kate delves further into Esthers past and discovers she is not what she claims to be|English; American Sign Language; Estonian|USA; Canada; Germany|1 win & 7 nominations|7.0/10|56%|42/100|42|7|movie|$41,472,886|Warner Bros. Pictures|Orphan|24-Jul-09|Drama, Thriller, Horror|42|Orphan|4290985|0|3169||
My Life in Ruins|2009|PG-13|Fri Jun 05 2009 00:00:00 GMT-0400 (EDT)|95 min|Comedy; Romance|Donald Petrie|Nia Vardalos; Richard Dreyfuss; Alexis Georgoulis; Alistair McGowan|Georgia is an American academic whos lost her teaching job in Athens Shes taken a job as a tour guide but she hates it and it shows: the tourists mostly American are bored with history and facts they want to shop Every group has a goofy couple a frat boy a sullen teen a feuding couple divorcées looking for a mate and a funny guy This group is no exception plus theres no air conditioning and a bearded silent driver Thanks to an unlikely friendship plus daisies an ice-cream cone the history of syrup and the Oracle at Delphi Georgia may have a shot at finding her kefi during this four-day tour|English; Greek|USA; Spain|1 nomination|5.9/10|9%|34/100|34|5.9|movie|$8,474,608|Fox Searchlight Pictures|My Life in Ruins|5-Jun-09|Comedy, Romance|34|My Life in Ruins|1930756|0|541|2121|200
The Pink Panther 2|2009|PG|Fri Feb 06 2009 00:00:00 GMT-0500 (EST)|92 min|Adventure; Comedy; Crime|Harald Zwart|Steve Martin; Jean Reno; Emily Mortimer; Andy Garcia|After having been rewarded for solving the mystery of the Pink Panther Diamond inspector Jacques Clouseau has been assigned to minor tasks by his boss inspector Dreyfus so as not to have him in his way anymore Unfortunately the famous diamond has once again been stolen as have many other artifacts in a series of burglaries around the world His past success will enable inspector Clouseau to be part of the dream team comprised of the greatest detectives of the affected countries where he will be able to display his numerous talents across the world|English; French; Spanish; Italian|USA|3 nominations|5.6/10|12%|36/100|36|5.6|movie|$35,922,978|Sony Pictures|The Pink Panther 2|6-Feb-09|Adventure, Mystery, Comedy, Crime|36|The Pink Panther 2|507237|0|177|590|55
A Perfect Getaway|2009|R|Fri Aug 07 2009 00:00:00 GMT-0400 (EDT)|98 min|Adventure; Mystery; Thriller|David Twohy|Steve Zahn; Timothy Olyphant; Milla Jovovich; Kiele Sanchez|For their honeymoon newlyweds Cliff and Cydney head to the tropical islands of Hawaii While journeying through the paradisaical countryside the couple encounters Kale and Cleo two disgruntled hitchhikers and Nick and Gina two wild but well-meaning spirits who help guide them through the lush jungles The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that theyre being followed by chance acquaintances that suspiciously fit the description of the killers|English|USA|1 nomination|6.5/10|61%|63/100|63|6.5|movie|$15,536,310|Universal Pictures|A Perfect Getaway|7-Aug-09|Drama, Mystery, Thriller|63|A Perfect Getaway|172625|0|36|85|9
A Perfect Getaway|2009|R|Fri Aug 07 2009 00:00:00 GMT-0400 (EDT)|98 min|Adventure; Mystery; Thriller|David Twohy|Steve Zahn; Timothy Olyphant; Milla Jovovich; Kiele Sanchez|For their honeymoon newlyweds Cliff and Cydney head to the tropical islands of Hawaii While journeying through the paradisaical countryside the couple encounters Kale and Cleo two disgruntled hitchhikers and Nick and Gina two wild but well-meaning spirits who help guide them through the lush jungles The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that theyre being followed by chance acquaintances that suspiciously fit the description of the killers|English|USA|1 nomination|6.5/10|61%|63/100|63|6.5|movie|$15,536,310|Universal Pictures|A Perfect Getaway|7-Aug-09|Drama, Mystery, Thriller|63|A Perfect Getaway|172625|0|36|85|9
Planet 51|2009|PG|Fri Nov 20 2009 00:00:00 GMT-0500 (EST)|91 min|Animation; Adventure; Comedy|Jorge Blanco; Javier Abad(co-director); Marcos Martínez(co-director)|Dwayne Johnson; Jessica Biel; Justin Long; Gary Oldman|Lem is just an average teenager working on getting the girl and furthering his career at the local planetarium - except that hes an alien At least to US astronaut Captain Charles T Baker who lands on Lems planet hoping for a quick flag plant and a hasty return to earth and his millions of screaming fans But on this alien planet the media has tagged spacemen as brain-eating zombie-creating monsters causing Baker to run for his life and into Lems house Now its up to the green native to get the clumsy astronaut back to his spaceship before military dictator General Grawl and mad scientist Professor Kipple manage to exterminate the Earthly visitor|English; Spanish|Spain; UK; USA|4 wins & 4 nominations|6.1/10|21%|39/100|39|6.1|movie|$42,194,060|Sony Pictures/TriStar Pictures|Planet 51|20-Nov-09|Adventure, Sci-Fi, Fantasy, Comedy, Animation, Family|39|Planet 51|569577|0|196|868|96
Public Enemies|2009|R|Wed Jul 01 2009 00:00:00 GMT-0400 (EDT)|140 min|Biography; Crime; Drama|Michael Mann|Christian Bale; Christian Stolte; Jason Clarke; Johnny Depp|This is the story of the last few years of the notorious bank robber John Dillinger He loved what he did and could imagine little else that would make him happier Living openly in 1930s Chicago he had the run of the city with little fear of reprisals from the authorities Its there that he meets Billie Frechette with whom he falls deeply in love In parallel we meet Melvin Purvis the FBI agent who would eventually track Dillinger down The FBI was is in its early days and Director J Edgar Hoover was keen to promote the clean cut image that so dominated the organization through his lifetime Purvis realizes that if he is going to get Dillinger he will have to use street tactics and imports appropriate men with police training Dillinger is eventually betrayed by an acquaintance who tells the authorities just where to find him on a given night|English|USA; Japan|1 win & 14 nominations|7.0/10|68%|70/100|70|7|movie|$97,000,000|Universal Studios|Public Enemies|1-Jul-09|Biography, Drama, History, Thriller, Romance, Crime|70|Public Enemies|3759559|0|1551|5756|244
The Princess and the Frog|2009|G|Fri Dec 11 2009 00:00:00 GMT-0500 (EST)|97 min|Animation; Adventure; Comedy|Ron Clements; John Musker|Anika Noni Rose; Bruno Campos; Keith David; Michael-Leon Wooley|A modern day retelling of the classic story The Frog Prince The Princess and the Frog finds the lives of arrogant carefree Prince Naveen and hardworking waitress Tiana crossing paths Prince Naveen is transformed into a frog by a conniving voodoo magician and Tiana following suit upon kissing the amphibian royalty With the help of a trumpet-playing alligator a Cajun firefly and an old blind lady who lives in a boat in a tree Naveen and Tiana must race to break the spell and fulfill their dreams|English; French|USA|Nominated for 3 Oscars Another 11 wins & 38 nominations|7.1/10|85%|73/100|73|7.1|movie|$104,374,107|Walt Disney Pictures|The Princess and the Frog|25-Nov-09|Fantasy, Romance, Animation, Family, Musical|73|The Princess and the Frog|7913274|0|82|6212|1865
Old Dogs|2009|PG|Wed Nov 25 2009 00:00:00 GMT-0500 (EST)|88 min|Comedy; Family|Walt Becker|John Travolta; Robin Williams; Kelly Preston; Conner Rayburn|Charlie and Dan have been best friends and business partners for thirty years and their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company With two weeks to sew up the contract Dan gets a surprise a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him hes the father of her twins now seven and shell be in jail for 14 days for a political protest Dan volunteers to keep the tykes although hes uptight and clueless With Charlies help is there any way they can be dad and uncle meet the kids expectations and still land the account?|English; Ukrainian|USA|5 nominations|5.4/10|5%|19/100|19|5.4|movie|$49,474,048|Walt Disney Pictures|Old Dogs|25-Nov-09|Comedy, Family|19|Old Dogs|2002212|0|510|2392|280
Ninja Assassin|2009|R|Wed Nov 25 2009 00:00:00 GMT-0500 (EST)|99 min|Action; Crime; Fantasy|James McTeigue|Rain; Joon Lee; Jonathan Chan-Pensley; Ill-Young Kim|Trained since childhood to be a lethal killer Raizo has since turned his back on the Ozunu clan that raised him and now seeks revenge for their heartless murders Teaming up with Europol investigator Mika Raizo steadily butchers his enemies while inching ever closer to the long-awaited bloody reunion with his former master|English|Germany; USA|N/A|6.4/10|25%|34/100|34|6.4|movie|$38,105,077|Warner Bros. Pictures/Dark Castle Ent.|Ninja Assassin|25-Nov-09|Action, Drama, Thriller, Crime|34|Ninja Assassin|3589333|0|1003|5234|281
Pandorum|2009|R|Fri Sep 25 2009 00:00:00 GMT-0400 (EDT)|108 min|Action; Horror; Mystery|Christian Alvart|Dennis Quaid; Ben Foster; Cam Gigandet; Antje Traue|Two crew members are stranded on a spacecraft and quickly - and horrifically - realize they are not alone Two astronauts awaken in a hyper-sleep chamber aboard a seemingly abandoned spacecraft Its pitch black they are disoriented and the only sound is a low rumble and creak from the belly of the ship They cant remember anything: Who are they? What is their mission? With Lt Payton staying behind to guide him via radio transmitter Cpl Bower ventures deep into the ship and begins to uncover a terrifying reality Slowly the spacecrafts shocking deadly secrets are revealedand the astronauts find their own survival is more important than they could ever have imagined|English; Vietnamese; German|Germany; UK; USA|N/A|6.8/10|28%|28/100|28|6.8|movie|$10,261,085|Overture Films|Pandorum|25-Sep-09|Action, Sci-Fi, Thriller, Horror|28|Pandorum|505267|0|||
The Private Lives of Pippa Lee|2009|R|Fri Jul 10 2009 00:00:00 GMT-0400 (EDT)|98 min|Comedy; Drama; Romance|Rebecca Miller|Robin Wright; Mike Binder; Alan Arkin; Winona Ryder|Pippa Lee feels dislocated when she and her husband Herb move from Manhattan to a retirement community Hes older than she they have two children who are young adults and the daughter hardly speaks to Pippa Pippa tells us about her life in long flashbacks starting with her birth to a mom who was a social dynamo and addicted to pills As a teen Pippa moves out and lives a hippie life until meeting Herb who was then married to a young siren Pippa discloses tragedies and discoveries In the present shes sleepwalking at night and talking from time to time with a burned-out case the 35-year-old son of a neighbor Can Pippa connect?|English|USA|1 win & 4 nominations|6.4/10|68%|49/100|49|6.4|movie|N/A|Screen Media Films|The Private Lives of Pippa Lee|27-Nov-09|Drama, Romance|49|The Private Lives of Pippa Lee|677916|0|110|336|28
My One and Only|2009|PG-13|Fri Sep 25 2009 00:00:00 GMT-0400 (EDT)|108 min|Adventure; Biography; Comedy|Richard Loncraine|Renée Zellweger; Logan Lerman; Kevin Bacon; Troy Garity|An unusual road trip movie about a mother driving her two sons from New York to Pittsburgh to St Louis and eventually Hollywood in her quest to find a man to take care of them all|English|USA|2 wins & 3 nominations|6.6/10|68%|62/100|62|6.6|movie|$2,314,502|Freestyle Releasing|My One and Only|21-Aug-09|Drama, Comedy|62|My One and Only|186970|0|47|196|31
A Serious Man|2009|R|Fri Nov 06 2009 00:00:00 GMT-0500 (EST)|106 min|Comedy; Drama|Ethan Coen; Joel Coen|Michael Stuhlbarg; Richard Kind; Fred Melamed; Sari Lennick|Bloomington Minnesota 1967: Jewish physics lecturer Larry Gopnik is a serious and a very put-upon man His daughter is stealing from him to save up for a nose job his pot-head son who gets stoned at his own bar-mitzvah only wants him round to fix the TV aerial and his useless brother Arthur is an unwelcome house guest But both Arthur and Larry get turfed out into a motel when Larrys wife Judy who wants a divorce moves her lover Sy into the house and even after Sys death in a car crash they are still there With lawyers bills mounting for his divorce Arthurs criminal court appearances and a land feud with a neighbour Larry is tempted to take the bribe offered by a student to give him an illegal exam pass mark And the rabbis he visits for advice only dole out platitudes Still God moves in mysterious - and not always pleasant - ways as Larry and his family will find out|English; Yiddish; Hebrew|USA; UK; France|Nominated for 2 Oscars Another 17 wins & 72 nominations|7.0/10|90%|79/100|79|7|movie|$9,190,525|Focus Features|A Serious Man|2-Oct-09|Drama|79|A Serious Man|231923|0|68|829|35
A Single Man|2009|R|Fri Feb 05 2010 00:00:00 GMT-0500 (EST)|99 min|Drama; Romance|Tom Ford|Colin Firth; Julianne Moore; Nicholas Hoult; Matthew Goode|Its November 30 1962 Native Brit George Falconer an English professor at a Los Angeles area college is finding it difficult to cope with life Jim his personal partner of sixteen years died in a car accident eight months earlier when he was visiting with family Jims family were not going to tell George of the death or accident let alone allow him to attend the funeral This day George has decided to get his affairs in order before he will commit suicide that evening As he routinely and fastidiously prepares for the suicide and post suicide George reminisces about his life with Jim But George spends this day with various people who see a man sadder than usual and who affect his own thoughts about what he is going to do Those people include Carlos a Spanish immigrant/aspiring actor/gigolo recently arrived in Los Angeles Charley his best friend who he knew from England she who is a drama queen of a woman who romantically desires her best friend despite his sexual orientation and Kenny Potter one of his students who seems to be curious about his professor beyond English class|English; Spanish|USA|Nominated for 1 Oscar Another 36 wins & 55 nominations|7.6/10|85%|77/100|77|7.6|movie|$9,098,668|The Weinstein Company|A Single Man|11-Dec-09|Drama|77|A Single Man|119243|0|3|249|9
Shorts|2009|PG|Fri Aug 21 2009 00:00:00 GMT-0400 (EDT)|89 min|Comedy; Family; Fantasy|Robert Rodriguez|Jimmy Bennett; Jake Short; Kat Dennings; Trevor Gagnon|A young boys discovery of a colorful wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it|English|USA; United Arab Emirates|1 win & 1 nomination|4.8/10|46%|53/100|53|4.8|movie|$20,875,468|Warner Bros. Pictures|Shorts|21-Aug-09|Fantasy, Comedy, Family|53|Shorts|304676|0|339|722|112
Post Grad|2009|PG-13|Fri Aug 21 2009 00:00:00 GMT-0400 (EDT)|88 min|Comedy; Romance|Vicky Jenson|Alexis Bledel; Zach Gilford; Michael Keaton; Jane Lynch|Ryden Malby has planned her academic life since she was in high school to get a college scholarship now she has just graduated in English and in her master plan she expects to get a job as assistant editor in the publishing house Happerman & Browning in Los Angeles Her platonic best friend is Adam Davis who has a crush on her and is frequently close to her However her arrogant classmate Jessica Bard gets the position and Ryden is forced to return home in the suburb to live with her family: her optimistic father Walter who wants to do everything by himself her careful mother Carmella who administrates the short resources of her family her eccentric grandmother Maureen and her weird little brother Hunter who wants to race in a boxcar derby Ryden unsuccessfully seeks a job and feels frustrated but is emotionally supported by Adam When Walter accidentally runs over the cat of his next-door neighbor David Santiago with Rydens car they visit him to give their sympathies Ryden feels attracted by the handsome Brazilian and has a brief affair with him forgetting Adam who decides to move to New York to study at Columbia Law School Meanwhile Ryden is invited to join Happerman & Browning and discovers that feelings cannot be planned|English|USA|N/A|5.3/10|8%|35/100|35|5.3|movie|$6,290,448|Fox Searchlight Pictures|Post Grad|21-Aug-09|Comedy|35|Post Grad|236835|0|75|178|21
Sherlock Holmes|2009|PG-13|Fri Dec 25 2009 00:00:00 GMT-0500 (EST)|128 min|Action; Adventure; Crime|Guy Ritchie|Robert Downey Jr.; Jude Law; Rachel McAdams; Mark Strong|After finally catching serial killer and occult sorcerer Lord Blackwood legendary sleuth Sherlock Holmes and his assistant Dr Watson can close yet another successful case But when Blackwood mysteriously returns from the grave and resumes his killing spree Holmes must take up the hunt once again Contending with his partners new fiancée and the dimwitted head of Scotland Yard the dauntless detective must unravel the clues that will lead him into a twisted web of murder deceit and black magic - and the deadly embrace of temptress Irene Adler|English; French|USA; Germany|Nominated for 2 Oscars Another 10 wins & 27 nominations|7.6/10|70%|57/100|57|7.6|movie|$208,711,166|Warner Bros. Pictures/Village Roadshow|Sherlock Holmes|25-Dec-09|Action, Adventure, Mystery, Thriller, Crime|57|Sherlock Holmes|268068|0|138|328|20
The Road|2009|R|Fri Dec 18 2009 00:00:00 GMT-0500 (EST)|111 min|Adventure; Drama|John Hillcoat|Viggo Mortensen; Kodi Smit-McPhee; Robert Duvall; Guy Pearce|Its a post-apocalyptic world several years after whatever the cataclysmic event which has in turn caused frequent quakes as further potential hazards The world is gray and getting quickly grayer as more and more things die off A man and his pre-teen son who was born after the apocalypse are currently on the road their plan to walk to the coast and head south where the man hopes there will be a more hospitable environment in which to live The man has taught his son that they are the good people who have fire in their hearts which in combination largely means that they will not resort to cannibalism to survive The man owns a pistol with two bullets remaining which he will use for murder/suicide of him and his son if he feels that that is a better fate for them than life in the alternative Food and fuel are for what everyone is looking The man has taught his son to be suspect of everyone that they may meet these strangers who out of desperation may not only try to steal what they have managed to scavenge for their own survival but may kill them as food Although life with his father in this world is all the boy has known he may come to his own thoughts as to what it means holistically to be one of the good or one of the bad Meanwhile the man occasionally has thoughts to happier times with his wife/the boys mother before the apocalypse as well as not as happy times with her after the apocalypse and the reason she is no longer with them|English|USA|Nominated for 1 BAFTA Film Award Another 5 wins & 31 nominations|7.3/10|74%|64/100|64|7.3|movie|$8,025,059|The Weinstein Co./Dimension|The Road|25-Nov-09|Adventure, Drama, Thriller|64|The Road|147703|0|40|100|9
Sorority Row|2009|R|Fri Sep 11 2009 00:00:00 GMT-0400 (EDT)|101 min|Horror; Mystery|Stewart Hendler|Teri Andrez; Adam Barrie; Megan Wolfley; Robert Belushi|Sorority Row sees a group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong only to be stalked by a serial killer|English|USA|2 nominations|5.1/10|23%|24/100|24|5.1|movie|$11,915,856|Summit Entertainment|Sorority Row|11-Sep-09|Thriller, Horror|24|Sorority Row|167816|0|43|656|19
Terminator Salvation|2009|PG-13|Thu May 21 2009 00:00:00 GMT-0400 (EDT)|115 min|Action; Adventure; Sci-Fi|McG|Christian Bale; Sam Worthington; Moon Bloodgood; Helena Bonham Carter|In 2003 in the Longview State Correctional Facility the criminal Marcus Wright is on death row and is convinced by the cancerous Dr Serena Kogan to donate his body to her research and he accepts In 2018 after an unsuccessful attack to a Skynet facility only John Connor survives but he discovers that Skynet is developing the powerful new model T-800 Out of the blue Marcus appears naked and with amnesia in the location Marcus befriends the teenager Kyle Reese and the girl Star who help him to survive the lethal machines and they travel together in a Jeep Meanwhile the resistance discovers a signal that might turn-off the machines and John offers to test it When Kyle is captured by a machine and brought to the Skynet headquarters Marcus decides to help the youngster and heads to Skynet on the way he saves Blair Williams who suggests to him that he should meet John Connor first But Marcus steps on a mine and is submitted to surgery when a secret about his origins is disclosed|English; Italian|USA; Germany; UK; Italy|2 wins & 13 nominations|6.6/10|33%|49/100|49|6.6|movie|$125,286,889|Warner Bros. Pictures|Terminator Salvation|21-May-09|Action, Adventure, Sci-Fi, Thriller|49|Terminator Salvation|84858|0|39|105|10
Spread|2009|R|Wed Jul 08 2009 00:00:00 GMT-0400 (EDT)|97 min|Comedy; Drama; Romance|David Mackenzie|Ashton Kutcher; Anne Heche; Margarita Levieva; Sebastian Stan|In Los Angeles Nikki is homeless car-less and closing in on 30 but hes amoral good-looking and adept in the sack moving from one wealthy woman of 35 or 40 to another a kept boy-toy His newest gig with Samantha an attorney whose house overlooks LA is sweet although its unclear how long shell put up with him Then Nikki meets Heather a waitress Is the player being played or might this be love? What will Nikki discover?|English|USA|N/A|5.9/10|21%|43/100|43|5.9|movie|$122,948|Anchor Bay|Spread|14-Aug-09|Drama, Comedy, Romance|43|Spread|212185|0|9|245|29
The Stepfather|2009|PG-13|Fri Oct 16 2009 00:00:00 GMT-0400 (EDT)|101 min|Crime; Thriller|Nelson McCormick|Dylan Walsh; Sela Ward; Penn Badgley; Amber Heard|Michael Harding returns home from military school to find his mother happily in love and living with her new boyfriend David As the two men get to know each other Michael becomes more and more suspicious of the man who is always there with a helpful hand Is he really the man of her dreams or could David be hiding a dark side?|English; German|USA|2 nominations|5.6/10|11%|33/100|33|5.6|movie|$29,062,561|Screen Gems|The Stepfather|16-Oct-09|Mystery, Thriller|33|The Stepfather|567620|0|257|604|64
Street Fighter: The Legend of Chun-Li|2009|PG-13|Fri Feb 27 2009 00:00:00 GMT-0500 (EST)|96 min|Action; Crime; Fantasy|Andrzej Bartkowiak|Kristin Kreuk; Chris Klein; Neal McDonough; Robin Shou|Chun-Li lives a calm life with her father when one day the local mobster Bison kidnaps her father After her mothers death she embarks into a quest to rescue her kidnapped father from the clutches of powerful criminal lord Bison|English; Hindi; Japanese; Thai|Canada; India; USA; Japan; Thailand|N/A|3.7/10|6%|17/100|17|3.7|movie|$8,646,753|20th Century Fox|Street Fighter: The Legend of Chun-Li|27-Feb-09|Action, Adventure, Sci-Fi, Thriller|17|Street Fighter: The Legend of Chun-Li|915399|0|602|505|269
Taking Woodstock|2009|R|Fri Aug 28 2009 00:00:00 GMT-0400 (EDT)|120 min|Biography; Comedy; Drama|Ang Lee|Henry Goodman; Edward Hibbert; Imelda Staunton; Demetri Martin|A man working at his parents motel in the Catskills inadvertently sets in motion the generation-defining concert in the summer of 1969|English|USA|8 nominations|6.7/10|48%|55/100|55|6.7|movie|$7,366,736|Focus Features|Taking Woodstock|26-Aug-09|Drama, Comedy, Music|55|Taking Woodstock|767354|0|256|1676|45
State of Play|2009|PG-13|Fri Apr 17 2009 00:00:00 GMT-0400 (EDT)|127 min|Crime; Drama; Mystery|Kevin Macdonald|Russell Crowe; Ben Affleck; Rachel McAdams; Helen Mirren|A petty thief is gunned down in an alley and a Congressmans assistant falls in front of a subway - two seemingly unrelated deaths But not to wisecracking brash newspaper reporter Cal McAffrey who spies a conspiracy waiting to be uncovered With a turbulent past connected to the Congressman and the aid of ambitious young rookie writer Della Frye Cal begins uprooting clues that lead him to a corporate cover-up full of insiders informants and assassins But as he draws closer to the truth the relentless journalist must decide if its worth risking his life and selling his soul to get the ultimate story|English; Cantonese|USA; UK; France|2 wins & 4 nominations|7.1/10|84%|64/100|64|7.1|movie|$36,965,395|Universal Pictures|State of Play|17-Apr-09|Drama, Mystery, Thriller|64|State of Play|91031|0|14|40|7
Race to Witch Mountain|2009|PG|Fri Mar 13 2009 00:00:00 GMT-0400 (EDT)|98 min|Action; Adventure; Family|Andy Fickman|Dwayne Johnson; AnnaSophia Robb; Alexander Ludwig; Carla Gugino|In Las Vegas the regenerated ex-con Jack Bruno works as taxi driver During an UFO Convention at Planet Hollywood the skeptical Jack picks up Dr Alex Friedman who will present a scientific lecture in the event Then he is pressed by two henchmen of his former boss the criminal Wolff that wants to talk to him but Jack does not want to return to the crime life Jack fights and gets rid of them out of the blue he finds two teenagers on the backseat of his cab They tell that they are siblings Sara and Seth and they need to travel to a location outside Las Vegas in the middle of nowhere Meanwhile the government finds a spacecraft that crashed nearby Las Vegas and is chasing the two aliens after the investigation of the men of Major Henry Burke they discover that the two siblings are the aliens Jack Bruno Sara and Seth are chased by Henry Burkes team and by the Syphon a killer from outer space that has been sent to kill them by the military of their planet that want to invade Earth Sara and Seth explain that they traveled to Earth to collect scientific data of an experiment and save Earth from invasion but they need to return immediately to their planet Jack teams up with Dr Alex to retrieve their spacecraft in a secret base in the Witch Mountain|English|USA|1 nomination|5.7/10|42%|52/100|52|5.7|movie|$67,128,202|Walt Disney Pictures|Race to Witch Mountain|13-Mar-09|Adventure, Sci-Fi, Thriller, Fantasy, Family|52|Race to Witch Mountain|1100024|0|204|1641|74
Saw VI|2009|R|Fri Oct 23 2009 00:00:00 GMT-0400 (EDT)|90 min|Horror; Mystery|Kevin Greutert|Tobin Bell; Costas Mandylor; Mark Rolston; Betsy Russell|Special Agent Strahm is dead and Detective Hoffman has emerged as the unchallenged successor to Jigsaws legacy However when the FBI draws closer to Hoffman he is forced to set a game into motion and Jigsaws grand scheme is finally understood|English|Canada; USA; UK; Australia|2 nominations|6.0/10|39%|30/100|30|6|movie|$27,669,413|Lionsgate|Saw VI|23-Oct-09|Mystery, Thriller, Horror|30|Saw VI|620880|0|480|811|90
Saw VI|2009|R|Fri Oct 23 2009 00:00:00 GMT-0400 (EDT)|90 min|Horror; Mystery|Kevin Greutert|Tobin Bell; Costas Mandylor; Mark Rolston; Betsy Russell|Special Agent Strahm is dead and Detective Hoffman has emerged as the unchallenged successor to Jigsaws legacy However when the FBI draws closer to Hoffman he is forced to set a game into motion and Jigsaws grand scheme is finally understood|English|Canada; USA; UK; Australia|2 nominations|6.0/10|39%|30/100|30|6|movie|$27,669,413|Lionsgate|Saw VI|23-Oct-09|Mystery, Thriller, Horror|30|Saw VI|620880|0|480|811|90
The Last House on the Left|2009|R|Fri Mar 13 2009 00:00:00 GMT-0400 (EDT)|110 min|Horror; Thriller|Dennis Iliadis|Garret Dillahunt; Michael Bowen; Josh Coxx; Riki Lindhome|While being transported by two detectives in a car the dangerous criminal Krug is rescued by his brother Francis and his girlfriend Sadie and they brutally kill the detectives Meanwhile Emma her husband John and their daughter Mari Collingwood head to their summer home near the lake Mari borrows the family car to meet her friend Paige that is working in a store in the town While in the store they befriend a teen boy named Justin who offers some marijuana to Paige in the motel where he is lodged While they are smoking marijuana in Justins room Krug Francis and Sadie arrive and abduct the girls Krug drives Maris car and she causes them to crash into a tree Krug stabs Paige and rapes Mari however Mari manages to escape swimming in the lake but Krug shoots her in the back They walk through the isolated road in the woods and they reach Collingwoods house telling that they have just had a car accident Emma and John welcome the strangers until they discover what has happened to their beloved daughter|English|USA|1 win & 8 nominations|6.6/10|41%|42/100|42|6.6|movie|$32,721,635|Rogue Pictures|The Last House on the Left|13-Mar-09|Drama, Thriller, Horror, Crime|42|The Last House on the Left|5327|0|0|14|2
The Uninvited|2009|PG-13|Fri Jan 30 2009 00:00:00 GMT-0500 (EST)|87 min|Drama; Horror; Mystery|Charles Guard; Thomas Guard|Emily Browning; Arielle Kebbel; David Strathairn; Elizabeth Banks|After the death of her ill mother in a fire the young teenager Anna tries to commit suicide and is sent to a mental institution for treatment Ten months later Anna still cannot remember what had happened on the night her mother died Her psychiatric Dr Silberling however discharges her telling that she has resolved her issues Her father and successful writer Steven brings her back home in an isolated mansion nearby the coast Anna finds that her mothers former nurse Rachel Summers is her stepmother now Anna meets her beloved sister Alex swimming in the sea She discovers that Steven has not delivered the letters and CDs that Alex had sent to her As time moves on Anna is haunted by ghosts and she believes that Rachel killed her mother Alex and Anna decide to look for evidence to prove that Rachel is the murderer and Anna discovers the truth about the fire in the boat house|English|USA; Canada; Germany|2 nominations|6.4/10|31%|43/100|43|6.4|movie|$28,573,173|DreamWorks/Paramount Studios|The Uninvited|30-Jan-09|Drama, Mystery, Thriller, Horror|43|The Uninvited|101207|0|19|100|9
Surrogates|2009|PG-13|Fri Sep 25 2009 00:00:00 GMT-0400 (EDT)|89 min|Action; Sci-Fi; Thriller|Jonathan Mostow|Bruce Willis; Radha Mitchell; Rosamund Pike; Boris Kodjoe|People are living their lives remotely from the safety of their own homes via robotic surrogates -- sexy physically perfect mechanical representations of themselves Its an ideal world where crime pain fear and consequences dont exist When the first murder in years jolts this utopia FBI agent Greer discovers a vast conspiracy behind the surrogate phenomenon and must abandon his own surrogate risking his life to unravel the mystery|English|USA|N/A|6.3/10|38%|45/100|45|6.3|movie|$38,542,418|Touchstone Pictures|Surrogates|25-Sep-09|Action, Sci-Fi, Thriller|45|Surrogates|281219|0|112|298|12
