title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Casanova|2005|R|Fri Jan 06 2006 00:00:00 GMT-0500 (EST)|112 min|Adventure; Comedy; Drama|Lasse Hallström|Heath Ledger; Sienna Miller; Jeremy Irons; Oliver Platt|Casanova is in love with Francesca who thinks he is a friend of himself even though he is engaged to Victoria who is the love of Giovanni Francescas brother Francesca is betrothed to Paprizzio who thinks Casanova is the feminist writer Guardi who is really Francesscas nomme de plume Amidst all these secret identities and misunderstandings the Catholic Church sends Pucci to bring Casanova and Guardi to trial for heresy|English|USA|5 wins & 3 nominations|6.5/10|44%|57/100|57|6.5|movie|$11,193,738|Buena Vista Pictures|Casanova|25-Dec-05|Adventure, Drama, Comedy, Romance|57|Casanova|376398|0|32|212|10
Cursed|2005|PG-13|Fri Feb 25 2005 00:00:00 GMT-0500 (EST)|97 min|Comedy; Horror|Wes Craven|Portia de Rossi; Mya; Shannon Elizabeth; Kristina Anapau|Ellie has been taking care of her younger brother Jimmy since their parents death One night after picking him up from a party they are involved in a car accident on Mullholland Drive While trying to rescue a woman from the other car a creature attacks and kills her also injuring both Ellie and Jimmy After some research Jimmy realizes the creature could only have been a werewolf|English|Germany; USA|3 nominations|5.0/10|N/A|31/100|31|5|movie|N/A|N/A|Cursed|25-Feb-05|Thriller, Fantasy, Horror, Comedy|31|Cursed|42805|0|9|152|13
Capote|2005|R|Fri Feb 03 2006 00:00:00 GMT-0500 (EST)|114 min|Biography; Crime; Drama|Bennett Miller|Allie Mickelson; Kelci Stephenson; Philip Seymour Hoffman; Craig Archibald|Famed writer Truman Capote southern born and bred but now part of the New York City social circle is growing weary of his current assignment of writing autobiographical type pieces for the New Yorker After reading a newspaper article about the just occurred November 14 1959 cold blooded murders of the Clutter family in their rural Kansas home Truman feels compelled to write about that event as his next article So he and his personal assistant Nelle Harper Lee also a southern born New Yorker and an aspiring writer of her own head to Kansas to research the story first-hand Truman hopes to use his celebrity status to gain access to whomever he needs such as to Laura Kinney a friend of the Clutter daughter she who discovered the bodies and to Alvin Dewey the lead police investigator and also a Clutter family friend If his celebrity doesnt work Truman will grease the wheels by whatever means necessary When the police eventually charge suspects two young men named Dick Hickcock and Perry Smith Truman uses those same tactics to gain access to them Trumans fascination with the story makes him believe that he can revolutionize writing by expanding the germ of the article into what he calls a non-fiction novel His personal involvement also changes as he grows emotionally attached to Perry the seemingly sensitive and thus probable submissive in the criminal pairing thus Truman becoming part of the story itself Article or non-fiction novel Truman knows that he has to take it to its natural conclusion something which he cannot force But also missing are the details of the November 14 1959 event itself something that neither Dick or Perry have divulged even in testimony|English|USA; Canada|Won 1 Oscar Another 58 wins & 86 nominations|7.4/10|90%|88/100|88|7.4|movie|$28,337,516|Sony Pictures Classics|Capote|30-Sep-05|Biography, Drama, Crime|88|Capote|520774|0|12|606|31
Derailed|2005|R|Fri Nov 11 2005 00:00:00 GMT-0500 (EST)|108 min|Crime; Drama; Thriller|Mikael Håfström|Vincent Cassel; Clive Owen; Addison Timlin; Melissa George|Charles is worn down by his home life where he and his wife struggle to cope with the demands of their daughters illness and his job When he meets Lucinda on the train to work in Chicago there is an immediate spark between them Soon they are doing lunch dinner and drinks follow This leads to an adulterous rendezvous in a hotel However no sooner have they torn each others clothes off than their room is invaded by a thief who beats Charles and rapes Lucinda Because of the illicit nature of their relationship Charles agrees with Lucinda who is reluctant to go to the police and soon finds he is powerless to resist the demands of the thief|English; French|USA; UK|N/A|6.6/10|21%|40/100|40|6.6|movie|$35,945,749|The Weinstein Company|Derailed|11-Nov-05|Drama, Thriller|40|Derailed|56670|0|1|35|6
Coach Carter|2005|PG-13|Fri Jan 14 2005 00:00:00 GMT-0500 (EST)|136 min|Biography; Drama; Sport|Thomas Carter|Samuel L. Jackson; Rob Brown; Robert Ri'chard; Rick Gonzalez|In 1999 Ken Carter accepts the job of basketball coach for his old high school in a poor area of Richmond CA As much dismayed by the poor attitudes of his players as well as their dismal play performance Carter sets about to change both He imposes a strict regime typified in written contracts that demand respectful behavior a dress code and good grades for players Any initial resistance is soon dispelled as the team under Carters tutelage becomes a undefeated competitor However when the overconfident teams behavior begins to stray with too many doing poorly in class Carter takes immediate action To the outrage of the team the school and the community Carter cancels all team activities and locks the court until the team shows acceptable academic improvement In the ensuing debate Carter fights to keep his methods determined to show the boys that they need good values for their futures and eventually finds he has affected them more profoundly than he ever expected|English|USA; Germany|3 wins & 15 nominations|7.3/10|64%|57/100|57|7.3|movie|$67,169,549|Paramount Pictures|Coach Carter|14-Jan-05|Drama, Sport|57|Coach Carter|1386696|0|294|1434|39
Elizabethtown|2005|PG-13|Fri Oct 14 2005 00:00:00 GMT-0400 (EDT)|123 min|Comedy; Drama; Romance|Cameron Crowe|Orlando Bloom; Kirsten Dunst; Susan Sarandon; Alec Baldwin|After causing a loss of almost one billion dollars in his company the shoe designer Drew Baylor decides to commit suicide However in the exact moment of his act of despair he receives a phone call from his sister telling him that his beloved father had just died in Elizabethtown and he should bring him back since his mother had problem with the relatives of his father He travels in an empty red eye flight and meets the attendant Claire Colburn who changes his view and perspective of life|English|USA|2 wins & 4 nominations|6.4/10|29%|45/100|45|6.4|movie|$26,838,389|Paramount Pictures|Elizabethtown|14-Oct-05|Drama, Comedy, Romance|45|Elizabethtown|450363|0|93|616|22
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|2005|PG|Fri Dec 09 2005 00:00:00 GMT-0500 (EST)|143 min|Adventure; Family; Fantasy|Andrew Adamson|Georgie Henley; Skandar Keynes; William Moseley; Anna Popplewell|Four children from the same family have to leave their town because of the bombings of WWII A women and a professor take the children to their house While playing a game of hide-and-seek the youngest member of the family Lucy finds a wardrobe to hide in She travels back and back into the wardrobe and finds a place named Narnia After going in twice the four children go in together for the last time They battle wolves meet talking animals encounter an evil white witch and meet a magnificent lion named Aslan Will this be the end of their journey to Narnia or will they stay?|English; German|USA; UK|Won 1 Oscar Another 14 wins & 46 nominations|6.9/10|76%|75/100|75|6.9|movie|$291,685,219|Buena Vista|The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|9-Dec-05|Adventure, Fantasy, Family|75|The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|104210|0|9|110|9
Elektra|2005|PG-13|Fri Jan 14 2005 00:00:00 GMT-0500 (EST)|97 min|Action; Adventure; Crime|Rob Bowman|Jennifer Garner; Goran Visnjic; Kirsten Zien; Will Yun Lee|In the ultimate battle between good and evil stands a warrior who makes the choice that tips the balance A strong mysterious and a deadly sexy action heroine - a lethal synthesis of grace and power Not long after recovering from seemingly mortal wounds Elektra has severed all ties with the world living only for her next assignment But in an unexpected turn of events she is forced to make a decision that can take her life in a new direction - or destroy her Key players in Elektras journey are Stick a blind martial arts master responsible for Elektras resurrection and Mark Miller and Abby Miller a father and daughter on the run from The Hand a powerful syndicate whose members practice the dark version of the martial art Kimagure|English; Japanese|Canada; USA|2 nominations|4.7/10|10%|34/100|34|4.7|movie|$24,100,000|20th Century Fox|Elektra|14-Jan-05|Action, Adventure, Fantasy|34|Elektra|15887|0|7|21|4
The Family Stone|2005|PG-13|Fri Dec 16 2005 00:00:00 GMT-0500 (EST)|103 min|Comedy; Drama; Romance|Thomas Bezucha|Claire Danes; Diane Keaton; Rachel McAdams; Dermot Mulroney|The Stone family unites in common cause when their favorite son brings his uptight girlfriend home for the Christmas holiday with plans of proposing Overwhelmed by the hostile reception she begs her sister to join her for emotional support triggering further complications|English; American Sign Language|USA|Nominated for 1 Golden Globe Another 4 wins & 7 nominations|6.3/10|52%|56/100|56|6.3|movie|$59,856,288|20th Century Fox Distribution|The Family Stone|16-Dec-05|Drama, Comedy, Romance|56|The Family Stone|1068436|0|156|823|61
Bewitched|2005|PG-13|Fri Jun 24 2005 00:00:00 GMT-0400 (EDT)|102 min|Comedy; Fantasy; Romance|Nora Ephron|Nicole Kidman; Will Ferrell; Shirley MacLaine; Michael Caine|Out in Californias San Fernando Valley Isabel is trying to reinvent herself A naïve good-natured witch she is determined to disavow her supernatural powers and lead a normal life At the same time across town Jack Wyatt a tall charming actor is trying to get his career back on track He sets his sights on an updated version of the beloved 1960s situation comedy Bewitched re-conceived as a starring vehicle for himself in the role of the mere-mortal Darrin Fate steps in when Jack accidentally runs into Isabel He is immediately attracted to her and her nose which bears an uncanny resemblance to the nose of Elizabeth Montgomery who played Samantha in the original TV version of Bewitched He becomes convinced she could play the witch Samantha in his new series Isabel is also taken with Jack seeing him as the quintessential mortal man with whom she can settle down and lead the normal life she so desires It turns out theyre both right--but in ways neither of them ever imagined|English; Spanish|USA|2 wins & 13 nominations|4.8/10|25%|34/100|34|4.8|movie|$62,252,415|Columbia Pictures|Bewitched|24-Jun-05|Fantasy, Comedy, Romance|34|Bewitched|77076|0|15|670|9
