title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount|movie_name|production_year|movie_odid|production_budget|domestic_box_office|international_box_office|rating|creative_type|source|production_method|genre|sequel|running_time
Horrible Bosses|2011|R|Fri Jul 08 2011 00:00:00 GMT-0400 (EDT)|98 min|Comedy; Crime|Seth Gordon|Jason Bateman; Steve Wiebe; Kevin Spacey; Charlie Day|Nick hates his boss mostly because hes expected to work from before sunrise to after sunset and his boss Mr Harken calls him out for being a minute late and blackmails him so he cant quit Dale hates his boss Dr Julia Harris because she makes unwelcome sexual advances when hes about to get married But Dale is on that pesky list of child offenders so he cant quit Kurt actually likes his job and his boss well up until his boss dies and the bosss coked-out psychopathic son takes over But who would be crazy enough to quit their jobs in such poor economic times? Instead Nick Dale and Kurt drunkenly and hypothetically discuss how to kill their bosses and before they know it theyve hired a murder consultant to help them pull off the three deeds|English|USA|3 wins & 11 nominations|6.9/10|69%|57/100|57|6.9|movie|$116,900,000|Warner Bros. Pictures|Horrible Bosses|8-Jul-11|Comedy, Crime|57|Horrible Bosses|1268139|0|236|2252|85|Horrible Bosses|2010|143800100|35000000|117538559|94879042|R|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|98
J. Edgar|2011|R|Fri Nov 11 2011 00:00:00 GMT-0500 (EST)|137 min|Biography; Crime; Drama|Clint Eastwood|Leonardo DiCaprio; Josh Hamilton; Geoff Pierson; Cheryl Lawson|Biopic of J Edgar Hoover told by Hoover as he recalls his career for a biography Early in his career Hoover fixated on Communists anarchists and any other revolutionary taking action against the US government He slowly builds the agencys reputation becoming the sole arbiter of who gets hired and fired One of his hires is Clyde Tolson who is quickly promoted to Assistant Director and would be Hoovers confidant and companion for the rest of Hoovers life Hoovers memories have him playing a greater role in the many high profile cases the FBI was involved in - the Lindbergh baby kidnapping the arrest of bank robbers like John Dillinger - and also show him to be quite adept at manipulating the various politicians hes worked with over his career thanks in large part to his secret files|English|USA|Nominated for 1 Golden Globe Another 5 wins & 16 nominations|6.6/10|43%|59/100|59|6.6|movie|$37,304,451|Warner Bros. Pictures|J. Edgar|9-Nov-11|Biography, Drama|59|J. Edgar|1065613|0|716|1397|73|J. Edgar|2011|145490100|35000000|37306030|47300000|R|Dramatization|Based on Real Life Events|Live Action|Drama|0|137
Limitless|2011|PG-13|Fri Mar 18 2011 00:00:00 GMT-0400 (EDT)|105 min|Mystery; Sci-Fi; Thriller|Neil Burger|Bradley Cooper; Robert De Niro; Abbie Cornish; Andrew Howard|An action-thriller about a writer who takes an experimental drug that allows him to use 100 percent of his mind As one man evolves into the perfect version of himself forces more corrupt than he can imagine mark him for assassination Out-of-work writer Eddie Morras (Cooper) rejection by girlfriend Lindy (Abbie Cornish) confirms his belief that he has zero future That all vanishes the day an old friend introduces Eddie to NZT a designer pharmaceutical that makes him laser focused and more confident than any man alive Now on an NZT-fueled odyssey everything Eddies read heard or seen is instantly organized and available to him As the former nobody rises to the top of the financial world he draws the attention of business mogul Carl Van Loon (De Niro) who sees this enhanced version of Eddie as the tool to make billions But brutal side effects jeopardize his meteoric ascent With a dwindling stash and hit men who will eliminate him to get the NZT Eddie must stay wired long enough to elude capture and fulfill his destiny If he cant he will become just another victim who thought hed found invincibility in a bottle|English; Russian; Italian; Mandarin; French|USA|2 wins & 8 nominations|7.4/10|69%|59/100|59|7.4|movie|$79,230,923|Relativity Media|Limitless|18-Mar-11|Thriller|59|Limitless|4211769|0|2246|8572|172|Limitless|2010|139010100|27000000|79249455|76315464|PG-13|Science Fiction|Based on Fiction Book/Short Story|Live Action|Thriller/Suspense|0|105
Margaret|2011|R|Fri Jun 01 2012 00:00:00 GMT-0400 (EDT)|150 min|Drama|Kenneth Lonergan|Anna Paquin; J. Smith-Cameron; Mark Ruffalo; Jeannie Berlin|Margaret centers on a 17-year-old New York City high-school student who feels certain that she inadvertently played a role in a traffic accident that has claimed a womans life In her attempts to set things right she meets with opposition at every step Torn apart with frustration she begins emotionally brutalizing her family her friends her teachers and most of all herself She has been confronted quite unexpectedly with a basic truth: that her youthful ideals are on a collision course against the realities and compromises of the adult world|English|USA|9 wins & 17 nominations|6.5/10|74%|61/100|61|6.5|movie|$46,495|Fox Searchlight|Margaret|30-Sep-11|Drama|61|Margaret|288622|0|121|401|49|Margaret|2009|125740100|14000000|47185|576107|R|Contemporary Fiction|Original Screenplay|Live Action|Drama|0|149
The Lincoln Lawyer|2011|R|Fri Mar 18 2011 00:00:00 GMT-0400 (EDT)|118 min|Crime; Drama; Thriller|Brad Furman|Matthew McConaughey; Marisa Tomei; Ryan Phillippe; William H. Macy|Mick Haller is a defense lawyer who works out of his Lincoln When a wealthy Realtor is accused of assaulting a prostitute Haller is asked to defend him The man claims that the woman is trying to get some money out of him But when Haller looks at the evidence against him he learns that this case might be linked to an old case of his|English|USA|1 nomination|7.3/10|83%|63/100|63|7.3|movie|$57,900,000|Lionsgate Films|The Lincoln Lawyer|18-Mar-11|Drama|63|The Lincoln Lawyer|2789114|0|588|2230|127|The Lincoln Lawyer|2010|145300100|40000000|58009200|29135886|R|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Thriller/Suspense|0|119
Mars Needs Moms|2011|PG|Fri Mar 11 2011 00:00:00 GMT-0500 (EST)|88 min|Animation; Adventure; Family|Simon Wells|Seth Green; Dan Fogler; Joan Cusack; Elisabeth Harnois|On Mars the female babies are nursed by robots while the male babies are dumped in the junkyard under the command of Supervisor They research Earth and finds that the boy Milo is raised by his Mom with love and discipline The Martians come to Earth and abduct Mom to use her brain to instruct the robots about how to raise children However Milo sneaks into the spaceship and comes to Mars He meets Gribble a young man that behaves like a child and together with the hippie Martian Ki and Gribbles friend Wingnut they try to rescue Mom and bring her back to Earth But Supervisor will give her best efforts to stop Milo and his friends|English|USA|2 nominations|5.4/10|37%|49/100|49|5.4|movie|$21,379,315|Walt Disney Pictures|Mars Needs Moms|11-Mar-11|Adventure, Sci-Fi, Comedy, Animation, Family|49|Mars Needs Moms|158315|0|92|206|72|Mars Needs Moms|2010|135920100|150000000|21392758|18157000|PG|Science Fiction|Based on Fiction Book/Short Story|Digital Animation|Adventure|0|88
Larry Crowne|2011|PG-13|Fri Jul 01 2011 00:00:00 GMT-0400 (EDT)|98 min|Comedy; Drama; Romance|Tom Hanks|Tom Hanks; Sarah Mahoney; Roxana Ortega; Randall Park|Until he was downsized affable amiable Larry Crowne (Hanks) was a superstar team leader at the big-box company where hes worked since his time in the Navy Underwater on his mortgage and unclear on what to do with his suddenly free days Larry heads to his local college to start over There he becomes part of a colorful community of outcasts also-rans and the overlooked all trying to find a better future for themselvesoften moving around town in a herd of scooters In his public-speaking class Larry develops an unexpected crush on his teacher Mercedes Tainot (Roberts) who has lost as much passion for teaching as she has for her husband The simple guy who has every reason to think his life has stalled will come to learn an unexpected lesson: when you think everything worth having has passed you by you just might discover your reason to live|English|USA|3 nominations|6.1/10|35%|41/100|41|6.1|movie|$35,565,975|Universal Pictures|Larry Crowne|1-Jul-11|Drama, Comedy|41|Larry Crowne|168744|0|23|163|14|Larry Crowne|2010|145710100|30000000|35608245|25840890|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Romantic Comedy|0|98
The Muppets|2011|PG|Wed Nov 23 2011 00:00:00 GMT-0500 (EST)|103 min|Adventure; Comedy; Family|James Bobin|Jason Segel; Amy Adams; Chris Cooper; Rashida Jones|When 3 Muppet fans learn that Tex Richman wants to drill under the Muppet Theater for oil Gary Mary and Walter set out to find the Muppets who have been split up for years so that they can put on one last show and save the Muppet Theater Kermit the Frog now lives in his own mansion depressed in Hollywood The Great Gonzo is a high class plumber at Gonzos Royal Flush Fozzie Bear performs with a tribute band called The Moopets Miss Piggy is the plus-size fashion editor at Vogue Paris and Animal is at a celebrity anger management rehab center in Santa Barbara|English|USA|Won 1 Oscar Another 16 wins & 43 nominations|7.1/10|95%|75/100|75|7.1|movie|$88,625,922|Walt Disney Pictures|The Muppets|23-Nov-11|Comedy, Family|75|The Muppets|2324613|0|759|5257|453|The Muppets|2011|150780100|45000000|88625922|72346000|PG|Kids Fiction|Based on TV|Live Action|Adventure|1|98
No Strings Attached|2011|R|Fri Jan 21 2011 00:00:00 GMT-0500 (EST)|108 min|Comedy; Romance|Ivan Reitman|Natalie Portman; Ashton Kutcher; Kevin Kline; Cary Elwes|Occasionally in the 15 years since summer camp Adam and Emma cross paths When he discovers that an ex-girlfriend is living with his dad he gets drunk calls every woman in his cell phone contact list and ends up passed out naked in her living room By this time shes a medical resident in LA and hes a gopher on a Glee-like TV series hoping to be a writer She guards her emotions (calling her fathers funeral a thing) so after a quick shag in the moments she has before leaving for the hospital she asks if he wants a no-strings-attached sex-only relationship without romance or complications A prescription for fun or for disaster?|English; Ukrainian|USA|2 wins & 6 nominations|6.2/10|49%|50/100|50|6.2|movie|$70,300,000|Paramount Pictures|No Strings Attached|21-Jan-11|Comedy, Romance|50|No Strings Attached|694570|0||||No Strings Attached|2010|146720100|25000000|70662220|78565858|R|Contemporary Fiction|Original Screenplay|Live Action|Romantic Comedy|0|106
Moneyball|2011|PG-13|Fri Sep 23 2011 00:00:00 GMT-0400 (EDT)|133 min|Biography; Drama; Sport|Bennett Miller|Brad Pitt; Jonah Hill; Philip Seymour Hoffman; Robin Wright|Oakland As GM Billy Beane is handicapped with the lowest salary constraint in baseball If he ever wants to win the World Series Billy must find a competitive advantage Billy is about to turn baseball on its ear when he uses statistical data to analyze and place value on the players he picks for the team|English|USA|Nominated for 6 Oscars Another 29 wins & 75 nominations|7.6/10|94%|87/100|87|7.6|movie|$75,605,492|Sony Pictures|Moneyball|23-Sep-11|Drama|87|Moneyball|4834384|0|1931|5095|298|Moneyball|2010|145230100|50000000|75605492|35695343|PG-13|Dramatization|Based on Factual Book/Article|Live Action|Drama|0|133
Puss in Boots|2011|PG|Fri Oct 28 2011 00:00:00 GMT-0400 (EDT)|90 min|Animation; Action; Adventure|Chris Miller|Antonio Banderas; Salma Hayek; Zach Galifianakis; Billy Bob Thornton|Years before meeting Shrek and Donkey the adorable but tricky Puss in Boots must clear his name from all charges making him a wanted fugitive While trying to steal magic beans from the infamous criminals Jack and Jill the hero crosses paths with his female match Kitty Softpaws who leads Puss to his old friend but now enemy Humpty Dumpty Memories of friendship and betrayal enlarges Puss doubt but he eventually agrees to help the egg get the magic beans Together the three plan to steal the beans get to the Giants castle nab the golden goose and clear Puss name|English; Spanish|USA|Nominated for 1 Oscar Another 9 wins & 42 nominations|6.7/10|84%|65/100|65|6.7|movie|$149,234,747|Paramount/Dreamworks|Puss in Boots|28-Oct-11|Adventure, Fantasy, Comedy, Animation|65|Puss in Boots|6074150|0|623|7613|664|Puss in Boots|2011|114060100|130000000|149260504|405726973|PG|Kids Fiction|Spin-Off|Digital Animation|Adventure|0|90
Midnight in Paris|2011|PG-13|Fri Jun 10 2011 00:00:00 GMT-0400 (EDT)|94 min|Comedy; Fantasy; Romance|Woody Allen|Owen Wilson; Rachel McAdams; Kurt Fuller; Mimi Kennedy|Gil and Inez travel to Paris as a tag-along vacation on her parents business trip Gil is a successful Hollywood writer but is struggling on his first novel He falls in love with the city and thinks they should move there after they get married but Inez does not share his romantic notions of the city or the idea that the 1920s was the golden age When Inez goes off dancing with her friends Gil takes a walk at midnight and discovers what could be the ultimate source of inspiration for writing Gils daily walks at midnight in Paris could take him closer to the heart of the city but further from the woman hes about to marry|English; French; Spanish; German|Spain; USA; France|Won 1 Oscar Another 24 wins & 101 nominations|7.7/10|93%|81/100|81|7.7|movie|$55,400,000|Sony Pictures Classics|Midnight in Paris|20-May-11|Comedy, Romance|81|Midnight in Paris|756384|0|185|1695|65|Midnight in Paris|2010|142540100|30000000|56816662|105999737|PG-13|Fantasy|Original Screenplay|Live Action|Romantic Comedy|0|94
Rango|2011|PG|Fri Mar 04 2011 00:00:00 GMT-0500 (EST)|107 min|Animation; Adventure; Comedy|Gore Verbinski|Johnny Depp; Isla Fisher; Abigail Breslin; Ned Beatty|Rango is a pet chameleon always on the lookout for action and adventure except the fake kind where he directs it and acts in it After a car accident he winds up in an old western town called Dirt What this town needs the most is water but they also need a hero and a sheriff The thirsty Rango instantly takes on the role of both and selfishly agrees to take on the case of their missing water|English|USA|Won 1 Oscar Another 45 wins & 24 nominations|7.2/10|87%|75/100|75|7.2|movie|$123,188,232|Paramount Pictures|Rango|4-Mar-11|Action, Adventure, Comedy, Animation, Family|75|Rango|10594320|0|2318|12652|904|Rango|2011|125350100|135000000|123257581|122246993|PG|Kids Fiction|Original Screenplay|Digital Animation|Adventure|0|107
Red Riding Hood|2011|PG-13|Fri Mar 11 2011 00:00:00 GMT-0500 (EST)|100 min|Fantasy; Horror; Mystery|Catherine Hardwicke|Amanda Seyfried; Gary Oldman; Billy Burke; Shiloh Fernandez|Valerie (Seyfried) is a beautiful young woman torn between two men She is in love with a brooding outsider Peter (Fernandez) but her parents have arranged for her to marry the wealthy Henry (Irons) Unwilling to lose each other Valerie and Peter are planning to run away together when they learn that Valeries older sister has been killed by the werewolf that prowls the dark forest surrounding their village For years the people have maintained an uneasy truce with the beast offering the creature a monthly animal sacrifice But under a blood red moon the wolf has upped the stakes by taking a human life Hungry for revenge the people call on famed werewolf hunter Father Solomon (Oldman) to help them kill the wolf But Solomons arrival brings unintended consequences as he warns that the wolf who takes human form by day could be any one of them As the death toll rises with each moon Valerie begins to suspect that the werewolf could be someone she loves As panic grips the town Valerie discovers that she has a unique connection to the beast--one that inexorably draws them together making her both suspectand bait|English|USA; Canada|5 nominations|5.4/10|10%|29/100|29|5.4|movie|$37,200,000|Warner Bros.|Red Riding Hood|11-Mar-11|Drama, Thriller|29|Red Riding Hood|10921268|0|9133|16837|3524|Red Riding Hood|2010|143840100|42000000|37662162|54016280|PG-13|Fantasy|Based on Folk Tale/Legend/Fairytale|Live Action|Thriller/Suspense|0|120
Priest|2011|PG-13|Fri May 13 2011 00:00:00 GMT-0400 (EDT)|87 min|Action; Fantasy; Horror|Scott Stewart|Paul Bettany; Karl Urban; Cam Gigandet; Maggie Q|PRIEST a post-apocalyptic sci-fi thriller is set in an alternate world -- one ravaged by centuries of war between man and vampires The story revolves around a legendary Warrior Priest from the last Vampire War who now lives in obscurity among the other downtrodden human inhabitants in walled-in dystopian cities ruled by the Church When his niece is abducted by a murderous pack of vampires Priest breaks his sacred vows to venture out on a quest to find her before they turn her into one of them He is joined on his crusade by his nieces boyfriend a trigger-fingered young wasteland sheriff and a former Warrior Priestess who possesses otherworldly fighting skills|English|USA|3 nominations|5.7/10|15%|41/100|41|5.7|movie|$29,100,000|Screen Gems/SONY PICTURES|Priest|13-May-11|Action, Thriller, Horror|41|Priest|1180566|0|545|1401|124|Priest|2010|111630100|60000000|29136626|55017400|PG-13|Fantasy|Based on Comic/Graphic Novel|Live Action|Horror|0|87
Real Steel|2011|PG-13|Fri Oct 07 2011 00:00:00 GMT-0400 (EDT)|127 min|Action; Drama; Family|Shawn Levy|Hugh Jackman; Dakota Goyo; Evangeline Lilly; Anthony Mackie|In the near future when people become uninterested in boxing and similar sports a new sport is created - Robot boxing wherein robots battle each other while being controlled by someone Charlie Kenton a former boxer whos trying to make it in the new sport not only doesnt do well he is very deeply in the red When he learns that his ex mother of his son Max dies he goes to figure out what to do with him His exs sister wants to take him in but Charlie has first say in the matter Charlie asks her husband for money so he can buy a new Robot in exchange for turning Max over to them He takes Max for the summer And Max improves his control of his robot But when the robot is destroyed they go to a scrap yard to get parts Max finds an old generation robot named Atom and restores him Max wants Atom to fight but Charlie tells him he wont last a round However Atom wins And it isnt long before Atom is getting major bouts Max gets Charlie to teach Atom how to fight and the father and son bond strenghtens|English; Ukrainian|USA; India|Nominated for 1 Oscar Another 2 wins & 5 nominations|7.1/10|59%|56/100|56|7.1|movie|$85,463,309|Walt Disney Pictures|Real Steel|7-Oct-11|Action, Sci-Fi, Drama|56|Real Steel|44047|0|3|31|2|Real Steel|2010|143960100|110000000|85463309|178417032|PG-13|Science Fiction|Based on Fiction Book/Short Story|Live Action|Action|0|126
Pirates of the Caribbean: On Stranger Tides|2011|PG-13|Fri May 20 2011 00:00:00 GMT-0400 (EDT)|136 min|Action; Adventure; Fantasy|Rob Marshall|Johnny Depp; Penélope Cruz; Geoffrey Rush; Ian McShane|Captain Jack Sparrow (Depp) crosses paths with a woman from his past (Cruz) and hes not sure if its love -- or if shes a ruthless con artist whos using him to find the fabled Fountain of Youth When she forces him aboard the Queen Annes Revenge the ship of the formidable pirate Blackbeard (McShane) Jack finds himself on an unexpected adventure in which he doesnt know who to fear more: Blackbeard or the woman from his past|English; Spanish|USA; UK|2 wins & 31 nominations|6.6/10|32%|45/100|45|6.6|movie|$241,063,875|Walt Disney Pictures|Pirates of the Caribbean: On Stranger Tides|20-May-11|Action, Adventure, Fantasy|45|Pirates of the Caribbean: On Stranger Tides|6513316|0|4756|18044|486|Pirates of the Caribbean: On Stranger Tides|2011|126650100|410600000|241063875|804600000|PG-13|Fantasy|Based on Theme Park Ride|Live Action|Adventure|1|136
Shark Night 3D|2011|PG-13|Fri Sep 02 2011 00:00:00 GMT-0400 (EDT)|90 min|Horror; Thriller|David R. Ellis|Sara Paxton; Dustin Milligan; Chris Carmack; Katharine McPhee|When 7 college friends pack their swim suits for a weekend of fun-in-the-sun activities at their friend Saras lake house they think it will be the perfect vacation But the tables immediately turn when the lead football star Malik gets his arm ripped off during a water skiing accident While the friends are to believe his wound was a freak accident they soon come to discover that there was a primal attack involving a shark Now while they think that one shark is no problem they soon come to the realization that 15 species of sharks are lurking in the water and with no form of boat or transportation and no signals for phones the group of seven now face a fate they would never imagine They soon learn that they dont know who to trust or who to turn to for help!|English|USA|1 nomination|4.0/10|18%|22/100|22|4|movie|$18,872,522|Relativity Media|Shark Night 3D|2-Sep-11|Thriller, Horror|22|Shark Night 3D|1207510|0|1508|1253|683|Shark Night 3D|2011|152270100|25000000|18877153|13332588|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Horror|0|85
The Rum Diary|2011|R|Fri Oct 28 2011 00:00:00 GMT-0400 (EDT)|119 min|Comedy; Drama|Bruce Robinson|Johnny Depp; Aaron Eckhart; Michael Rispoli; Amber Heard|Hard-drinking journalist Paul Kemp takes a job at a besieged newspaper in San Juan Puerto Rico His volatile editor Lotterman assigns him to tourist pieces and horoscopes but promises more Paul rooms with Sala an aging and equally alcoholic reporter in a rundown flat Sanderson a wealthy entrepreneur hires Paul to flack for a group of investors who plan to buy an island near the capital and build a resort Sandersons girl-friend the beguiling Chenault bats her eyes at Paul His loyalties face challenges when he and Sala get in trouble with locals when a Carnival dance enrages Sanderson and when the paper hits the skids Is the solution always alcohol?|English; Spanish; German|USA; UK|2 wins & 4 nominations|6.2/10|50%|56/100|56|6.2|movie|$1,300,000,000|The Film District|The Rum Diary|28-Oct-11|Adventure, Drama|56|The Rum Diary|1131741|0|194|2038|105|The Rum Diary|2010|104890100|45000000|13109815|8434917|R|Historical Fiction|Based on Fiction Book/Short Story|Live Action|Drama|0|122
Season of the Witch|2011|PG-13|Fri Jan 07 2011 00:00:00 GMT-0500 (EST)|95 min|Action; Adventure; Fantasy|Dominic Sena|Nicolas Cage; Ron Perlman; Stephen Campbell Moore; Stephen Graham|A 14th century Crusader returns to a homeland devastated by the Black Plague A beleaguered church deeming sorcery the culprit of the plague commands the two knights to transport an accused witch to a remote abbey where monks will perform a ritual in hopes of ending the pestilence A priest a grieving knight a disgraced itinerant and a headstrong youth who can only dream of becoming a knight join a mission troubled by mythically hostile wilderness and fierce contention over the fate of the girl When the embattled party arrives at the abbey a horrific discovery jeopardises the knights pledge to ensure the girl fair treatment and pits them against an inexplicably powerful and destructive force|English; Latin|USA|2 nominations|5.4/10|9%|28/100|28|5.4|movie|$24,800,000|Relativity Media|Season of the Witch|7-Jan-11|Adventure, Drama, Fantasy|28|Season of the Witch|75186|0|26|128|7|Season of the Witch|2010|111290100|40000000|24827228|66299372|PG-13|Fantasy|Original Screenplay|Live Action|Thriller/Suspense|0|98
Sherlock Holmes: A Game of Shadows|2011|PG-13|Fri Dec 16 2011 00:00:00 GMT-0500 (EST)|129 min|Action; Adventure; Crime|Guy Ritchie|Robert Downey Jr.; Jude Law; Noomi Rapace; Rachel McAdams|Sherlock Holmes (Robert Downey Jr) and his longtime trusted associate Doctor Watson (Jude Law) take on their arch-nemesis Professor Moriarty (Jared Harris) with the help of Holmes older brother Mycroft Holmes (Stephen Fry) and a gypsy named Simza (Noomi Rapace)|English; French; Italian; German; Romany|USA|3 wins & 11 nominations|7.5/10|59%|48/100|48|7.5|movie|$186,830,669|Warner Bros. Pictures|Sherlock Holmes: A Game of Shadows|16-Dec-11|Action, Mystery|48|Sherlock Holmes: A Game of Shadows|2374225|0|990|6275|142|Sherlock Holmes: A Game of Shadows|2011|143850100|125000000|186848418|348815025|PG-13|Historical Fiction|Based on Fiction Book/Short Story|Live Action|Action|1|129
Sanctum|2011|R|Fri Feb 04 2011 00:00:00 GMT-0500 (EST)|108 min|Adventure; Drama; Thriller|Alister Grierson|Richard Roxburgh; Ioan Gruffudd; Rhys Wakefield; Alice Parkinson|The 3-D action-thriller Sanctum follows a team of underwater cave divers on a treacherous expedition to the largest most beautiful and least accessible cave system on Earth When a tropical storm forces them deep into the caverns they must fight raging water deadly terrain and creeping panic as they search for an unknown escape route to the sea Master diver Frank McGuire has explored the South Pacifics Esa-ala Caves for months But when his exit is cut off in a flash flood Franks team-including 17-year-old son Josh and financier Carl Hurley are forced to radically alter plans With dwindling supplies the crew must navigate an underwater labyrinth to make it out Soon they are confronted with the unavoidable question: Can they survive or will they be trapped forever?|English|USA; Australia|1 win & 1 nomination|5.9/10|30%|42/100|42|5.9|movie|$22,300,000|Universal Pictures|Sanctum|4-Feb-11|Action, Adventure, Drama, Thriller|42|Sanctum|24671|0|0|9|2|Sanctum|2010|139020100|30000000|23209310|81074443|R|Dramatization|Based on Real Life Events|Live Action|Adventure|0|109
The Rite|2011|PG-13|Fri Jan 28 2011 00:00:00 GMT-0500 (EST)|114 min|Drama; Horror; Mystery|Mikael Håfström|Anthony Hopkins; Colin O'Donoghue; Alice Braga; Ciarán Hinds|Michael the son of a funeral director grows indifferent to his father and joins a Seminary On his way to the course completion he is overwhelmed by a strong lack of faith His religious beliefs are further jolted when he sees a young girl haplessly dying in a road accident for whom he reluctantly performs the ritual to absolve her sins His mentor still believes in him and urges him to go to Italy to take an exorcism course hoping that he it would strengthen his faith in Christianity In Italy he attends a session from Father Xavier who soon becomes aware of his skepticism As a result he sends him to an eminent Jesuit exorcist Father Lucas whose ways though questionable are quite effective He witnesses the exorcism of a sixteen year old girl but still seems unconvinced Father Lucas explains to him that it takes multiple sessions over a long stretch of time to completely free a victim from the demon Despite witnessing some supernatural occurrences during the aforesaid exorcism Michael is as skeptical as ever After the second exorcism the girls condition becomes quite critical as she is moved to a hospital She soon dies and the demon finds a new victim As the moment of reckoning draws near Micheal may be the only hope left but first he must overcome his own doubts and apprehensions in order to fight and destroy the ominous forces|English; Welsh; Italian; Latin; Russian; Hungarian|USA; Hungary; Italy|1 win & 5 nominations|6.0/10|21%|38/100|38|6|movie|$33,037,754|Warner Bros. Pictures/New Line Cinema|The Rite|28-Jan-11|Drama, Thriller, Horror|38|The Rite|2997532|0|1461|3002|243|The Rite|2010|142490100|37000000|33047633|64096354|PG-13|Dramatization|Based on Factual Book/Article|Live Action|Horror|0|114
Rise of the Planet of the Apes|2011|PG-13|Fri Aug 05 2011 00:00:00 GMT-0400 (EDT)|105 min|Action; Drama; Sci-Fi|Rupert Wyatt|Andy Serkis; Karin Konoval; Terry Notary; Richard Ridings|At the storys heart is Caesar (Andy Serkis) a chimpanzee who gains human-like intelligence and emotions from an experimental drug Raised like a child by the drugs creator Will Rodman (James Franco) and a primatologist Caroline Aranha (Freida Pinto) Caesar ultimately finds himself taken from the humans he loves and imprisoned in an ape sanctuary in San Bruno Seeking justice for his fellow inmates Caesar gives the fellow apes the same drug that he inherited He then assembles a simian army and escapes the sanctuary - putting man and ape on a collision course that could change the planet forever|English; Sign Languages|USA; UK; Canada|Nominated for 1 Oscar Another 21 wins & 42 nominations|7.6/10|81%|68/100|68|7.6|movie|$175,300,000|20th Century Fox|Rise of the Planet of the Apes|5-Aug-11|Action, Adventure, Sci-Fi|68|Rise of the Planet of the Apes|10506424|0|4555|8151|762|Rise of the Planet of the Apes|2011|140550100|93000000|176760185|306100000|PG-13|Science Fiction|Remake|Animation/Live Action|Adventure|0|120
Source Code|2011|PG-13|Fri Apr 01 2011 00:00:00 GMT-0400 (EDT)|93 min|Mystery; Romance; Sci-Fi|Duncan Jones|Jake Gyllenhaal; Michelle Monaghan; Vera Farmiga; Jeffrey Wright|Army Captain Colter Stevens finds himself working on a special program where his consciousness can be inserted into another human being The only catch is can only be there for 8 minutes at any given time That morning a bomb exploded on a commuter train just outside Chicago He occupies the body of teacher going to work on that train and is confused as to what he is doing or why he is there as his last memory is of flying his helicopter on a combat mission in Afghanistan Those in charge of the program explain to him that there is a bomb on the train and that he must locate it More importantly he must identify the bomber as another bombing is expected later that day He is also told however that he cannot change the past and can only gather information As he develops a liking for his traveling companion Christina he sets out to test that theory|English|USA; Canada|1 win & 8 nominations|7.5/10|91%|74/100|74|7.5|movie|$54,696,902|Summit Entertainment|Source Code|1-Apr-11|Action, Sci-Fi, Thriller|74|Source Code|7929535|0|4914|13702|374|Source Code|2010|146170100|32000000|54712227|85716272|PG-13|Science Fiction|Original Screenplay|Live Action|Thriller/Suspense|0|93
Scream 4|2011|R|Fri Apr 15 2011 00:00:00 GMT-0400 (EDT)|111 min|Horror; Mystery|Wes Craven|Lucy Hale; Roger Jackson; Shenae Grimes-Beech; Dane Farwell|Sidney Prescott now the author of a self-help book returns home to Woodsboro on the last stop of her book tour There she reconnects with Sheriff Dewey and Gale who are now married as well as her cousin Jill and her Aunt Kate Unfortunately Sidneys appearance also brings about the return of Ghostface putting Sidney Gale and Dewey along with Jill her friends and the whole town of Woodsboro in danger|English|USA|1 win & 6 nominations|6.2/10|59%|52/100|52|6.2|movie|$38,176,892|The Weinstein Company/Dimension|Scream 4|15-Apr-11|Mystery, Thriller, Horror|52|Scream 4|285416|0|124|345|29|Scream 4|2010|140980100|40000000|38180928|57808662|R|Contemporary Fiction|Original Screenplay|Live Action|Horror|1|110
Soul Surfer|2011|PG|Fri Apr 08 2011 00:00:00 GMT-0400 (EDT)|112 min|Biography; Drama; Family|Sean McNamara|AnnaSophia Robb; Helen Hunt; Dennis Quaid; Carrie Underwood|13 year-old Bethany Hamilton is a champion surfer who was born to be in the water But after a fun night out night surfing and what should be a fun day in the water she is attacked by a shark and loses her arm Rushed to the hospital she remains calm and maintains her faith in God Now she has to re-learn how to do everything with only one arm - including how to surf It will take her friends family and her Christian faith to get her back into the water but if that is where she is meant to be she will find a way to get there|English|USA|1 win & 12 nominations|7.1/10|46%|53/100|53|7.1|movie|$43,853,424|TriStar/FilmDistrict|Soul Surfer|8-Apr-11|Action, Drama, Sport|53|Soul Surfer|6390691|0|2186|7808|296|Soul Surfer|2010|142200100|18000000|43853424|3305228|PG|Dramatization|Based on Factual Book/Article|Live Action|Drama|0|106
