Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
2003-12-05T00:00:00Z	Honey	1.8E7	3.0272254E7	6.2646763E7
2005-10-14T00:00:00Z	The Fog	1.8E7	2.9511112E7	3.7048526E7
1996-05-24T00:00:00Z	Spy Hard	1.8E7	2.6936265E7	2.6936265E7
2015-08-07T00:00:00Z	Ricki and the Flash	1.8E7	2.6839498E7	4.1166033E7
1989-12-13T00:00:00Z	Glory	1.8E7	2.659358E7	2.659358E7
1984-06-29T00:00:00Z	Conan the Destroyer	1.8E7	2.64E7	2.64E7
2015-11-13T00:00:00Z	Love the Coopers	1.8E7	2.6302731E7	4.2167286E7
1970-06-24T00:00:00Z	Catch-22	1.8E7	2.491167E7	2.491167E7
2009-04-10T00:00:00Z	Observe and Report	1.8E7	2.4007324E7	2.7148898E7
1980-11-14T00:00:00Z	Raging Bull	1.8E7	2.3380203E7	2.3380203E7
2009-09-18T00:00:00Z	Love Happens	1.8E7	2.296511E7	3.6133014E7
2009-09-25T00:00:00Z	Fame	1.8E7	2.245551E7	8.0227619E7
2017-04-28T00:00:00Z	The Circle	1.8E7	2.0497844E7	4.0651864E7
1985-12-04T00:00:00Z	Young Sherlock Holmes	1.8E7	1.9739E7	1.9739E7
2010-11-05T00:00:00Z	127 Hours	1.8E7	1.833523E7	6.0217171E7
2000-05-19T00:00:00Z	Small Time Crooks	1.8E7	1.7266359E7	2.9934477E7
2000-05-12T00:00:00Z	Center Stage	1.8E7	1.7200925E7	2.1361109E7
2016-01-15T00:00:00Z	Norm of the North	1.8E7	1.7062499E7	2.7392195E7
2004-02-06T00:00:00Z	Catch That Kid	1.8E7	1.6703799E7	1.6959614E7
2013-08-16T00:00:00Z	Jobs	1.8E7	1.613141E7	4.3402515E7
2001-10-26T00:00:00Z	Life as a House	1.8E7	1.5652637E7	2.3889158E7
2010-01-08T00:00:00Z	Youth in Revolt	1.8E7	1.5285588E7	1.9685588E7
2014-07-25T00:00:00Z	And So It Goes	1.8E7	1.5160801E7	1.7762041E7
