common_title,viewCount,favoriteCount,commentCount,likeCount,dislikeCount
Captivity,114947,0,20,137,20
Cassandra's Dream,189946,0,30,153,14
Chapter 27,818177,0,641,1414,100
Charlie Wilson's War,18266,0,2,9,4
The Condemned,895359,0,404,685,53
Control,1564416,0,592,3470,65
Crazy Love,194866,0,28,151,14
Cthulhu,497755,0,600,400,514
Daddy Day Camp,15453,0,6,106,18
Dan in Real Life,1084834,0,279,1107,74
Day Zero,7192,0,0,7,0
Dead Silence,4770286,0,1761,11701,714
Death Sentence,593391,0,222,1128,39
Delta Farce,469384,0,135,377,43
Devil Girl,33045,0,25,103,3
Disturbia,35599,0,12,63,0
The Diving Bell and the Butterfly,13598,0,2,41,3
Eastern Promises,43995,0,1,,
Elvis and Anabelle,236488,0,33,477,16
Enchanted,596525,0,185,905,71
Evan Almighty,169109,0,15,,
Evening,322676,0,73,443,17
The Ex,9429,0,0,10,1
Extreme Movie,810705,0,108,757,68
Fantastic Four: Rise of the Silver Surfer,437594,0,143,388,37
Firehouse Dog,273162,0,113,492,21
The Flock,216397,0,36,114,7
Freakshow,57841,0,63,87,21
Fred Claus,531450,0,63,313,41
Freedom Writers,1151280,0,821,2235,69
Full of It,6103,0,0,,
The Game Plan,1798469,0,328,2289,112
The Gene Generation,78786,0,9,44,17
Georgia Rule,204979,0,29,401,14
Ghost Rider,2420167,0,505,2259,237
The Girl in the Park,174083,0,35,61,14
The Golden Compass,761083,0,465,1169,70
Gone Baby Gone,1160715,0,214,1043,101
Good Luck Chuck,1765,0,0,1,0
The Good Night,455793,0,71,357,28
Grace Is Gone,3754,0,0,19,0
Gracie,84202,0,11,191,6
The Great Debaters,319997,0,,580,38
Hairspray,568288,0,121,2362,62
Halloween,5587,0,3,60,1
The Hammer,6782447,0,1964,4008,1414
Happily N'Ever After,147571,0,35,188,44
Harry Potter and the Order of the Phoenix,53681,0,11,151,10
Highlander: The Source,79176,0,26,66,17
The Hills Have Eyes 2,565365,0,39,422,86
The Hitcher,2738,0,0,6,0
Hitman,1172097,0,237,1175,138
Honeydripper,43462,0,12,45,5
Hostel: Part II,458845,0,139,206,32
Hot Rod,940813,0,,,
I Am Legend,202859,0,37,478,21
I Could Never Be Your Woman,381410,0,1,436,26
I Know Who Killed Me,424375,0,73,264,23
I Now Pronounce You Chuck and Larry,19810,0,3,37,0
I Think I Love My Wife,20247,0,,,
I'm Not There,938602,0,288,1721,53
In the Land of Women,46426,0,7,36,2
In the Valley of Elah,9022,0,0,13,0
Interview,1188717,0,355,4406,214
Into the Wild,1878732,0,,,
The Invasion,821448,0,365,655,41
The Invisible,2723845,0,1434,4517,198
Joshua,510918,0,398,743,58
Juno,9974416,0,4362,20919,1478
The King of Kong: A Fistful of Quarters,8622,0,0,10,1
The Kingdom,450410,0,66,453,73
The Kite Runner,125738,0,,,
Knock Knock,8539419,0,4890,12579,3164
Knocked Up,30184,0,3,7,1
Lake of Fire,106685,0,212,206,18
Lars and the Real Girl,12679,0,0,14,0
The Last Mimzy,6288,0,4,10,1
The Last Sin Eater,30521,0,3,27,2
License to Wed,175647,0,9,315,13
The Life Before Her Eyes,114917,0,11,391,13
Lions for Lambs,468957,0,27,465,60
The List,3589,0,1,3,0
Live Free or Die Hard,,0,0,50,9
The Lookout,54507,0,3,32,5
Love in the Time of Cholera,608715,0,158,662,38
"Lust, Caution",2461737,0,283,865,77
Manda Bala (Send a Bullet),21446,0,4,68,3
Margot at the Wedding,379522,0,90,349,23
Marigold,9727,0,0,9,0
Married Life,121238,0,7,82,6
Martian Child,448864,0,139,522,28
Meet the Robinsons,2591477,0,985,3313,295
The Messengers,101424,0,14,428,27
Michael Clayton,787791,0,,485,48
A Mighty Heart,22794,0,4,15,1
The Mist,2974122,0,2387,5510,307
Mister Lonely,47251,0,20,48,2
The Mother of Tears,329862,0,115,278,47
Moving McAllister,129694,0,25,151,9
Mr. Brooks,666088,0,159,831,69
Mr. Magorium's Wonder Emporium,71337,0,11,120,12
Mr. Woodcock,16845,0,1,19,1
Mr. Untouchable,379805,0,147,158,14
Music and Lyrics,44925,0,0,,
My Bollywood Bride,64231,0,7,29,3
Nanking,63384,0,150,129,52
The Nanny Diaries,1501008,0,207,3586,86
National Treasure: Book of Secrets,17938,0,1,8,2
Netherbeast Incorporated,44114,0,27,83,8
Next,455591,0,71,517,47
No Country for Old Men,200157,0,60,373,14
No End in Sight,167757,0,80,295,14
No Reservations,5622,0,,18,0
Norbit,3635725,0,726,4913,419
Normal Adolescent Behavior,168287,0,36,129,14
The Number 23,434930,0,260,879,60
Ocean's Thirteen,46113,0,3,30,1
P.S. I Love You,2966249,0,235,5787,180
P2,673397,0,308,871,46
Perfect Stranger,19873,0,5,123,5
Persepolis,478477,0,4,1826,58
Pirates of the Caribbean: At World's End,1153100,0,437,3980,73
The Poughkeepsie Tapes,866838,0,95,1122,74
Premonition,74167,0,6,387,10
Pride,1123207,0,497,4576,293
Primeval,1853098,0,25,1476,622
Ratatouille,37055,0,0,28,4
The Reaping,133188,0,56,134,17
Redline,787430,0,789,3556,106
Reign Over Me,14029,0,6,69,5
Remember the Daze,104081,0,16,151,12
Rendition,838315,0,283,606,64
Resident Evil: Extinction,320755,0,58,486,31
Resurrecting the Champ,67170,0,2,41,5
Rocket Science,162089,0,30,365,11
Rolling,49593,0,19,138,3
Rush Hour 3,257431,0,33,185,14
Savage Grace,272241,0,22,281,24
Saw IV,18505,0,0,21,2
The Seeker,110152,0,25,385,42
Seraphim Falls,75719,0,3,63,10
Shoot 'Em Up,2782461,0,956,2840,225
Shooter,115177,0,3,51,6
Shrek the Third,474788,0,,,
