Title,ReleaseDate,Genre,Rating
Last Holiday,13-Jan-06,"Adventure, Drama, Comedy",52
Tristan and Isolde,13-Jan-06,"Action, Adventure, Drama, Romance",49
Why We Fight,20-Jan-06,"History, War, Documentary",68
Underworld: Evolution,20-Jan-06,"Action, Sci-Fi, Thriller, Fantasy",36
Nanny McPhee,27-Jan-06,"Fantasy, Comedy, Family",59
Nanny McPhee,27-Jan-06,"Fantasy, Comedy, Family",59
When a Stranger Calls,3-Feb-06,"Thriller, Horror",27
Final Destination 3,10-Feb-06,"Mystery, Thriller, Horror",41
Firewall,10-Feb-06,"Thriller, Crime",45
The Pink Panther,10-Feb-06,"Adventure, Mystery, Comedy, Crime",38
Eight Below,17-Feb-06,"Adventure, Drama, Romance, Family",64
Freedomland,17-Feb-06,"Drama, Mystery, Thriller, Crime",43
Street Fight,22-Feb-06,Documentary,85
Running Scared,24-Feb-06,"Action, Drama, Thriller, Crime",41
Madea's Family Reunion,24-Feb-06,"Drama, Comedy, Romance",45
Aquamarine,3-Mar-06,"Fantasy, Comedy, Romance, Family",51
Ultraviolet,3-Mar-06,"Action, Sci-Fi",18
The Hills Have Eyes,10-Mar-06,"Thriller, Horror",52
The Shaggy Dog,10-Mar-06,"Fantasy, Comedy, Family",43
Thank You for Smoking,17-Mar-06,"Drama, Comedy",71
V for Vendetta,17-Mar-06,"Action, Sci-Fi, Thriller",62
Lonesome Jim,24-Mar-06,"Drama, Comedy",54
Larry the Cable Guy: Health Inspector,24-Mar-06,"Comedy, Romance",21
Stay Alive,24-Mar-06,"Thriller, Horror",24
Brick,31-Mar-06,"Drama, Mystery, Crime",72
Marilyn Hotchkiss' Ballroom Dancing & Charm School,31-Mar-06,"Drama, Comedy, Romance, Musical",40
Basic Instinct 2,31-Mar-06,"Mystery, Thriller, Crime",26
Ice Age: The Meltdown,31-Mar-06,"Adventure, Comedy, Animation, Family",58
Slither,31-Mar-06,"Sci-Fi, Horror, Comedy",69
Friends with Money,7-Apr-06,"Drama, Romance",68
Lucky Number Slevin,7-Apr-06,"Thriller, Crime",53
Phat Girlz,7-Apr-06,Comedy,36
Take the Lead,7-Apr-06,"Drama, Music",55
Silent Hill,21-Apr-06,"Drama, Mystery, Thriller, Fantasy, Horror",31
The Sentinel,21-Apr-06,"Action, Thriller, Crime",49
Stick It,28-Apr-06,"Drama, Sport, Comedy",53
United 93,28-Apr-06,"Drama, History, Crime",90
Art School Confidential,5-May-06,"Drama, Comedy",54
Hoot,5-May-06,"Adventure, Comedy, Family",46
Mission: Impossible III,5-May-06,"Action, Adventure, Thriller",66
Goal! The Dream Begins,12-May-06,"Drama, Sport",53
Just My Luck,12-May-06,"Fantasy, Comedy, Romance",29
Poseidon,12-May-06,"Action, Adventure, Thriller",50
Over the Hedge,19-May-06,"Adventure, Comedy, Animation, Family",67
See No Evil,19-May-06,"Action, Mystery, Thriller, Horror, Crime",17
X-Men: The Last Stand,26-May-06,"Action, Sci-Fi, Thriller",58
Favela Rising,2-Jun-06,Documentary,65
A Prairie Home Companion,9-Jun-06,"Drama, Comedy, Music, Musical",75
The Mostly Unfabulous Social Life of Ethan Green,16-Jun-06,"Comedy, Romance",38
Garfield: A Tail of Two Kitties,16-Jun-06,"Comedy, Family",37
Nacho Libre,16-Jun-06,"Sport, Comedy, Family",52
The Lake House,16-Jun-06,"Drama, Fantasy, Romance",52
Waist Deep,23-Jun-06,"Action, Drama, Thriller, Crime",37
"You, Me and Dupree",14-Jul-06,"Comedy, Romance",46
Shadowboxer,21-Jul-06,"Drama, Thriller, Crime",33
Lady in the Water,21-Jul-06,"Mystery, Thriller, Fantasy",36
Monster House,21-Jul-06,"Mystery, Fantasy, Comedy, Animation, Family",68
My Super Ex-Girlfriend,21-Jul-06,"Sci-Fi, Drama, Thriller, Comedy, Romance, Crime",50
John Tucker Must Die,28-Jul-06,"Comedy, Romance",41
Miami Vice,28-Jul-06,"Action, Drama, Thriller, Crime",65
Scoop,28-Jul-06,"Mystery, Fantasy, Comedy, Romance",48
Talladega Nights: The Ballad of Ricky Bobby,4-Aug-06,"Action, Sport, Comedy",66
The Descent,4-Aug-06,"Action, Adventure, Drama, Thriller, Horror",71
The Night Listener,4-Aug-06,"Mystery, Thriller",51
Step Up,11-Aug-06,"Drama, Romance, Crime, Music",48
Material Girls,18-Aug-06,"Comedy, Romance, Family",17
Snakes on a Plane,18-Aug-06,"Action, Thriller",58
How to Eat Fried Worms,25-Aug-06,"Comedy, Family",56
Idlewild,25-Aug-06,"Drama, Romance, Crime, Musical",55
Invincible,25-Aug-06,"Biography, Drama, Sport",63
Lassie,1-Sep-06,"Adventure, Drama, Comedy, Family",84
Crossover,1-Sep-06,"Action, Sport",30
Idiocracy,1-Sep-06,"Adventure, Sci-Fi, Thriller, Fantasy, Comedy",66
The Wicker Man,1-Sep-06,"Mystery, Thriller, Horror",36
Gridiron Gang,15-Sep-06,"Drama, Sport, Crime",52
The Last Kiss,15-Sep-06,"Drama, Comedy, Romance",57
Fearless,22-Sep-06,"Action, Biography, Drama, Sport",70
Flyboys,22-Sep-06,"Action, Adventure, Drama, History, Romance, War",47
Jackass Number Two,22-Sep-06,"Comedy, Documentary",66
Open Season,29-Sep-06,"Adventure, Comedy, Animation, Family",49
School for Scoundrels,29-Sep-06,"Comedy, Romance",44
Employee of the Month,6-Oct-06,"Comedy, Romance",36
The Texas Chainsaw Massacre: The Beginning,6-Oct-06,"Thriller, Horror",30
One Night with the King,13-Oct-06,Drama,38
The Marine,13-Oct-06,"Action, Drama, Thriller",45
51 Birch Street,18-Oct-06,Documentary,77
Flicka,20-Oct-06,"Adventure, Drama, Family",57
Marie Antoinette,20-Oct-06,"Biography, Drama, History",65
The Prestige,20-Oct-06,"Drama, Mystery, Thriller",66
Babel,27-Oct-06,Drama,69
Saw III,27-Oct-06,"Thriller, Horror, Crime",48
Flushed Away,3-Nov-06,"Adventure, Comedy, Animation, Family",74
The Santa Clause 3: The Escape Clause,3-Nov-06,"Adventure, Fantasy, Comedy, Family",32
Volver,3-Nov-06,"Drama, Mystery, Comedy, Crime",84
Harsh Times,10-Nov-06,"Drama, Thriller, Crime",56
Stranger Than Fiction,10-Nov-06,"Drama, Fantasy, Comedy, Romance",67
Casino Royale,17-Nov-06,"Action, Adventure, Thriller",80
For Your Consideration,17-Nov-06,Comedy,68
Happy Feet,17-Nov-06,"Adventure, Comedy, Romance, Music, Animation, Family",77
Tenacious D in The Pick of Destiny,22-Nov-06,"Adventure, Comedy, Music",55
The Fountain,22-Nov-06,"Sci-Fi, Drama, Romance",51
Turistas,1-Dec-06,"Adventure, Drama, Mystery, Thriller, Horror",36
Van Wilder 2: The Rise of Taj,1-Dec-06,"Comedy, Romance",21
Apocalypto,8-Dec-06,"Action, Adventure, Drama",68
