Title,ReleaseDate,Genre,Rating
Solitary Man,21-May-10,"Drama, Comedy",69
Sex and the City 2,27-May-10,"Drama, Comedy, Romance",27
Prince of Persia: The Sands of Time,28-May-10,"Action, Adventure, Fantasy, Romance",50
Get Him to the Greek,4-Jun-10,Comedy,65
Marmaduke,4-Jun-10,"Comedy, Family",30
Splice,4-Jun-10,"Sci-Fi, Thriller, Horror",66
The Karate Kid,11-Jun-10,"Action, Drama, Sport, Family",61
Wah Do Dem,18-Jun-10,"Adventure, Drama",54
8: The Mormon Proposition,18-Jun-10,Documentary,55
Cyrus,18-Jun-10,Comedy,74
Jonah Hex,18-Jun-10,"Action, Drama, Thriller, Western",33
The Killer Inside Me,18-Jun-10,"Drama, Thriller, Crime, Western",53
Toy Story 3,18-Jun-10,"Adventure, Fantasy, Comedy, Animation, Family",92
Knight and Day,23-Jun-10,"Action, Thriller, Comedy",46
Grown Ups,25-Jun-10,Comedy,30
The Twilight Saga: Eclipse,30-Jun-10,"Sci-Fi, Drama, Thriller, Fantasy, Romance",58
Love Ranch,30-Jun-10,Drama,37
The Last Airbender,1-Jul-10,"Action, Adventure, Fantasy, Family",20
The Kids Are All Right,9-Jul-10,"Drama, Comedy",86
Predators,9-Jul-10,"Action, Adventure, Sci-Fi, Thriller",51
Winnebago Man,9-Jul-10,"Comedy, Documentary",71
Inception,16-Jul-10,"Action, Sci-Fi, Drama, Mystery, Thriller",74
Life During Wartime,23-Jul-10,"Drama, Comedy",69
Countdown to Zero,23-Jul-10,Documentary,70
Ramona and Beezus,23-Jul-10,"Adventure, Fantasy, Comedy, Family",56
Salt,23-Jul-10,"Action, Mystery, Thriller",65
Cats & Dogs: The Revenge of Kitty Galore,30-Jul-10,"Action, Comedy, Family",30
Charlie St. Cloud,30-Jul-10,"Drama, Fantasy, Romance",37
Dinner for Schmucks,30-Jul-10,Comedy,56
The Extra Man,30-Jul-10,Comedy,56
Get Low,30-Jul-10,"Drama, Mystery, Comedy",77
Flipped,6-Aug-10,"Drama, Comedy, Romance",45
Middle Men,6-Aug-10,"Drama, Comedy, Crime",60
The Other Guys,6-Aug-10,"Action, Comedy, Crime",64
Eat Pray Love,13-Aug-10,"Drama, Romance",50
The Expendables,13-Aug-10,"Action, Adventure, Thriller",45
Scott Pilgrim vs. the World,13-Aug-10,"Action, Adventure, Fantasy, Comedy, Romance",69
Vampires Suck,18-Aug-10,Comedy,18
Lottery Ticket,20-Aug-10,Comedy,50
Nanny McPhee Returns,20-Aug-10,"Fantasy, Comedy, Family",52
Piranha 3-D,20-Aug-10,"Action, Thriller, Horror, Comedy",53
The Switch,20-Aug-10,"Drama, Comedy, Romance",52
The Last Exorcism,27-Aug-10,"Thriller, Horror",63
Takers,27-Aug-10,"Action, Thriller, Crime",45
Going the Distance,3-Sep-10,"Comedy, Romance",51
Legendary,10-Sep-10,"Drama, Sport",39
Resident Evil: Afterlife,10-Sep-10,"Action, Sci-Fi, Thriller, Horror",37
The Romantics,10-Sep-10,"Drama, Comedy, Romance",43
Never Let Me Go,15-Sep-10,"Drama, Thriller",69
Never Let Me Go,15-Sep-10,"Drama, Thriller",69
Alpha and Omega,17-Sep-10,"Adventure, Comedy, Animation, Family",36
Easy A,17-Sep-10,"Comedy, Romance",72
Jack Goes Boating,17-Sep-10,"Comedy, Romance",64
You Will Meet a Tall Dark Stranger,22-Sep-10,"Comedy, Romance",51
Buried,24-Sep-10,"Drama, Mystery, Thriller",65
Waiting for 'Superman',24-Sep-10,Documentary,81
Wall Street: Money Never Sleeps,24-Sep-10,Drama,59
You Again,24-Sep-10,Comedy,28
Barry Munday,1-Oct-10,Comedy,28
Case 39,1-Oct-10,"Mystery, Thriller, Horror",25
Freakonomics,1-Oct-10,Documentary,58
The Social Network,1-Oct-10,"Biography, Drama, History, Comedy",95
Knucklehead,8-Oct-10,"Drama, Comedy",24
Life as We Know It,8-Oct-10,"Drama, Comedy",39
Marwencol,8-Oct-10,Documentary,83
My Soul to Take,8-Oct-10,"Thriller, Horror",25
Secretariat,8-Oct-10,"Drama, History, Sport, Family",61
Conviction,15-Oct-10,"Biography, Drama, Thriller",61
Jackass 3-D,15-Oct-10,"Action, Comedy, Documentary",56
Paranormal Activity 2,22-Oct-10,"Mystery, Thriller, Horror",53
Welcome to the Rileys,29-Oct-10,Drama,50
127 Hours,5-Nov-10,"Adventure, Biography, Drama, Thriller",82
Client 9: The Rise and Fall of Eliot Spitzer,5-Nov-10,Documentary,68
Due Date,5-Nov-10,Comedy,51
Fair Game,5-Nov-10,"Action, Biography, Drama, Thriller",69
For Colored Girls,5-Nov-10,Drama,50
Megamind,5-Nov-10,"Action, Sci-Fi, Comedy, Animation, Family",63
Morning Glory,10-Nov-10,"Drama, Comedy, Romance",57
Unstoppable,12-Nov-10,"Action, Drama, Thriller",69
The Next Three Days,19-Nov-10,"Drama, Thriller, Romance, Crime",52
Burlesque,24-Nov-10,"Drama, Romance, Musical",47
Faster,24-Nov-10,"Action, Drama, Thriller, Crime",44
Love and Other Drugs,24-Nov-10,"Comedy, Romance",55
Tangled,24-Nov-10,"Comedy, Animation, Family, Musical",71
All Good Things,3-Dec-10,"Drama, Mystery, Thriller",57
Black Swan,3-Dec-10,"Drama, Thriller",79
I Love You Phillip Morris,3-Dec-10,"Drama, Comedy, Romance",65
Night Catches Us,3-Dec-10,"Drama, Romance",65
The Chronicles of Narnia: The Voyage of the Dawn Treader,10-Dec-10,"Adventure, Fantasy, Family",53
The Tempest,10-Dec-10,"Drama, Fantasy, Comedy, Romance",43
The Tourist,10-Dec-10,"Drama, Thriller",37
Casino Jack,17-Dec-10,Thriller,51
How Do You Know,17-Dec-10,"Drama, Comedy, Romance",46
Rabbit Hole,17-Dec-10,Drama,76
TRON: Legacy,17-Dec-10,"Action, Adventure, Sci-Fi, Thriller",49
Yogi Bear,17-Dec-10,"Adventure, Comedy, Animation, Family",35
Country Strong,22-Dec-10,"Drama, Music",45
Little Fockers,22-Dec-10,Comedy,27
Somewhere,22-Dec-10,"Drama, Comedy",67
True Grit,22-Dec-10,"Drama, Western",80
The Illusionist,25-Dec-10,Animation,82
Blue Valentine,29-Dec-10,"Drama, Romance",81
Season of the Witch,7-Jan-11,"Adventure, Drama, Fantasy",28
The Dilemma,14-Jan-11,"Drama, Comedy",46
The Green Hornet,14-Jan-11,"Action, Thriller, Crime",39
The Company Men,21-Jan-11,Drama,69
No Strings Attached,21-Jan-11,"Comedy, Romance",50
The Way Back,21-Jan-11,Drama,66
Kaboom,28-Jan-11,"Sci-Fi, Comedy",64
From Prada to Nada,28-Jan-11,"Drama, Comedy, Romance",39
The Rite,28-Jan-11,"Drama, Thriller, Horror",38
The Roommate,4-Feb-11,"Drama, Thriller",23
Sanctum,4-Feb-11,"Action, Adventure, Drama, Thriller",42
Waiting for Forever,4-Feb-11,"Drama, Romance",26
Cedar Rapids,11-Feb-11,Comedy,70
Gnomeo and Juliet,11-Feb-11,"Fantasy, Romance, Animation, Family",53
Just Go with It,11-Feb-11,"Comedy, Romance",33
Justin Bieber: Never Say Never,11-Feb-11,"Music, Documentary",52
I Am Number Four,18-Feb-11,"Action, Sci-Fi",36
"Big Mommas: Like Father, Like Son",18-Feb-11,Comedy,22
The Chaperone,18-Feb-11,"Comedy, Family",33
I Am Number Four,18-Feb-11,"Action, Sci-Fi",36
Drive Angry 3D,25-Feb-11,"Action, Thriller",44
Hall Pass,25-Feb-11,Comedy,45
The Adjustment Bureau,4-Mar-11,"Sci-Fi, Thriller, Romance",60
Beastly,4-Mar-11,"Drama, Fantasy, Romance",40
Happythankyoumoreplease,4-Mar-11,"Drama, Comedy",45
Rango,4-Mar-11,"Action, Adventure, Comedy, Animation, Family",75
Take Me Home Tonight,4-Mar-11,"Drama, Comedy",42
Battle: Los Angeles,11-Mar-11,"Action, Sci-Fi",37
Kill the Irishman,11-Mar-11,"Action, Crime",50
Mars Needs Moms,11-Mar-11,"Adventure, Sci-Fi, Comedy, Animation, Family",49
Red Riding Hood,11-Mar-11,"Drama, Thriller",29
Limitless,18-Mar-11,Thriller,59
The Lincoln Lawyer,18-Mar-11,Drama,63
The Music Never Stopped,18-Mar-11,Drama,60
Diary of a Wimpy Kid 2: Rodrick Rules,25-Mar-11,Comedy,51
Peep World,25-Mar-11,Comedy,27
Sucker Punch,25-Mar-11,"Action, Thriller, Fantasy",33
Source Code,1-Apr-11,"Action, Sci-Fi, Thriller",74
Hanna,8-Apr-11,"Action, Adventure, Thriller",65
Soul Surfer,8-Apr-11,"Action, Drama, Sport",53
Your Highness,8-Apr-11,"Adventure, Thriller, Fantasy, Comedy",31
Atlas Shrugged: Part I,15-Apr-11,"Sci-Fi, Drama, Mystery",28
The Conspirator,15-Apr-11,Drama,55
Scream 4,15-Apr-11,"Mystery, Thriller, Horror",52
African Cats,22-Apr-11,Documentary,61
POM Wonderful Presents: The Greatest Movie Ever Sold,22-Apr-11,"Comedy, Documentary",66
Water for Elephants,22-Apr-11,Drama,52
Cave of Forgotten Dreams,29-Apr-11,"History, Documentary",86
Dylan Dog: Dead of Night,29-Apr-11,"Mystery, Thriller, Horror",31
Fast Five,29-Apr-11,"Action, Drama, Thriller, Crime",66
Hoodwinked Too! Hood VS. Evil,29-Apr-11,Animation,20
An Invisible Sign,6-May-11,Drama,23
Passion Play,6-May-11,"Drama, Thriller",22
The Beaver,6-May-11,"Drama, Comedy",60
Jumping the Broom,6-May-11,Comedy,56
Something Borrowed,6-May-11,"Drama, Comedy, Romance",36
Bridesmaids,13-May-11,Comedy,75
Everything Must Go,13-May-11,"Drama, Comedy",65
Hesher,13-May-11,Drama,45
Priest,13-May-11,"Action, Thriller, Horror",41
Skateland,13-May-11,Drama,51
Midnight in Paris,20-May-11,"Comedy, Romance",81
Pirates of the Caribbean: On Stranger Tides,20-May-11,"Action, Adventure, Fantasy",45
The Hangover Part II,26-May-11,Comedy,44
Kung Fu Panda 2,26-May-11,"Action, Adventure, Comedy, Animation, Family",67
The Tree of Life,27-May-11,"Drama, Fantasy",85
Beginners,3-Jun-11,Drama,81
X-Men: First Class,3-Jun-11,"Action, Sci-Fi, Drama",65
Judy Moody and the Not Bummer Summer,10-Jun-11,Comedy,37
Super 8,10-Jun-11,Sci-Fi,72
The Art of Getting By,17-Jun-11,Romance,36
Page One: A Year Inside the New York Times,17-Jun-11,Documentary,68
Leap Year,24-Jun-11,Drama,71
Bad Teacher,24-Jun-11,Comedy,47
A Better Life,24-Jun-11,Drama,64
Cars 2,24-Jun-11,"Comedy, Animation",57
Transformers: Dark of the Moon,29-Jun-11,"Action, Adventure, Sci-Fi",42
Larry Crowne,1-Jul-11,"Drama, Comedy",41
Monte Carlo,1-Jul-11,"Adventure, Comedy, Romance",43
The Perfect Host,1-Jul-11,Thriller,48
Beats Rhymes & Life: The Travels of a Tribe Called Quest,8-Jul-11,"Music, Documentary",76
Horrible Bosses,8-Jul-11,"Comedy, Crime",57
Harry Potter and the Deathly Hallows: Part 2,15-Jul-11,"Adventure, Mystery, Fantasy",87
Snow Flower and the Secret Fan,15-Jul-11,"Drama, History",42
Winnie the Pooh,15-Jul-11,"Animation, Family",74
A Little Help,22-Jul-11,"Drama, Comedy",54
Another Earth,22-Jul-11,Drama,66
Captain America: The First Avenger,22-Jul-11,"Action, Adventure, Sci-Fi, Thriller",66
Friends with Benefits,22-Jul-11,Comedy,63
"Crazy, Stupid, Love",29-Jul-11,"Comedy, Romance",68
True Adolescents,29-Jul-11,Comedy,57
Cowboys & Aliens,29-Jul-11,"Action, Sci-Fi, Thriller, Western",50
"Crazy, Stupid, Love",29-Jul-11,"Comedy, Romance",68
The Change-Up,5-Aug-11,Comedy,39
Rise of the Planet of the Apes,5-Aug-11,"Action, Adventure, Sci-Fi",68
The Help,10-Aug-11,Drama,62
30 Minutes or Less,12-Aug-11,"Adventure, Comedy",49
Final Destination 5,12-Aug-11,"Thriller, Horror",50
Glee: The 3D Concert Movie,12-Aug-11,"Music, Documentary",48
Conan the Barbarian,19-Aug-11,"Action, Adventure, Fantasy",36
Fright Night,19-Aug-11,"Horror, Comedy",64
Spy Kids: All the Time in the World,19-Aug-11,"Action, Adventure, Sci-Fi, Comedy, Family",37
Colombiana,26-Aug-11,"Action, Adventure, Drama, Thriller",45
Higher Ground,26-Aug-11,Drama,74
Our Idiot Brother,26-Aug-11,Comedy,60
Apollo 18,2-Sep-11,"Sci-Fi, Thriller, Horror",24
A Good Old Fashioned Orgy,2-Sep-11,Comedy,44
Seven Days in Utopia,2-Sep-11,"Drama, Sport",37
Shark Night 3D,2-Sep-11,"Thriller, Horror",22
Bucky Larson: Born to Be a Star,9-Sep-11,Comedy,9
Contagion,9-Sep-11,"Action, Sci-Fi, Thriller",70
Straw Dogs,16-Sep-11,Thriller,45
Pearl Jam Twenty,20-Sep-11,"Music, Documentary",59
Abduction,23-Sep-11,"Action, Thriller",25
Killer Elite,23-Sep-11,"Action, Thriller",44
Machine Gun Preacher,23-Sep-11,"Action, Biography",43
Moneyball,23-Sep-11,Drama,87
Puncture,23-Sep-11,Drama,54
Courageous,30-Sep-11,Drama,42
Dream House,30-Sep-11,"Drama, Mystery, Thriller",35
Margaret,30-Sep-11,Drama,61
Take Shelter,30-Sep-11,Drama,85
Dirty Girl,7-Oct-11,Drama,37
Dirty Girl,7-Oct-11,Drama,37
The Ides of March,7-Oct-11,Drama,67
Real Steel,7-Oct-11,"Action, Sci-Fi, Drama",56
Fireflies in the Garden,14-Oct-11,Drama,34
The Big Year,14-Oct-11,Comedy,53
Father of Invention,14-Oct-11,"Drama, Comedy",36
Footloose,14-Oct-11,"Drama, Comedy, Musical",58
Texas Killing Fields,14-Oct-11,"Drama, Thriller, Crime",49
Red State,19-Oct-11,"Thriller, Horror",50
Margin Call,21-Oct-11,Thriller,76
Martha Marcy May Marlene,21-Oct-11,"Drama, Thriller",75
Paranormal Activity 3,21-Oct-11,Horror,59
The Three Musketeers,21-Oct-11,"Action, Adventure, Romance",35
Janie Jones,28-Oct-11,"Drama, Music",52
Puss in Boots,28-Oct-11,"Adventure, Fantasy, Comedy, Animation",65
The Rum Diary,28-Oct-11,"Adventure, Drama",56
The Son of No One,4-Nov-11,"Action, Thriller, Crime",36
Tower Heist,4-Nov-11,"Action, Comedy, Crime",59
J. Edgar,9-Nov-11,"Biography, Drama",59
Immortals,11-Nov-11,"Action, Drama, Fantasy",46
Jack and Jill,11-Nov-11,Comedy,23
The Descendants,16-Nov-11,"Drama, Comedy",84
The Twilight Saga: Breaking Dawn - Part 1,18-Nov-11,"Drama, Thriller, Fantasy, Romance",45
Happy Feet Two,18-Nov-11,"Comedy, Music, Animation, Family",50
Arthur Christmas,23-Nov-11,Animation,69
Hugo,23-Nov-11,"Mystery, Family",83
The Muppets,23-Nov-11,"Comedy, Family",75
Coriolanus,2-Dec-11,"Drama, History, Thriller",79
I Melt with You,9-Dec-11,Thriller,26
The Sitter,9-Dec-11,Comedy,39
Young Adult,9-Dec-11,"Drama, Comedy",71
Alvin and the Chipmunks: Chipwrecked,16-Dec-11,"Comedy, Animation, Family",24
Carnage,16-Dec-11,"Drama, Comedy",61
Sherlock Holmes: A Game of Shadows,16-Dec-11,"Action, Mystery",48
The Girl with the Dragon Tattoo,20-Dec-11,"Drama, Thriller",71
The Flowers of War,21-Dec-11,"Drama, History",46
We Bought a Zoo,23-Dec-11,"Drama, Comedy",58
Extremely Loud and Incredibly Close,25-Dec-11,Drama,46
Beneath the Darkness,6-Jan-12,Thriller,22
Norwegian Wood,6-Jan-12,"Drama, Romance",58
The Devil Inside,6-Jan-12,"Thriller, Horror",18
Albatross,13-Jan-12,Drama,42
Joyful Noise,13-Jan-12,"Comedy, Music",44
"Lula, the Son of Brazil",13-Jan-12,Drama,44
Sing Your Song,13-Jan-12,Documentary,73
The Divide,13-Jan-12,"Sci-Fi, Thriller",28
Fullmetal Alchemist: The Sacred Star of Milos,20-Jan-12,"Action, Adventure, Sci-Fi, Fantasy, Animation",54
Red Tails,20-Jan-12,"Action, Adventure, Drama, History, War",46
Underworld: Awakening,20-Jan-12,"Action, Fantasy, Horror",39
Declaration of War,27-Jan-12,Drama,73
Man on a Ledge,27-Jan-12,"Thriller, Crime",40
One for the Money,27-Jan-12,"Action, Thriller, Comedy, Crime",22
Chronicle,3-Feb-12,"Action, Sci-Fi, Drama, Thriller, Horror",69
The Woman in Black,3-Feb-12,"Drama, Thriller, Horror",62
Journey 2: The Mysterious Island,10-Feb-12,"Action, Adventure, Sci-Fi, Fantasy, Family",41
Rampart,10-Feb-12,"Action, Drama, Thriller, Crime",70
Safe House,10-Feb-12,"Action, Mystery, Thriller, Horror, Crime",52
The Vow,10-Feb-12,"Drama, Romance",43
The Secret World of Arrietty,17-Feb-12,"Adventure, Fantasy, Animation, Family",80
This Means War,17-Feb-12,"Action, Comedy, Romance",31
Good Deeds,24-Feb-12,"Drama, Comedy, Romance",43
Wanderlust,24-Feb-12,Comedy,53
Being Flynn,2-Mar-12,"Drama, Comedy",53
Project X,2-Mar-12,Comedy,48
Attenberg,9-Mar-12,Drama,73
Footnote,9-Mar-12,Drama,82
Friends with Kids,9-Mar-12,Comedy,55
Jiro Dreams of Sushi,9-Mar-12,Documentary,77
John Carter,9-Mar-12,"Action, Adventure, Sci-Fi, Fantasy",51
Salmon Fishing in the Yemen,9-Mar-12,"Drama, Comedy, Romance",58
Silent House,9-Mar-12,Horror,49
The Ballad of Genesis and Lady Jaye,9-Mar-12,"Biography, Romance, Music, Documentary",68
Casa de mi Padre,16-Mar-12,Comedy,52
Jeff Who Lives at Home,16-Mar-12,Comedy,60
The Raid: Redemption,23-Mar-12,"Action, Thriller, Crime",73
Wrath of the Titans,30-Mar-12,"Action, Adventure, Fantasy",37
Damsels in Distress,6-Apr-12,"Drama, Comedy, Romance",67
Keyhole,6-Apr-12,"Drama, Thriller",63
We Have a Pope,6-Apr-12,"Drama, Comedy",64
Lockout,13-Apr-12,"Action, Sci-Fi, Thriller",48
Monsieur Lazhar,13-Apr-12,"Drama, Comedy",82
The Three Stooges,13-Apr-12,Comedy,56
Darling Companion,20-Apr-12,Drama,41
Fightville,20-Apr-12,"Sport, Documentary",60
Jesus Henry Christ,20-Apr-12,Comedy,41
Surviving Progress,20-Apr-12,Documentary,59
The Lucky One,20-Apr-12,Drama,39
Think Like a Man,20-Apr-12,"Comedy, Romance",51
Headhunters,27-Apr-12,"Action, Thriller, Crime",72
Sound of My Voice,27-Apr-12,"Drama, Thriller",67
The Best Exotic Marigold Hotel,4-May-12,"Drama, Comedy",62
First Position,4-May-12,"Drama, Comedy, Family, Documentary",72
The Best Exotic Marigold Hotel,4-May-12,"Drama, Comedy",62
Last Call at the Oasis,4-May-12,Documentary,64
Where Do We Go Now?,11-May-12,"Drama, Comedy",60
Beyond the Black Rainbow,18-May-12,"Sci-Fi, Mystery, Thriller",49
Hysteria,18-May-12,"Comedy, Romance",53
Lovely Molly,18-May-12,"Drama, Thriller, Horror",50
Mansome,18-May-12,Documentary,35
Polisse,18-May-12,"Drama, Crime",74
Moonrise Kingdom,25-May-12,"Drama, Comedy, Romance",84
Moonrise Kingdom,25-May-12,"Drama, Comedy, Romance",84
"Oslo, August 31st",25-May-12,Drama,84
Crooked Arrows,1-Jun-12,"Drama, Sport",42
Piranha 3DD,1-Jun-12,"Thriller, Horror, Comedy",24
Prometheus,8-Jun-12,"Action, Adventure, Sci-Fi, Drama, Thriller, Horror",65
Lola Versus,8-Jun-12,Comedy,49
Prometheus,8-Jun-12,"Action, Adventure, Sci-Fi, Drama, Thriller, Horror",65
Safety Not Guaranteed,8-Jun-12,Comedy,72
The Woman in the Fifth,15-Jun-12,Thriller,57
The Last Ride,22-Jun-12,"Biography, Drama, Music",45
Seeking a Friend for the End of the World,22-Jun-12,"Sci-Fi, Drama, Comedy, Romance",59
The Invisible War,22-Jun-12,"Drama, History, Crime, Documentary",75
To Rome with Love,22-Jun-12,"Comedy, Romance",54
A Burning Hot Summer,29-Jun-12,Drama,62
Magic Mike,29-Jun-12,"Biography, Drama, Comedy",72
People Like Us,29-Jun-12,Drama,49
Searching for Sugar Man,29-Jun-12,"Biography, Music, Documentary",79
Take This Waltz,29-Jun-12,"Drama, Comedy",68
Unforgivable,29-Jun-12,Drama,66
Savages,6-Jul-12,"Drama, Thriller, Crime",59
Collaborator,6-Jul-12,"Drama, Comedy",56
The Imposter,13-Jul-12,"Biography, Documentary",77
Union Square,13-Jul-12,Drama,55
Ice Age: Continental Drift,13-Jul-12,"Adventure, Comedy, Animation, Family",49
The Queen of Versailles,20-Jul-12,Documentary,80
Ruby Sparks,25-Jul-12,"Fantasy, Comedy, Romance",67
Ruby Sparks,25-Jul-12,"Fantasy, Comedy, Romance",67
Ai Weiwei: Never Sorry,27-Jul-12,Documentary,81
Killer Joe,27-Jul-12,"Drama, Thriller, Comedy, Crime",62
Celeste and Jesse Forever,3-Aug-12,"Drama, Comedy, Romance",59
2 Days in New York,10-Aug-12,Comedy,61
The Campaign,10-Aug-12,Comedy,50
Compliance,17-Aug-12,"Drama, Thriller, Crime",68
Cosmopolis,17-Aug-12,Drama,58
ParaNorman,17-Aug-12,"Adventure, Fantasy, Horror, Comedy, Animation, Family",72
Robot and Frank,17-Aug-12,"Sci-Fi, Drama, Comedy, Crime",67
Sparkle,17-Aug-12,"Drama, Music, Musical",54
Premium Rush,24-Aug-12,"Action, Thriller",66
The Oogieloves in the Big Balloon Adventure,29-Aug-12,Family,32
The Good Doctor,31-Aug-12,"Drama, Thriller",52
The Ambassador,31-Aug-12,Documentary,67
Detropia,7-Sep-12,Documentary,68
The Words,7-Sep-12,"Drama, Thriller, Romance",37
Arbitrage,14-Sep-12,"Drama, Thriller",73
The Master,14-Sep-12,Drama,86
Diana Vreeland: The Eye Has to Travel,21-Sep-12,"Biography, Documentary",69
End of Watch,21-Sep-12,"Drama, Mystery, Thriller, Crime",68
Head Games,21-Sep-12,Documentary,69
House at the End of the Street,21-Sep-12,"Thriller, Horror",31
The Perks of Being a Wallflower,21-Sep-12,"Drama, Romance",67
Trouble with the Curve,21-Sep-12,Drama,58
BearCity 2: The Proposal,28-Sep-12,Comedy,44
Looper,28-Sep-12,"Action, Sci-Fi, Thriller, Crime",84
The Waiting Room,28-Sep-12,Documentary,84
Taken 2,5-Oct-12,"Action, Drama, Thriller, Crime",45
The Oranges,5-Oct-12,"Drama, Comedy, Romance",46
The Paperboy,5-Oct-12,Thriller,45
"3, 2, 1... Frankie Go Boom",12-Oct-12,Comedy,51
Here Comes the Boom,12-Oct-12,"Action, Comedy",40
Seven Psychopaths,12-Oct-12,"Drama, Comedy, Crime",66
Sinister,12-Oct-12,"Mystery, Thriller, Horror, Crime",53
Smashed,12-Oct-12,"Drama, Comedy",71
Paranormal Activity 4,18-Oct-12,Horror,40
Nobody Walks,19-Oct-12,Drama,51
The Sessions,19-Oct-12,Drama,79
Cloud Atlas,26-Oct-12,"Sci-Fi, Drama, Mystery",55
Fun Size,26-Oct-12,Comedy,37
Silent Hill: Revelation 3D,26-Oct-12,"Mystery, Thriller, Horror",16
A Late Quartet,2-Nov-12,Drama,67
North Sea Texas,2-Nov-12,Drama,63
The Details,2-Nov-12,Comedy,56
The Man with the Iron Fists,2-Nov-12,Action,51
This Must Be the Place,2-Nov-12,"Drama, Comedy",61
Wreck-It Ralph,2-Nov-12,"Adventure, Comedy, Animation, Family",72
Chasing Ice,9-Nov-12,"Biography, Documentary",75
Lincoln,9-Nov-12,"Biography, Drama, History, War",86
Skyfall,9-Nov-12,"Action, Adventure, Thriller, Crime",81
Anna Karenina,16-Nov-12,Drama,63
Silver Linings Playbook,16-Nov-12,"Drama, Comedy, Romance",81
Red Dawn,21-Nov-12,Action,31
Rise of the Guardians,21-Nov-12,"Adventure, Fantasy, Animation, Family",57
The Collection,30-Nov-12,"Action, Thriller, Horror",38
Bad Kids Go to Hell,7-Dec-12,"Mystery, Thriller, Comedy",40
Cheerful Weather for the Wedding,7-Dec-12,"Drama, Comedy",49
Deadfall,7-Dec-12,"Drama, Thriller, Crime",52
Heleno,7-Dec-12,"Biography, Drama",52
Hyde Park on Hudson,7-Dec-12,"Biography, Drama, History, Comedy",55
Lay the Favorite,7-Dec-12,Comedy,38
The Fitzgerald Family Christmas,7-Dec-12,Drama,62
Stand Up Guys,14-Dec-12,"Comedy, Crime",41
Zero Dark Thirty,19-Dec-12,"Action, Drama, History, Thriller",95
Not Fade Away,21-Dec-12,Drama,65
This Is 40,21-Dec-12,Comedy,59
Parental Guidance,25-Dec-12,Comedy,36
West of Memphis,25-Dec-12,Documentary,80
Tabu,26-Dec-12,"Drama, Romance",78
A Dark Truth,4-Jan-13,"Action, Thriller",31
Texas Chainsaw 3D,4-Jan-13,Horror,31
The Baytown Outlaws,11-Jan-13,"Action, Comedy, Crime",33
Gangster Squad,11-Jan-13,"Action, Drama, Thriller, Crime",40
A Haunted House,11-Jan-13,"Horror, Comedy",20
Struck by Lightning,11-Jan-13,"Drama, Comedy",41
Broken City,18-Jan-13,"Drama, Thriller, Crime",49
Hansel and Gretel: Witch Hunters,25-Jan-13,"Action, Fantasy, Horror, Comedy",21
Hansel and Gretel: Witch Hunters,25-Jan-13,"Action, Fantasy, Horror, Comedy",21
John Dies at the End,25-Jan-13,"Sci-Fi, Fantasy, Horror, Comedy",53
Knife Fight,25-Jan-13,Drama,34
Movie 43,25-Jan-13,Comedy,18
Parker,25-Jan-13,"Action, Thriller, Crime",42
Sound City,31-Jan-13,"Music, Documentary",76
Mumia: Long Distance Revolutionary,1-Feb-13,Documentary,41
The Haunting in Connecticut 2: Ghosts of Georgia,1-Feb-13,"Drama, Thriller, Horror",26
Koch,1-Feb-13,"Biography, History, Documentary",71
Warm Bodies,1-Feb-13,"Drama, Horror, Comedy, Romance",59
A Glimpse Inside the Mind of Charles Swan III,8-Feb-13,Comedy,28
Identity Thief,8-Feb-13,"Comedy, Crime",35
Side Effects,8-Feb-13,"Drama, Thriller, Crime",75
Safe Haven,14-Feb-13,"Drama, Mystery, Thriller, Romance",34
Beautiful Creatures,14-Feb-13,"Drama, Fantasy, Romance",52
A Good Day to Die Hard,14-Feb-13,"Action, Thriller, Crime",28
Safe Haven,14-Feb-13,"Drama, Mystery, Thriller, Romance",34
Escape from Planet Earth,15-Feb-13,"Adventure, Sci-Fi, Comedy, Animation, Family",35
Saving Lincoln,15-Feb-13,Biography,21
"Bless Me, Ultima",22-Feb-13,"Drama, War",65
Dark Skies,22-Feb-13,"Sci-Fi, Thriller, Horror",50
Snitch,22-Feb-13,"Action, Drama, Thriller",51
The Condemned,1-Mar-13,Mystery,29
21 and Over,1-Mar-13,Comedy,34
Jack the Giant Slayer,1-Mar-13,"Adventure, Drama, Fantasy, Romance",51
The Last Exorcism Part II,1-Mar-13,"Thriller, Horror",35
Stoker,1-Mar-13,"Drama, Mystery, Thriller, Horror",58
The Unspeakable Act,1-Mar-13,Drama,76
The ABCs of Death,8-Mar-13,Horror,43
Dead Man Down,8-Mar-13,"Action, Drama, Thriller, Crime",39
Oz the Great and Powerful,8-Mar-13,"Action, Adventure, Fantasy, Family",44
The Incredible Burt Wonderstone,15-Mar-13,Comedy,44
Spring Breakers,15-Mar-13,"Drama, Thriller, Comedy, Crime",63
Admission,22-Mar-13,"Drama, Comedy, Romance",48
The Croods,22-Mar-13,"Adventure, Comedy, Animation, Family",55
InAPPropriate Comedy,22-Mar-13,Comedy,1
Olympus Has Fallen,22-Mar-13,"Action, Thriller",41
G.I. Joe: Retaliation,29-Mar-13,"Action, Adventure, Sci-Fi, Thriller",41
The Place Beyond the Pines,29-Mar-13,"Drama, Crime",68
The Brass Teapot,5-Apr-13,"Thriller, Fantasy, Comedy",43
