Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
2 hrs. 8 min.,$80 million,"$72,708,161 ",The Interpreter ,Thriller,Universal,PG-13,22-Apr-05
1 hrs. 50 min.,N/A,"$18,801,234 ",Into the Blue ,Action,Sony / Columbia,PG-13,30-Sep-05
2 hrs. 7 min.,$126 million,"$35,818,913 ",The Island ,Sci-Fi Action,DreamWorks,PG-13,22-Jul-05
1 hrs. 42 min.,N/A,"$6,303,762 ",The Jacket ,Horror Thriller,Warner Independent,R,4-Mar-05
1 hrs. 55 min.,$72 million,"$62,658,220 ",Jarhead ,War Drama,Universal,R,4-Nov-05
1 hrs. 46 min.,N/A,"$2,678,691 ",Junebug ,Comedy / Drama,Sony Classics,R,3-Aug-05
1 hrs. 28 min.,N/A,"$32,619,671 ",Just Friends ,Romantic Comedy,New Line,PG-13,23-Nov-05
1 hrs. 35 min.,$58 million,"$48,318,130 ",Just Like Heaven ,Romantic Comedy,DreamWorks,PG-13,16-Sep-05
1 hrs. 31 min.,N/A,"$537,667 ",Kids in America ,Comedy,Slowhand Cinema,PG-13,21-Oct-05
3 hrs. 7 min.,$207 million,"$218,080,025 ",King Kong ,Period Adventure,Universal,PG-13,14-Dec-05
1 hrs. 35 min.,N/A,"$4,008,527 ",King's Ransom ,Comedy,New Line,PG-13,22-Apr-05
2 hrs. 25 min.,$130 million,"$47,398,413 ",Kingdom of Heaven ,Historical Epic,Fox,R,6-May-05
1 hrs. 34 min.,N/A,"$9,979,683 ",Lassie ,Family Adventure,Paramount,PG,22-Jul-94
1 hrs. 37 min.,N/A,"$463,080 ",Last Days ,Drama,Picturehouse,R,22-Jul-05
2 hrs. 6 min.,$75 million,"$46,464,023 ",The Legend of Zorro ,Period Adventure,Sony / Columbia,PG,28-Oct-05
1 hrs. 31 min.,N/A,"$154,187 ",Lonesome Jim ,Comedy / Drama,IFC,R,24-Mar-06
1 hrs. 49 min.,$82 million,"$158,119,460 ",The Longest Yard ,Sports Comedy,Paramount,PG-13,27-May-05
2 hrs. 2 min.,$50 million,"$24,149,632 ",Lord of War ,Crime,Lions Gate,R,16-Sep-05
1 hrs. 47 min.,$25 million,"$11,273,517 ",Lords of Dogtown ,Sports Drama,Sony / Columbia,PG-13,3-Jun-05
2 hrs. 23 min.,$9.6 million,"$2,484,186 ",The Lost City ,Period Drama,Magnolia,R,28-Apr-06
1 hrs. 37 min.,$30 million,"$21,845,719 ",A Lot Like Love ,Romantic Comedy,Buena Vista,PG-13,22-Apr-05
1 hrs. 50 min.,N/A,"$8,117,961 ",Mad Hot Ballroom ,Documentary,Paramount Classics,PG,13-May-05
1 hrs. 26 min.,N/A,"$193,595,521 ",Madagascar ,Animation,DreamWorks,PG,27-May-05
1 hrs. 24 min.,N/A,"$8,330,720 ",The Man ,Action Comedy,New Line,PG-13,9-Sep-05
1 hrs. 37 min.,N/A,"$19,699,706 ",Man of the House ,Family Comedy,Sony / Columbia,PG-13,25-Feb-05
1 hrs. 36 min.,$12.5 million,"$12,594,698 ",The Matador ,Comedy Thriller,Weinstein Company,R,30-Dec-05
2 hrs. 4 min.,$15 million,"$23,151,529 ",Match Point ,Thriller,DreamWorks,R,28-Dec-05
1 hrs. 30 min.,N/A,"$3,885,134 ",Me and You and Everyone We Know ,Comedy / Drama,IFC,R,17-Jun-05
2 hrs. 24 min.,$85 million,"$57,490,508 ",Memoirs of a Geisha ,Period Drama,Sony / Columbia,PG-13,9-Dec-05
1 hrs. 41 min.,$4 million,"$866,999 ",MirrorMask ,Fantasy,IDP,PG,30-Sep-05
