Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
You Will Meet a Tall Dark Stranger (2010),1 hrs. 38 min.,$22 million,"$3,248,246 ",Romance,Sony Classics,R,22-Sep-10,
Zoot Suit (1981),1 hrs. 43 min.,N/A,"$3,256,082 ",Unknown,Universal,R,2-Oct-81,
Pinocchio and the Emperor of the Night (1987),0 hrs. 45 min.,N/A,"$3,261,638 ",Unknown,New World,G,25-Dec-87,
Mi Vida Loca (1994),1 hrs. 36 min.,N/A,"$3,267,313 ",Crime Drama,Sony Classics,R,15-Jul-94,
Romeo Is Bleeding (1994),1 hrs. 50 min.,N/A,"$3,275,585 ",Crime Thriller,Gramercy,R,4-Feb-94,
Things We Lost in the Fire (2007),1 hrs. 59 min.,N/A,"$3,287,315 ",Drama,Paramount (DreamWorks),R,19-Oct-07,
Happily Ever After (1993),1 hrs. 14 min.,N/A,"$3,299,382 ",Animation,1st National Film Group,G,28-May-93,
Pootie Tang (2001),1 hrs. 21 min.,$7 million,"$3,313,583 ",Comedy,Paramount,PG-13,29-Jun-01,
Veronica Mars (2014),1 hrs. 47 min.,$6 million,"$3,322,127 ",Comedy,Warner Bros.,PG-13,14-Mar-14,
Fifty (IMAX) (1999),N/A,N/A,"$3,328,240 ",IMAX,IMAX,Unrated,29-Oct-99,
Harsh Times (2006),1 hrs. 55 min.,N/A,"$3,337,931 ",Crime,MGM,R,10-Nov-06,
Blue Sky (1994),1 hrs. 41 min.,N/A,"$3,359,465 ",Romance,Orion Pictures,PG-13,16-Sep-94,
Starchaser: The Legend of Orin (1985),1 hrs. 40 min.,N/A,"$3,360,800 ",Unknown,Atlantic,PG,22-Nov-85,
Near Dark (1987),1 hrs. 35 min.,$5 million,"$3,369,307 ",Unknown,DEG,R,2-Oct-87,
A Shock to the System (1990),1 hrs. 28 min.,N/A,"$3,417,056 ",Comedy Thriller,Corsair,R,23-Mar-90,
A Simple Twist of Fate (1994),1 hrs. 46 min.,N/A,"$3,430,583 ",Comedy / Drama,Buena Vista,PG-13,2-Sep-94,
Price of Glory (2000),1 hrs. 57 min.,$18 million,"$3,440,228 ",Sports Drama,New Line,PG-13,31-Mar-00,
