Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Anatomy of Hell (2004),1 hrs. 20 min.,N/A,"$34,506 ",Foreign,Tartan,Unrated,24-Sep-04,
Hideaway (Le Refuge) (2010),1 hrs. 28 min.,N/A,"$34,525 ",Foreign,Strand,Unrated,10-Sep-10,
Le Trou (2017 re-release) (2017),2 hrs. 12 min.,N/A,"$34,588 ",Drama,Rialto,Unrated,28-Jun-17,
Sophie and the Rising Sun (2017),1 hrs. 56 min.,N/A,"$34,630 ",Drama,"Monterey Media, Inc.",R,20-Jan-17,
La Petite Lili (2004),1 hrs. 34 min.,N/A,"$34,634 ",Foreign,First Run,Unrated,12-Nov-04,
I Give It a Year (2013),1 hrs. 37 min.,N/A,"$34,657 ",Romantic Comedy,Magnolia,R,9-Aug-13,
Comic-Con Episode IV: A Fan's Hope (2012),1 hrs. 28 min.,$1.5 million,"$34,665 ",Documentary,Wrekin Hill,PG-13,6-Apr-12,
Our City Dreams (2009),1 hrs. 25 min.,N/A,"$34,972 ",Documentary,First Run,Unrated,6-Feb-09,
Bon Jovi: The Lost Highway (2007),1 hrs. 24 min.,N/A,"$35,000 ",Concert,The Bigger Picture,Unrated,9-Nov-07,
Camille Claudel 1915 (2013),1 hrs. 35 min.,N/A,"$35,296 ",Foreign,Kino Lorber,Unrated,16-Oct-13,
Can Mr. Smith Get to Washington Anymore? (2006),1 hrs. 22 min.,N/A,"$35,397 ",Documentary,At Risk Films,Unrated,27-Jul-06,
Canvas (2007),1 hrs. 41 min.,N/A,"$35,630 ",Drama,Screen Media,PG-13,12-Oct-07,
Bangkok Revenge (2012),1 hrs. 21 min.,N/A,"$35,784 ",Foreign / Action,China Lion,Unrated,14-Sep-12,
Been Rich All My Life (2006),1 hrs. 21 min.,N/A,"$36,406 ",Documentary,First Run,Unrated,21-Jul-06,
From Here to Eternity (50th Anniversary) (2003),N/A,N/A,"$36,416 ",Unknown,Sony Repertory,Unrated,5-Dec-03,
"Forever, Lulu (1987)",1 hrs. 25 min.,N/A,"$36,786 ",Unknown,TriStar,R,24-Apr-87,
Grey Gardens (2015 re-release) (2015),1 hrs. 34 min.,N/A,"$36,923 ",Documentary,Janus Films,PG,6-Mar-15,
Children of Paradise (2012 re-release) (2012),2 hrs. 43 min.,N/A,"$36,986 ",Foreign,Janus Films,Unrated,9-Mar-12,
Army of Crime (2010),2 hrs. 19 min.,N/A,"$37,031 ",Foreign,Lorber Films,Unrated,20-Aug-10,
Heart Blackened (2017),2 hrs. 5 min.,N/A,"$37,047 ",Crime Drama,CJ Entertainment,Unrated,10-Nov-17,
Dadetown (1996),1 hrs. 32 min.,N/A,"$37,092 ",Unknown,Castle Hill,Unrated,18-Sep-96,
School Life (2017),1 hrs. 39 min.,N/A,"$37,381 ",Documentary,Magnolia,PG-13,8-Sep-17,
Dead Snow 2: Red vs. Dead (2014),1 hrs. 40 min.,N/A,"$37,473 ",Horror Comedy,Well Go USA,R,10-Oct-14,
A Woman's Life (2017),1 hrs. 59 min.,N/A,"$37,626 ",Drama,Kino Lorber,Unrated,5-May-17,
Tehran Taboo (2018),1 hrs. 36 min.,N/A,"$37,637 ",Animation,Kino Lorber,Unrated,14-Feb-18,
Mumia: Long Distance Revolutionary (2013),2 hrs. 0 min.,N/A,"$37,731 ",Documentary,First Run,Unrated,1-Feb-13,
Drunks (1997),1 hrs. 30 min.,N/A,"$38,268 ",Unknown,Northern Arts,R,14-Mar-97,
Nine Nation Animation (2010),1 hrs. 22 min.,N/A,"$38,382 ",Animation,The World According to Shorts,Unrated,29-Sep-10,
Berberian Sound Studio (2013),1 hrs. 32 min.,N/A,"$38,493 ",Horror Thriller,IFC,Unrated,14-Jun-13,
Spa Night (2016),1 hrs. 33 min.,N/A,"$38,578 ",Drama,Strand,Unrated,19-Aug-16,
Herb and Dorothy 50x50 (2013),1 hrs. 30 min.,N/A,"$38,933 ",Documentary,Fine Line Media,Unrated,13-Sep-13,
Post Tenebras Lux (2013),1 hrs. 55 min.,N/A,"$39,185 ",Foreign,Strand,Unrated,1-May-13,
Sea of Dreams (2007),1 hrs. 39 min.,N/A,"$39,200 ",Fantasy Drama,Success Films,PG,21-Sep-07,
Child of God (2014),1 hrs. 44 min.,N/A,"$39,324 ",Drama,Well Go USA,R,1-Aug-14,
Refusenik (2008),2 hrs. 0 min.,N/A,"$39,456 ",Documentary,Abramorama,Unrated,11-Apr-08,
I Can't Think Straight (2008),1 hrs. 20 min.,N/A,"$39,576 ",Comedy,Regent Releasing,R,21-Nov-08,
The Short Game (2013),1 hrs. 30 min.,N/A,"$39,819 ",Documentary,Samuel Goldwyn,PG,20-Sep-13,
Good Luck (1997),1 hrs. 32 min.,N/A,"$39,962 ",Unknown,Moki,R,7-Mar-97,
La Vie Promise (2004),1 hrs. 34 min.,N/A,"$40,029 ",Foreign,Empire,Unrated,5-Mar-04,
Margaret Cho: The Assassin Tour (2005),1 hrs. 19 min.,N/A,"$40,123 ",Concert,Regent Releasing,Unrated,2-Sep-05,
Bliss (2009) (2009),1 hrs. 45 min.,N/A,"$40,349 ",Foreign,First Run,Unrated,7-Aug-09,
The Phone (2015),1 hrs. 55 min.,N/A,"$40,516 ",Action Thriller,CJ Entertainment,Unrated,6-Nov-15,
Wild Oats (2016),1 hrs. 26 min.,N/A,"$40,598 ",Adventure Comedy,Weinstein / Dimension,PG-13,16-Sep-16,
The Comedy (2012),1 hrs. 30 min.,N/A,"$41,113 ",Drama,Tribeca Film,Unrated,9-Nov-12,
Colma: The Musical (2007),1 hrs. 40 min.,N/A,"$41,131 ",Musical,Roadside Attractions,R,22-Jun-07,
Three Monkeys (2009),1 hrs. 49 min.,N/A,"$41,343 ",Foreign,Zeitgeist,Unrated,27-Mar-09,
Fat Kid Rules the World (2012),N/A,"$750,000 ","$41,457 ",Comedy,Outsider Films,R,5-Oct-12,
One Week and a Day (2017),1 hrs. 38 min.,N/A,"$41,614 ",Drama,Oscilloscope Pictures,Unrated,28-Apr-17,
Adored: Diary of a Male Porn Star (2004),1 hrs. 41 min.,N/A,"$41,703 ",Unknown,Wolfe Releasing,Unrated,2-Apr-04,
On the Bowery (re-release) (2010),1 hrs. 5 min.,N/A,"$41,802 ",Documentary,Milestone,Unrated,17-Sep-10,
Closet Monster (2016),1 hrs. 27 min.,N/A,"$42,166 ",Drama,Strand,Unrated,23-Sep-16,
Concussion (2013),1 hrs. 36 min.,N/A,"$42,606 ",Drama,Radius-TWC,R,4-Oct-13,
First We Take Brooklyn (2018),N/A,N/A,"$42,812 ",Unknown,Zealous Productions,Unrated,9-Feb-18,
The Death of Louis XIV (2017),1 hrs. 55 min.,N/A,"$43,113 ",Drama,Cinema Guild,Unrated,31-Mar-17,
All Together (2012),1 hrs. 36 min.,N/A,"$43,180 ",Foreign,Kino Lorber,Unrated,19-Oct-12,
All Roads Lead Home (2008),1 hrs. 48 min.,N/A,"$43,907 ",Family,Waldo West Productions,PG,26-Sep-08,
Food of Love (2002),1 hrs. 52 min.,N/A,"$43,922 ",Unknown,TLA Releasing,Unrated,25-Oct-02,
Danny Says (2016),1 hrs. 44 min.,N/A,"$44,213 ",Documentary,Magnolia,Unrated,30-Sep-16,
The Bride Wore Black (2011 re-release) (2011),1 hrs. 47 min.,N/A,"$44,566 ",Foreign,The Film Desk,Unrated,4-Nov-11,
Outrage (2011) (2011),N/A,N/A,"$44,745 ",Foreign,Magnolia,R,2-Dec-11,
Pressure Cooker (2009),1 hrs. 39 min.,N/A,"$44,803 ",Documentary,BEV Pictures,Unrated,27-May-09,
The Pruitt-Igoe Myth (2012),1 hrs. 19 min.,N/A,"$44,883 ",Documentary,First Run,Unrated,20-Jan-12,
"Happy, Happy (2011)",1 hrs. 28 min.,N/A,"$45,154 ",Foreign,Magnolia,R,16-Sep-11,
American Made Movie (2013),1 hrs. 22 min.,N/A,"$45,175 ",Documentary,Variance Films,G,30-Aug-13,
Ai Weiwei: The Fake Case (2014),1 hrs. 29 min.,N/A,"$45,255 ",Documentary,International Film Circuit,Unrated,16-May-14,
The Low Life (1996),1 hrs. 36 min.,N/A,"$45,436 ",Unknown,Lions Gate,R,10-May-96,
Breakfast with Scot (2008),1 hrs. 49 min.,N/A,"$46,060 ",Comedy,Regent Releasing,PG-13,10-Oct-08,
Wish You Were Here (2013) (2013),1 hrs. 29 min.,N/A,"$46,347 ",Drama,Entertainment One,R,7-Jun-13,
Very Annie Mary (2002),1 hrs. 44 min.,N/A,"$46,352 ",Comedy,Empire,Unrated,29-Mar-02,
Jewtopia (2013),1 hrs. 30 min.,N/A,"$46,437 ",Romantic Comedy,Le Petit Canyon,Unrated,20-Sep-13,
Ca$h (2010),1 hrs. 48 min.,N/A,"$46,488 ",Thriller,Roadside Attractions,R,26-Mar-10,
Casi Divas (2009),1 hrs. 47 min.,N/A,"$46,612 ",Foreign,Maya Entertainment,PG-13,21-Aug-09,
Change of Plans (2010),1 hrs. 40 min.,N/A,"$46,714 ",Foreign,IFC,Unrated,27-Aug-10,
Dead Snow (2009),1 hrs. 30 min.,N/A,"$46,742 ",Foreign,IFC,Unrated,19-Jun-09,
A Master Builder (2014),2 hrs. 7 min.,N/A,"$46,874 ",Drama,Abramorama,Unrated,23-Jul-14,
Collapse (2009),1 hrs. 22 min.,N/A,"$46,964 ",Documentary,Vitagraph,Unrated,6-Nov-09,
Ivans XTC (2002),1 hrs. 33 min.,N/A,"$47,027 ",Unknown,Artistic License,Unrated,7-Jun-02,
Terror's Advocate (2007),2 hrs. 15 min.,N/A,"$47,724 ",Documentary,Magnolia,Unrated,12-Oct-07,
Lunacy (2006),1 hrs. 58 min.,N/A,"$48,324 ",Foreign / Horror,Zeitgeist,Unrated,9-Aug-06,
Lucky Them (2014),1 hrs. 36 min.,N/A,"$48,421 ",Romantic Comedy,IFC,R,30-May-14,
American Mustang (2014),N/A,N/A,"$48,700 ",Family,Vitagraph,PG,17-Jan-14,
A Birder's Guide to Everything (2014),1 hrs. 26 min.,N/A,"$48,713 ",Comedy,Screen Media,PG-13,21-Mar-14,
The Perfect Host (2011),1 hrs. 34 min.,N/A,"$48,764 ",Thriller,Magnolia,R,1-Jul-11,
The Situation (2007),1 hrs. 46 min.,N/A,"$48,896 ",War Drama,Shadow Dist.,R,2-Feb-07,
Assisted Living (2005),1 hrs. 17 min.,N/A,"$49,048 ",Comedy,Economic Projections,R,2-Feb-05,
La Rondine at Fenice (2008),N/A,N/A,"$49,088 ",Concert,Emerging Pictures,Unrated,19-May-08,
Zus & Zo (2003),1 hrs. 46 min.,N/A,"$49,468 ",Foreign,Lifesize,Unrated,7-Feb-03,
NOW: In the Wings on a World Stage (2014),1 hrs. 33 min.,N/A,"$49,591 ",Documentary,Spacey LTD,Unrated,2-May-14,
Curdled (1996),1 hrs. 28 min.,$2.3 million,"$49,620 ",Unknown,Rolling Thunder,R,27-Sep-96,
The Fantasticks (2000),1 hrs. 26 min.,N/A,"$49,666 ",Musical,MGM,PG,22-Sep-00,
Fakers (2007),1 hrs. 25 min.,N/A,"$49,880 ",Crime Comedy,Indican,R,27-Apr-07,
How to Kill Your Neighbor's Dog (2002),1 hrs. 45 min.,N/A,"$49,894 ",Unknown,Artistic License,R,22-Feb-02,
Fatima (2016),1 hrs. 19 min.,N/A,"$50,105 ",Drama,Kino Lorber,Unrated,26-Aug-16,
In the Shadow of Women (2016),1 hrs. 13 min.,N/A,"$50,291 ",Drama,Distrib Films,Unrated,15-Jan-16,
Painted Skin: The Resurrection (2012),2 hrs. 11 min.,N/A,"$50,425 ",Foreign / Action,Well Go USA,Unrated,17-Aug-12,
December Boys (2007),1 hrs. 45 min.,N/A,"$50,715 ",Drama,Warner Independent,PG-13,14-Sep-07,
Sirf Tum (1999),2 hrs. 30 min.,N/A,"$50,785 ",Unknown,Eros,Unrated,11-Jun-99,
The Unknowns (2016),1 hrs. 25 min.,"$15,000 ","$51,035 ",Documentary,Gathr Films,Unrated,30-May-16,
Battleship Potemkin (2011 re-issue) (2011),1 hrs. 15 min.,N/A,"$51,198 ",War,Kino,Unrated,14-Jan-11,
God's Sandbox (2005),1 hrs. 26 min.,N/A,"$51,246 ",Foreign,Indican,Unrated,29-Jul-05,
Amu (2007),1 hrs. 42 min.,N/A,"$51,251 ",Drama,Emerging Pictures,Unrated,25-May-07,
Switchblade Sisters (Re-issue) (1996),1 hrs. 31 min.,N/A,"$51,264 ",Unknown,Rolling Thunder,R,14-Jun-96,
Disorder (2016),1 hrs. 38 min.,N/A,"$51,879 ",Drama / Thriller,IFC,Unrated,12-Aug-16,
Strength and Honor (2007),1 hrs. 44 min.,N/A,"$51,933 ",Sports Drama,Slowhand Cinema,R,7-Dec-07,
My Annoying Brother (2016),1 hrs. 50 min.,N/A,"$51,996 ",Comedy / Drama,CJ Entertainment,Unrated,23-Dec-16,
Screamers (2006) (2006),1 hrs. 31 min.,N/A,"$52,034 ",Documentary,Maya Entertainment,R,8-Dec-06,
The Missing Picture (2014),1 hrs. 32 min.,N/A,"$52,164 ",Foreign,Strand,Unrated,19-Mar-14,
Visual Acoustics (2009),1 hrs. 23 min.,N/A,"$52,467 ",Documentary,Arthouse Films,Unrated,9-Oct-09,
Reggie's Prayer (1997),1 hrs. 34 min.,N/A,"$52,665 ",Unknown,Arrow Releasing,Unrated,24-Jan-97,
Being 17 (2016),1 hrs. 54 min.,N/A,"$52,713 ",Drama,Strand,Unrated,7-Oct-16,
To Be Takei (2014),1 hrs. 33 min.,N/A,"$52,823 ",Documentary,Starz Media,Unrated,22-Aug-14,
Finishing the Game (2007),1 hrs. 24 min.,N/A,"$52,868 ",Comedy,IFC,Unrated,5-Oct-07,
Ping Pong Summer (2014),1 hrs. 32 min.,N/A,"$52,909 ",Comedy,Gravitas Ventures,Unrated,6-Jun-14,
A Trip to the Moon/The Extraordinary Voyage (2012),N/A,N/A,"$52,986 ",Documentary,Flicker Alley,Unrated,10-Feb-12,
Hukkle (2003),1 hrs. 15 min.,N/A,"$53,715 ",Unknown,Shadow Dist.,Unrated,14-Nov-03,
Bart Got a Room (2009),1 hrs. 20 min.,N/A,"$53,760 ",Comedy,Anchor Bay Films,PG-13,3-Apr-09,
Hateship Loveship (2014),1 hrs. 42 min.,N/A,"$54,030 ",Drama,IFC,R,11-Apr-14,
Low Down (2014),1 hrs. 54 min.,N/A,"$54,051 ",Drama,Oscilloscope Pictures,R,24-Oct-14,
Le Joli Mai (2013),2 hrs. 16 min.,N/A,"$54,168 ",Documentary,Icarus Films,Unrated,13-Sep-13,
The Search for General Tso (2015),1 hrs. 13 min.,N/A,"$54,275 ",Documentary,IFC,Unrated,2-Jan-15,
The Nature of Existence (2010),1 hrs. 34 min.,N/A,"$54,645 ",Documentary,Walking Shadows,Unrated,18-Jun-10,
Finding Joe (2011),1 hrs. 20 min.,N/A,"$55,518 ",Documentary,Balcony Releasing,Unrated,30-Sep-11,
Terms and Conditions May Apply (2013),1 hrs. 19 min.,N/A,"$55,824 ",Documentary,Variance Films,Unrated,12-Jul-13,
Beautiful Creatures (2001),1 hrs. 26 min.,N/A,"$55,835 ",Unknown,Focus Features,R,6-Apr-01,
"God Said, 'Ha!' (1999)",1 hrs. 25 min.,N/A,"$55,970 ",Unknown,Miramax,PG-13,12-Feb-99,
The Turin Horse (2012),2 hrs. 26 min.,N/A,"$56,391 ",Foreign,Cinema Guild,Unrated,10-Feb-12,
DONGJU: The Portrait of a Poet (2016),1 hrs. 50 min.,N/A,"$56,550 ",Drama,CJ Entertainment,Unrated,1-Apr-16,
Farmageddon (2011),1 hrs. 30 min.,N/A,"$56,573 ",Documentary,Kristin Marie Productions,Unrated,17-Jun-11,
Ilo Ilo (2014),1 hrs. 39 min.,N/A,"$56,773 ",Foreign,Film Movement,Unrated,4-Apr-14,
The Rocket (2014) (2014),1 hrs. 36 min.,N/A,"$56,823 ",Foreign,Kino Lorber,Unrated,10-Jan-14,
Finding Amanda (2008),1 hrs. 40 min.,N/A,"$57,297 ",Comedy / Drama,Magnolia,R,27-Jun-08,
Rififi (2015 re-release) (2015),1 hrs. 58 min.,N/A,"$57,749 ",Crime Drama,Rialto,Unrated,2-Sep-15,
House of Fools (2003),1 hrs. 44 min.,N/A,"$57,862 ",Unknown,Paramount Classics,R,25-Apr-03,
Four Seasons Lodge (2009),1 hrs. 37 min.,N/A,"$58,334 ",Documentary,First Run,Unrated,11-Nov-09,
Home Delivery (2005),2 hrs. 31 min.,N/A,"$58,499 ",Foreign,Eros,Unrated,2-Dec-05,
The Conformist (2014 re-release) (2014),1 hrs. 51 min.,N/A,"$58,657 ",Foreign,Kino Lorber,R,29-Aug-14,
I Smile Back (2015),1 hrs. 25 min.,N/A,"$58,738 ",Drama,Broad Green Pictures,R,23-Oct-15,
Declaration of War (2012),1 hrs. 50 min.,N/A,"$59,100 ",Foreign,IFC,Unrated,27-Jan-12,
Ten Little Indians (1989),1 hrs. 30 min.,N/A,"$59,405 ",Unknown,Cannon Films,PG,10-Nov-89,
Cheap Thrills (2014),1 hrs. 25 min.,N/A,"$59,424 ",Comedy Thriller,Drafthouse,Unrated,21-Mar-14,
The Alarmist (1998),1 hrs. 32 min.,N/A,"$59,864 ",Unknown,Lions Gate,R,16-Oct-98,
Gregory Crewdson: Brief Encounters (2012),1 hrs. 17 min.,N/A,"$60,064 ",Documentary,Zeitgeist,Unrated,2-Nov-12,
Ikiru (Re-issue) (2002),2 hrs. 23 min.,N/A,"$60,239 ",Unknown,Cowboy,Unrated,27-Dec-02,
The Wicker Man - Final Cut (2013),1 hrs. 34 min.,N/A,"$60,891 ",Horror,Rialto,R,27-Sep-13,
The Holy Mountain (re-issue) (2007),1 hrs. 54 min.,N/A,"$61,001 ",Foreign,Abkco Films,R,19-Jan-07,
Young and Beautiful (2014),1 hrs. 33 min.,N/A,"$61,067 ",Foreign,IFC,Unrated,25-Apr-14,
King Lear (1988),1 hrs. 30 min.,N/A,"$61,821 ",Unknown,Cannon Films,PG,22-Jan-88,
Posterboy (2006),1 hrs. 38 min.,N/A,"$62,062 ",Drama,Regent Releasing,R,11-Aug-06,
Public Speaking (2011),1 hrs. 22 min.,N/A,"$62,173 ",Documentary,Rialto,Unrated,23-Feb-11,
Maya Lin: A Strong Clear Vision (1995),1 hrs. 45 min.,N/A,"$62,186 ",Documentary,Ocean Releasing,Unrated,20-Oct-95,
The Tiger Hunter (2017),1 hrs. 34 min.,N/A,"$62,398 ",Comedy / Drama,Shout! Factory,Unrated,22-Sep-17,
The Providence Effect (2009),1 hrs. 38 min.,N/A,"$62,500 ",Comedy / Drama,Slowhand Cinema,PG,25-Sep-09,
Tomorrow (2017),1 hrs. 58 min.,N/A,"$62,511 ",Documentary,Under the Milky Way,Unrated,10-Mar-17,
Becoming Traviata (2013),2 hrs. 0 min.,N/A,"$62,652 ",Documentary,Distrib Films,Unrated,15-May-13,
Survival Quest (1989),1 hrs. 36 min.,N/A,"$62,683 ",Unknown,MGM,R,10-Nov-89,
Aftershock (Tangshan Dadizhen) (2010),2 hrs. 15 min.,N/A,"$62,962 ",Foreign,China Lion,Unrated,29-Oct-10,
Let the Bullets Fly (2012),2 hrs. 12 min.,N/A,"$63,012 ",Foreign / Action,Variance Films,Unrated,2-Mar-12,
Summer Palace (2008),2 hrs. 20 min.,N/A,"$63,045 ",Foreign,Palm,Unrated,18-Jan-08,
Untold Scandal (2004),2 hrs. 4 min.,N/A,"$63,332 ",Foreign,Kino,Unrated,13-Oct-04,
Her Majesty (2004),1 hrs. 40 min.,N/A,"$63,652 ",Unknown,Panorama,PG,30-Apr-04,
The World (2005),2 hrs. 19 min.,N/A,"$64,123 ",Foreign,Zeitgeist,Unrated,1-Jul-05,
Cohen and Tate (1989),1 hrs. 25 min.,N/A,"$64,227 ",Unknown,Hemdale,R,27-Jan-89,
James' Journey to Jerusalem (2004),1 hrs. 27 min.,N/A,"$64,967 ",Unknown,Zeitgeist,Unrated,5-Mar-04,
Julia (2009) (2009),2 hrs. 18 min.,N/A,"$65,108 ",Drama / Thriller,Magnolia,R,8-May-09,
On the Run: Trilogy 1 (2004),1 hrs. 57 min.,N/A,"$65,172 ",Foreign,Magnolia,R,30-Jan-04,
Among Giants (1999),1 hrs. 33 min.,N/A,"$65,748 ",Unknown,Fox Searchlight,R,26-Mar-99,
Dancing Across Borders (2010),1 hrs. 28 min.,N/A,"$66,166 ",Documentary,First Run,Unrated,26-Mar-10,
A Beautiful Life (2011),N/A,N/A,"$66,171 ",Foreign,China Lion,Unrated,20-May-11,
Just a Little Harmless Sex (1999),1 hrs. 35 min.,N/A,"$66,194 ",Unknown,Phaedra,R,11-Jun-99,
Dance Me Outside (1995),1 hrs. 24 min.,N/A,"$66,229 ",Unknown,Shadow Dist.,R,2-Jun-95,
Deadfall (2012) (2012),1 hrs. 34 min.,N/A,"$66,351 ",Crime,Magnolia,R,7-Dec-12,
Lagerfeld Confidential (2007),1 hrs. 29 min.,N/A,"$67,500 ",Documentary,Koch Lorber Films,Unrated,24-Oct-07,
Klown (2012),1 hrs. 29 min.,N/A,"$68,795 ",Foreign,Drafthouse,R,27-Jul-12,
Beowulf & Grendel (2006),1 hrs. 43 min.,N/A,"$68,820 ",Period Adventure,Truly Indie,R,16-Jun-06,
White on Rice (2009),1 hrs. 26 min.,N/A,"$69,171 ",Comedy,Variance Films,PG-13,11-Sep-09,
"Late August, Early September (1999)",N/A,N/A,"$69,400 ",Unknown,Zeitgeist,Unrated,7-Jul-99,
Parchi (2018),2 hrs. 17 min.,N/A,"$69,431 ",Action Comedy,Atlas Distribution,Unrated,12-Jan-18,
Disgrace (2009),1 hrs. 54 min.,N/A,"$69,705 ",Drama,Paladin,Unrated,18-Sep-09,
Take Out (2008),1 hrs. 27 min.,N/A,"$69,816 ",Drama,CAVU,Unrated,6-Jun-08,
The Mirror (1998),1 hrs. 34 min.,N/A,"$69,915 ",Unknown,Cowboy,Unrated,18-Sep-98,
Cavite (2006),1 hrs. 20 min.,N/A,"$70,071 ",Thriller,Truly Indie,Unrated,26-May-06,
Crips and Bloods: Made in America (2009),1 hrs. 33 min.,N/A,"$70,219 ",Documentary,Argot Pictures,Unrated,23-Jan-09,
Namiya (2018),1 hrs. 56 min.,N/A,"$70,814 ",Drama,China Lion,Unrated,5-Jan-18,
The Better Angels (2014),1 hrs. 35 min.,N/A,"$70,918 ",Drama,Amplify,PG,7-Nov-14,
It Runs in the Family (1994) (1994),1 hrs. 25 min.,N/A,"$70,936 ",Family Comedy,MGM,PG,23-Sep-94,
Plump Fiction (1998),1 hrs. 22 min.,N/A,"$71,145 ",Unknown,Legacy,R,15-May-98,
The Tree (2011),1 hrs. 40 min.,N/A,"$71,158 ",Drama,Zeitgeist,Unrated,15-Jul-11,
Color Me Kubrick (2007),1 hrs. 27 min.,N/A,"$71,190 ",Comedy,Magnolia,Unrated,23-Mar-07,
The Congressman (2016),1 hrs. 38 min.,N/A,"$71,451 ",Comedy / Drama,Shadow Dist.,R,29-Apr-16,
Air Guitar Nation (2007),1 hrs. 21 min.,N/A,"$71,471 ",Documentary,Shadow Dist.,R,23-Mar-07,
Dummy (2003),1 hrs. 30 min.,N/A,"$71,646 ",Unknown,Artisan,R,12-Sep-03,
A Letter to Momo (2014),2 hrs. 0 min.,N/A,"$71,712 ",Animation,GKIDS,Unrated,23-Jul-14,
Runaway Slave (2012),1 hrs. 48 min.,N/A,"$71,737 ",Documentary,Rocky Mountain Pictures,Unrated,6-Jul-12,
Dorian Blues (2005),1 hrs. 28 min.,N/A,"$72,234 ",Drama,TLA Releasing,Unrated,23-Sep-05,
Te Ata (2017),1 hrs. 45 min.,N/A,"$73,236 ",Drama,Paladin,Unrated,29-Sep-17,
Captive Hearts (1987),1 hrs. 37 min.,N/A,"$73,757 ",Unknown,MGM,PG,5-Jun-87,
Set Me Free (2000),N/A,N/A,"$74,052 ",Unknown,Artistic License,Unrated,14-Apr-00,
The Conquest (2011),1 hrs. 45 min.,N/A,"$74,474 ",Foreign,Music Box Films,Unrated,11-Nov-11,
Batkid Begins (2015),1 hrs. 27 min.,N/A,"$74,709 ",Documentary,Warner Bros. (New Line),PG,26-Jun-15,
August Evening (2008),2 hrs. 7 min.,N/A,"$74,759 ",Drama,Maya Entertainment,PG-13,5-Sep-08,
Just a Sigh (2014),1 hrs. 45 min.,N/A,"$75,531 ",Foreign,Distrib Films,Unrated,21-Mar-14,
Hara-Kiri: Death of a Samurai (2012),2 hrs. 6 min.,N/A,"$75,688 ",Foreign / Action,Tribeca Film,Unrated,20-Jul-12,
Office Killer (1997),1 hrs. 23 min.,N/A,"$76,054 ",Unknown,Strand,R,3-Dec-97,
So Close (2003),1 hrs. 50 min.,N/A,"$76,584 ",Foreign / Action,Strand,R,12-Sep-03,
Speaking Parts (1990),1 hrs. 33 min.,N/A,"$76,609 ",Unknown,Zeitgeist,Unrated,16-Feb-90,
This is Not a Film (2012),1 hrs. 15 min.,N/A,"$77,016 ",Documentary,Palisades Tartan,Unrated,29-Feb-12,
Breaking Upwards (2010),1 hrs. 29 min.,"$15,000 ","$77,389 ",Romance,IFC,Unrated,2-Apr-10,
Don't Tempt Me (2003),1 hrs. 55 min.,N/A,"$77,858 ",Unknown,First Look,R,22-Aug-03,
How About You (2008),1 hrs. 40 min.,N/A,"$78,234 ",Comedy / Drama,Strand,Unrated,14-Nov-08,
Manderlay (2006),2 hrs. 19 min.,$14.2 million,"$78,378 ",Drama,IFC,Unrated,27-Jan-06,
Me and Him (1989),1 hrs. 33 min.,N/A,"$78,814 ",Unknown,Columbia,R,4-Aug-89,
Nomad (The Warrior) (2007),1 hrs. 51 min.,N/A,"$79,123 ",Period Action,Weinstein Company,R,16-Mar-07,
Suits on the Loose (2006),1 hrs. 33 min.,N/A,"$79,470 ",Family,Halestorm,PG,3-Feb-06,
The Walker (2007),1 hrs. 47 min.,N/A,"$79,698 ",Drama,ThinkFilm,R,7-Dec-07,
Ramaiya Vastavaiya (2013),2 hrs. 30 min.,N/A,"$80,108 ",Foreign,Prabhudheva,Unrated,19-Jul-13,
The Mysteries of Pittsburgh (2009),1 hrs. 35 min.,N/A,"$80,238 ",Comedy / Drama,Peace Arch Entertainment,R,10-Apr-09,
The Death of Mr. Lazarescu (2006),2 hrs. 30 min.,N/A,"$80,301 ",Foreign,Tartan,R,26-Apr-06,
The Nile Hilton Incident (2017),1 hrs. 46 min.,N/A,"$81,089 ",Thriller,Strand,Unrated,11-Aug-17,
Inkubus (2011),1 hrs. 30 min.,N/A,"$81,600 ",Horror,Screen Media,R,28-Oct-11,
King Cobra (2016),1 hrs. 31 min.,N/A,"$81,757 ",Crime Drama,IFC,Unrated,21-Oct-16,
Best Man in Grass Creek (2001),1 hrs. 28 min.,N/A,"$81,760 ",Romantic Comedy,Heartland Film,PG,20-Apr-01,
Humboldt County (2008),1 hrs. 37 min.,N/A,"$82,357 ",Comedy / Drama,Magnolia,R,26-Sep-08,
Better Living Through Circuitry (2000),1 hrs. 25 min.,N/A,"$82,378 ",Documentary,7th Art,Unrated,26-May-00,
10 Items or Less (2006),1 hrs. 22 min.,N/A,"$83,291 ",Comedy,ThinkFilm,R,1-Dec-06,
Save Me (2008),1 hrs. 33 min.,N/A,"$83,397 ",Drama,First Run,Unrated,5-Sep-08,
Why Me? (1990),1 hrs. 27 min.,N/A,"$83,882 ",Unknown,Triumph,R,20-Apr-90,
51 Birch Street (2006),1 hrs. 30 min.,N/A,"$84,689 ",Documentary,Truly Indie,Unrated,18-Oct-06,
Chicago Joe and the Showgirl (1990),1 hrs. 45 min.,N/A,"$85,395 ",Unknown,New Line,R,27-Jul-90,
An Almost Perfect Affair (1979),1 hrs. 31 min.,N/A,"$85,493 ",Romantic Comedy,Paramount,PG,27-Apr-79,
